score,conf
0.5571357,0.5571357
0.44878843,0.44878843
0.43090874,0.43090874
0.41285777,0.41285777
0.41198727,0.41198727
0.54576015,0.54576015
0.48221067,0.48221067
0.5242437,0.5242437
0.51227564,0.51227564
0.5516654,0.5516654
0.5450788,0.5450788
0.5108068,0.5108068
0.55346817,0.55346817
0.47654042,0.47654042
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5561945,0.5561945
0.41982642,0.41982642
0.3231466,0.3231466
0.4255414,0.4255414
0.33048204,0.33048204
0.42576402,0.42576402
0.32369626,0.32369626
0.38862658,0.38862658
0.37984717,0.37984717
0.503904,0.503904
0.4380237,0.4380237
0.5074896,0.5074896
0.4851405,0.4851405
0.46855935,0.46855935
0.4283575,0.4283575
0.5453432,0.5453432
0.4925629,0.4925629
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.55564433,0.55564433
0.45466608,0.45466608
0.44434127,0.44434127
0.48051724,0.48051724
0.3786088,0.3786088
0.3780938,0.3780938
0.49668398,0.49668398
0.51062113,0.51062113
0.55534077,0.55534077
0.50305235,0.50305235
0.5057297,0.5057297
0.49359244,0.49359244
0.5337216,0.5337216
0.4782992,0.4782992
0.47709325,0.47709325
0.5080061,0.5080061
0.51825017,0.51825017
0.5192836,0.5192836
0.5511609,0.5511609
0.5550957,0.5550957
0.41146502,0.41146502
0.42263445,0.42263445
0.43068555,0.43068555
0.5140031,0.5140031
0.33608475,0.33608475
0.3237051,0.3237051
0.33755746,0.33755746
0.49576482,0.49576482
0.44510648,0.44510648
0.46532613,0.46532613
0.46208593,0.46208593
0.4623444,0.4623444
0.48963696,0.48963696
0.41887602,0.41887602
0.4809765,0.4809765
0.45540032,0.45540032
0.5210887,0.5210887
0.4508226,0.4508226
0.50438976,0.50438976
0.5241077,0.5241077
0.43527004,0.43527004
0.42414552,0.42414552
0.44082418,0.44082418
0.42033872,0.42033872
0.4415853,0.4415853
0.4622038,0.4622038
0.43835807,0.43835807
0.44290674,0.44290674
0.4434359,0.4434359
0.41798052,0.41798052
0.462557,0.462557
0.44151086,0.44151086
0.49961206,0.49961206
0.5093762,0.5093762
0.54486656,0.54486656
0.52494746,0.52494746
0.49652848,0.49652848
0.5225609,0.5225609
0.5516654,0.5516654
0.49395192,0.49395192
0.466878,0.466878
0.5516654,0.5516654
0.4745418,0.4745418
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.5511609,0.5511609
0.57421124,0.57421124
0.44091234,0.44091234
0.4439444,0.4439444
0.5053939,0.5053939
0.3949709,0.3949709
0.3606165,0.3606165
0.3901695,0.3901695
0.55633855,0.55633855
0.52110684,0.52110684
0.50546044,0.50546044
0.4600744,0.4600744
0.4170614,0.4170614
0.42551228,0.42551228
