,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
143,0.249,,,,,,0.0,0.0,,,,
144,0.251,0.0,,,,,,,,,,
145,0.252,,,,,,,,,,,0.0
146,0.254,,,,0.0,,,,,,,
147,0.256,,,,,,,,0.0,,,
148,0.257,,0.0,,,,,,,,,
149,0.259,,,,,1.0,,,,0.0,,
150,0.26,,,,,1.0,,,,,,
151,0.262,0.0,,,,,,0.0,,,,
152,0.263,,,,,,0.0,0.0,,,,
153,0.264,,,,,,,,,,,0.0
154,0.265,,,1.0,,,,,,,,0.0
155,0.266,,,1.0,,,,,,,,
156,0.268,,0.0,,,,,,,,,
157,0.269,,0.0,,,,,,,,,
158,0.27,,,,,,,,,,0.0,
159,0.271,,,,,,,,0.0,,,
160,0.273,0.0,,,,,,,,,,
161,0.275,,,,,,,0.0,,,,
162,0.276,,,,0.0,,,,,,,
163,0.277,,,,0.0,,0.0,,,,,0.0
164,0.278,,,,,1.0,,,,,,
165,0.279,,,,,1.0,,,,,,
166,0.28,,,,,,,,,0.0,,
167,0.281,,,,,,,,,0.0,,
168,0.284,0.0,,,,,,,,,,
169,0.285,,,,,,,,0.0,,,
170,0.288,,,1.0,0.0,,,,,,,
171,0.29,,,,,,,,,,,0.0
172,0.292,,,,,,0.0,,,,,
173,0.293,0.0,,,,,,,,,,
174,0.296,,,,,,,0.0,,,,
175,0.297,,0.0,,,,,,,,0.0,
176,0.298,,0.0,,,,,,,,,
177,0.299,,,,,1.0,,,,,,
178,0.3,,,,,1.0,,,,,,
179,0.301,,,,,,,,0.0,,,
180,0.304,0.0,,,,,,,,0.0,,0.0
181,0.306,,,,,,0.0,,,,,
182,0.307,,,,0.0,,,,,,,
183,0.308,,0.0,1.0,,,,,,,,
184,0.309,,0.0,,,,,,,,,
185,0.31,,,,,,,0.0,,,,
186,0.316,,,,,,,,,,,0.0
187,0.317,0.0,,,,,,,,,,
188,0.32,,,,,1.0,,,,,,
189,0.321,,,,,,,,,,0.0,
190,0.323,,0.0,,,,,,0.0,,,
191,0.325,,,,,,0.0,,,,,
192,0.327,,,1.0,,,,,,,,
193,0.328,,,1.0,,,,,,0.0,,
194,0.329,0.0,,,,,,0.0,,,,0.0
195,0.331,,,,0.0,,,,,,,
196,0.335,,0.0,,,,,,,,,
197,0.338,,,,,1.0,,,,,,
198,0.339,,,,,1.0,0.0,,,,,
199,0.343,,,,,,,0.0,,,,
200,0.344,,,,,,,,0.0,,,
201,0.345,,0.0,,,,,,0.0,,,
202,0.346,,0.0,,,,,,,,,
203,0.347,0.0,,,,,,,,,,
204,0.348,,,1.0,,,,,,,,
205,0.349,,,,0.0,,,,,,,
206,0.35,,,,,,,,,,,0.0
207,0.352,,,,,,,,,0.0,,
208,0.353,,,,,,,,,,0.0,
209,0.355,,,,,,,0.0,,,,
210,0.356,,,,,,,0.0,,,,
211,0.357,,0.0,,,,,,,,,
212,0.358,0.0,,,,1.0,0.0,,,,,
213,0.361,,,,,,,,0.0,,,
214,0.363,,,,,,,,,,,0.0
215,0.368,,0.0,1.0,0.0,,,,,,,
216,0.37,,,,,,,0.0,,,,
217,0.372,,,,,1.0,,,,,,
218,0.373,0.0,,,,,,,,,,
219,0.374,,,,,,0.0,,,0.0,,
220,0.375,,,,,,,,,0.0,,
221,0.376,,,1.0,,,,,0.0,,0.0,0.0
222,0.379,,0.0,,,,,,,,,
223,0.381,,,,,,,0.0,,,,
224,0.382,,,,,,,0.0,,,,
225,0.385,0.0,,,,,,,,,,
226,0.388,,,,0.0,,0.0,,,,,0.0
227,0.389,,,,0.0,,,,,,,0.0
228,0.39,,,,,1.0,,,,,,
229,0.391,,0.0,,,,,,0.0,,,
230,0.396,,,1.0,,,,,,,,
231,0.397,,,,,,,0.0,,,,
232,0.398,,,,,,,,,0.0,,
233,0.399,,,,,,,,,0.0,0.0,
234,0.401,,0.0,,,,,,,,,0.0
235,0.402,,,,,,0.0,,,,,
236,0.406,0.0,,,,,,,,,,
237,0.408,,,,,1.0,,,,,,
238,0.409,,,,0.0,,,,,,,
239,0.412,,0.0,,,,,,0.0,,,
240,0.414,,,,,,,,,,,0.0
241,0.415,,,,,,,0.0,,,,
242,0.416,,,1.0,,,,,,,,
243,0.418,0.0,,,,,,,,,,
244,0.419,0.0,,,,,0.0,,,0.0,,
245,0.421,,,,,1.0,,,,,,
246,0.422,,,,,,,,,,0.0,
247,0.424,,0.0,,,,,,,,,
248,0.426,,,,,,,,,,,0.0
249,0.427,,,,0.0,,,,0.0,,,
250,0.428,,,,0.0,,,0.0,,,,
251,0.43,0.0,,,,,,,,,,
252,0.433,,,,,,0.0,,,,,
253,0.434,,,,,1.0,,,,,,
254,0.435,,0.0,,,1.0,,,,,,
255,0.439,,,1.0,,,,,,,,0.0
256,0.442,,,,,,,0.0,,,,
257,0.443,,,,,,,,,0.0,,
258,0.445,,,,,,,,0.0,,,
259,0.446,0.0,0.0,,0.0,,,,,,,
260,0.447,,,,,,0.0,,,,,
261,0.448,,,,,,,,,,0.0,
262,0.449,,,,,1.0,,,,,,
263,0.451,,,,,,,,,,,0.0
264,0.456,0.0,0.0,,,,,,,,,
265,0.457,,0.0,,,,,,,,,
266,0.461,,,,,,,,0.0,,,
267,0.462,,,,,1.0,0.0,,,,,
268,0.463,,,1.0,,,,,,,,
269,0.464,,,1.0,,,,0.0,,0.0,,
270,0.465,,,,,,,,0.0,,,
