,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
16746,29.772,,,,,1.0,,,,,,
16747,29.773,0.0,,,,1.0,,,,,,0.0
16748,29.775,,,1.0,,,1.0,,,,,
16749,29.778,,,,,,,,0.0,,0.0,
16750,29.779,,0.0,,,,,,,,,
16751,29.78,,,,,,,0.0,,,,
16752,29.781,,,,,,,0.0,,0.0,,
16753,29.784,,,,0.0,,,,,,,
16754,29.785,0.0,,,,,,,,,,0.0
16755,29.789,,,,,,1.0,,,,,
16756,29.791,,0.0,,,,,,,0.0,,
16757,29.792,,,,,1.0,,,0.0,,,
16758,29.794,,,1.0,,,,0.0,,,,
16759,29.795,0.0,,,,,,,,,,
16760,29.798,,,,,,,,,,,0.0
16761,29.799,,,,0.0,,,,,,,
16762,29.801,,0.0,,,,,,,,,
16763,29.802,,,,,,0.0,,,,,
16764,29.803,,,,,,,,,,0.0,
16765,29.805,,,,,1.0,,,,,,
16766,29.806,0.0,,,,1.0,,,,,,
16767,29.807,,,,,,,0.0,,,,
16768,29.809,,,,,,,,0.0,,,
16769,29.81,,,,,,,,,,,0.0
16770,29.812,,0.0,,,,,,,,,
16771,29.813,,0.0,1.0,,,,,,0.0,,
16772,29.814,,,,0.0,,,,,,,
16773,29.817,,,,,,0.0,,,,,
16774,29.818,0.0,,,,,,,,,,
16775,29.822,,,,,,,0.0,,,,0.0
16776,29.823,,0.0,,,,,,,,,
16777,29.825,,,,,0.0,,,0.0,,,
16778,29.826,,,,,0.0,,,,,,
16779,29.828,0.0,,,0.0,,,,,,,
16780,29.829,,,,,,,,,,0.0,
16781,29.83,,,1.0,,,,,,,,
16782,29.831,,,0.0,,,,,,,,
16783,29.835,,0.0,,,,,,,,,0.0
16784,29.836,,,,,,0.0,,,,,
16785,29.837,,,,,,,,,0.0,,
16786,29.839,,,,,0.0,,,,,,
16787,29.84,0.0,,,,,,0.0,,,,
16788,29.842,,,,0.0,,,,,,,
16789,29.845,,,,,,,,0.0,,,
16790,29.846,,0.0,,,,,,,,,0.0
16791,29.851,0.0,,,,,0.0,,,,,
16792,29.852,,,,,,0.0,,,,,
16793,29.853,,,0.0,,1.0,,,,,,
16794,29.854,,,0.0,,,,0.0,,,,
16795,29.856,,0.0,,,,,,,,,
16796,29.858,,,,,,,,,,,0.0
16797,29.86,,,,,,0.0,,,0.0,,
16798,29.861,,,,0.0,,,,0.0,,,
16799,29.862,0.0,,,0.0,,,,,,0.0,
16800,29.863,,,,,,,,,,0.0,
16801,29.866,,,,,1.0,,,,,,
16802,29.867,,,,,1.0,,,,,,
16803,29.868,,0.0,,,,,,,,,
16804,29.869,,0.0,,,,,0.0,,,,
16805,29.87,,,,,,,,,,,0.0
16806,29.871,,,0.0,,,,,,,,
16807,29.872,,,0.0,,,,,,,,
16808,29.873,0.0,,,,,,,,,,
16809,29.875,,,,,,0.0,,,,,
16810,29.877,,,,0.0,,,,,,,
16811,29.878,,,,,,,,0.0,,,
16812,29.879,,,,,1.0,,,,,,
16813,29.882,,,,,,,,,,,0.0
16814,29.883,,0.0,,,,,,,0.0,,0.0
16815,29.884,,0.0,,,,,0.0,,,,
16816,29.885,0.0,,,,,,,,,,
16817,29.887,,,,,,,,,,0.0,
16818,29.888,,,,,,,,,,0.0,
16819,29.889,,,0.0,,,,,,,,
16820,29.891,,,,,,0.0,,,,,
16821,29.892,,,,,,,,0.0,,,
16822,29.894,,0.0,,,1.0,,,,,,
16823,29.895,0.0,0.0,,0.0,,,,,,,0.0
16824,29.899,,,,,,,0.0,,,,
16825,29.905,,0.0,,,,0.0,,,,,
16826,29.906,,,,,,,,,,,0.0
16827,29.907,0.0,,,,,,,,,,0.0
16828,29.908,,,,,,,,0.0,0.0,,
16829,29.909,,,0.0,0.0,,,,,,,
16830,29.911,,,,,,,,,,0.0,
16831,29.914,,,,,1.0,,,,,,
16832,29.915,,0.0,,,1.0,,,,,,
16833,29.918,0.0,,,,,,0.0,,,,
16834,29.923,,,,0.0,,,,,,,
16835,29.924,,,,0.0,,,,0.0,,,
16836,29.925,,,,,,0.0,,,,,
16837,29.926,,0.0,,,,,,,,,0.0
16838,29.928,0.0,,,,1.0,,,,,,
16839,29.931,,,,,,,0.0,,,,
16840,29.932,,,0.0,,,,,,,,
16841,29.934,,,,,,,,,0.0,,
16842,29.935,,,,,,,,,,0.0,
16843,29.936,,0.0,,,,,,,,0.0,
16844,29.938,,,,,,,,,,,0.0
16845,29.939,,,,0.0,,,,,,,0.0
16846,29.94,0.0,,,,,0.0,,,,,
16847,29.944,,,,,,,,0.0,,,
16848,29.947,,0.0,,,1.0,,,,,,
16849,29.948,,,,,1.0,,,,,,
16850,29.95,,,0.0,,,,,,,,
16851,29.951,0.0,,,,,,0.0,,,,0.0
16852,29.953,,,,0.0,,,,,,,
16853,29.956,,0.0,,,,,,,,,
16854,29.957,,,,,,,,,0.0,,
16855,29.958,,,,,,0.0,,,,,
16856,29.96,,,,,1.0,,,0.0,,,
16857,29.961,,,,,1.0,,,,,0.0,
16858,29.963,0.0,,,,,,,,,,
16859,29.966,,,,,,,0.0,,,,0.0
16860,29.968,,0.0,,,,,,,,,
16861,29.969,,0.0,,,,,,,,,
16862,29.97,,,0.0,,,,,,,,
16863,29.971,,,,,,0.0,,,,,
16864,29.973,,,,0.0,,,,,,,
16865,29.974,0.0,,,0.0,,,,,,,
16866,29.975,,,,,1.0,,,,,,
16867,29.978,,,,,,,,0.0,,,
16868,29.98,,,,,,,0.0,,,,
16869,29.981,,,,,,,,,,,0.0
16870,29.982,0.0,,,0.0,,,,,0.0,,
16871,29.985,,,,,,0.0,,,,0.0,
16872,29.986,,,,,,,,,,0.0,
16873,29.987,,,0.0,,1.0,,,,,,
16874,29.992,0.0,,,,,,0.0,,,,
16875,29.993,,,,,,,,0.0,,,0.0
16876,29.997,,,,0.0,,,,,,,
16877,29.998,,0.0,,,,,,,,,
16878,29.999,,,,,,0.0,,,,,
16879,30.0,,,,,1.0,0.0,,,,,
16880,30.002,0.0,,,,,,,,,,
16881,30.005,,,,,,,,,,,0.0
16882,30.006,,,,,,,0.0,,,,
16883,30.007,,,,,,,0.0,,0.0,,
16884,30.008,,0.0,,,,,,0.0,,,
16885,30.009,,0.0,,,,,,0.0,,0.0,
16886,30.01,,,0.0,,,,,,,,
16887,30.012,,,,0.0,,,,,,,
16888,30.013,,,,,1.0,,,,,,
16889,30.014,,,,,1.0,0.0,,,,,
16890,30.015,0.0,,,,,,,,,,
16891,30.018,,,,,,,,,,,0.0
16892,30.019,,0.0,,,,,,,,,
16893,30.02,,0.0,,,,,,,,,
16894,30.021,,,,,,,0.0,,,,
16895,30.025,0.0,,,,,,,0.0,,,
16896,30.027,,,,,1.0,,,,,,
16897,30.028,,,,0.0,,0.0,,,,,
16898,30.03,,,,,,,,,,,0.0
16899,30.031,,0.0,,,,,,,,,
16900,30.033,,,0.0,,,,,,0.0,,
16901,30.035,0.0,,,,,,,,,,
16902,30.037,,,,,,,,,,0.0,
16903,30.04,,,,,,,0.0,,,,
16904,30.041,,0.0,,,,,,,,,
16905,30.042,,,,0.0,,,,,,,
16906,30.045,0.0,,,,,,,0.0,,,
16907,30.046,,,,,,0.0,,,,,
16908,30.047,,,,,1.0,,,,,,
16909,30.049,,,,,,,,,,,0.0
16910,30.051,,0.0,,,,,,,,,
16911,30.052,,,1.0,,,,,,,,
16912,30.055,0.0,,,,,,0.0,,,,
16913,30.056,,,,,,,,,0.0,,
16914,30.06,,,1.0,,1.0,,,,,0.0,
16915,30.061,,,,,1.0,0.0,,0.0,,,0.0
16916,30.062,,0.0,,0.0,,,,,,,
16917,30.064,,,,,,,0.0,,,,
16918,30.066,0.0,,,,,,,,,,
16919,30.073,,0.0,,,,,,,,,0.0
16920,30.074,,,,,1.0,,,,,,
16921,30.076,,,,0.0,,,,,,,
16922,30.077,0.0,,,,,,,,,,
16923,30.078,,,,,,,,0.0,,,
16924,30.079,,,1.0,,,,,,,,
16925,30.08,,,,,,,0.0,,,,
16926,30.081,,,,,,1.0,,,0.0,,
16927,30.082,,0.0,,,,,,,,,
16928,30.085,,,,,,,,,,0.0,0.0
16929,30.087,0.0,,,,,,,,,,
16930,30.088,,,,,1.0,,,,,,
16931,30.09,,,,0.0,,,,,,,
16932,30.093,,0.0,,,,,0.0,0.0,,,
16933,30.096,,,,,,1.0,,,,,
16934,30.098,0.0,,1.0,,,,,,,,
16935,30.101,,,,,1.0,,,,,,
16936,30.102,,,,,1.0,,,,,,0.0
16937,30.103,,0.0,,,,,,,,,
16938,30.104,,0.0,,,,,,,,,
16939,30.107,,,,0.0,,,0.0,,,,
16940,30.108,0.0,,,,,,,,0.0,,
16941,30.109,,,,,,,,0.0,,,
16942,30.111,,,,,,1.0,,,,,
16943,30.112,,,,,,,,,,0.0,
16944,30.114,,0.0,,,,,,,,,0.0
16945,30.115,,,,,1.0,,,,,,
16946,30.117,,,1.0,,,,,,,,
16947,30.119,0.0,,,,,,,,,,
16948,30.121,,,,,,,0.0,,,,
16949,30.122,,,,0.0,,,,,,,
16950,30.124,,,,,,1.0,,0.0,,,
16951,30.126,,,,,,,,,,,0.0
16952,30.127,,0.0,,,,,,,,,
16953,30.128,,0.0,,,,,,,,,
16954,30.129,0.0,,,,,,,,,,
16955,30.132,,,,,,,,,0.0,,
16956,30.135,,,1.0,,,,,,,,
16957,30.136,,,,,,,,,,0.0,
16958,30.137,,,,,0.0,,,,,,
16959,30.138,,,,,,1.0,,,,,0.0
16960,30.14,0.0,,,0.0,,,0.0,,,,
16961,30.145,,,,,,,,0.0,,,
16962,30.146,,0.0,,,,,,,,,
16963,30.15,,,,,,,,,,,0.0
16964,30.152,0.0,,,,1.0,,,,,,
16965,30.153,,,1.0,,,,0.0,,,,
16966,30.156,,0.0,,,,,,,,,
16967,30.157,,0.0,,,,,,,,,0.0
16968,30.158,,,,,,1.0,,,0.0,,
16969,30.159,,,,,,,,,0.0,,
16970,30.16,,,,,,,,,,0.0,
16971,30.161,,,,0.0,,,,,,,
16972,30.162,0.0,,,,,,,,,,
16973,30.167,,0.0,,,,,0.0,0.0,,,
16974,30.168,,0.0,,,,,,,,,
16975,30.169,,,,,,,,,,,0.0
16976,30.17,,,,,0.0,,,0.0,,,
16977,30.171,,,,,,1.0,,0.0,,,
16978,30.173,0.0,,,,,,,,,,
16979,30.175,,,1.0,,,,,,,,
16980,30.176,,,,0.0,,,,,,,
16981,30.178,,0.0,,,,,,,,,
16982,30.179,,0.0,,,,,,,,,
16983,30.182,,,,,,,,,,,0.0
16984,30.184,0.0,,,,,,0.0,,,,
16985,30.185,,,,,0.0,,,,,0.0,
16986,30.187,,,,,,,,0.0,,,
16987,30.188,,,,,,,,,0.0,,
16988,30.19,,0.0,,0.0,,,,,,,
16989,30.191,,,,0.0,,1.0,,,,,
16990,30.193,,,1.0,,,,,,,,
16991,30.194,,,1.0,,,,,,,,0.0
16992,30.197,,,,,,,0.0,,,,
16993,30.198,,,,,0.0,,0.0,,,,
16994,30.201,,0.0,,,,,,,,,
16995,30.202,,,,,,,,0.0,,,
16996,30.204,,,,0.0,,,,,,,
16997,30.205,0.0,,,,,,,,,,
16998,30.206,,,,,,1.0,,,,,0.0
16999,30.207,,,,,,,,,,0.0,
17000,30.211,,,,,0.0,,,,,,
17001,30.212,,0.0,,,0.0,,,,,,
17002,30.213,,,1.0,,,,,,,,
17003,30.215,0.0,,,,,,,,0.0,,
17004,30.217,,,,,,,0.0,,,,
17005,30.219,,,,,,,,,,,0.0
17006,30.22,,,,0.0,,1.0,,,,,
17007,30.223,,0.0,,,,,,0.0,,,
17008,30.224,0.0,,,,,,,,,,
17009,30.226,,,,,0.0,,,,,,
17010,30.227,,,,,0.0,,,,,,
17011,30.231,,,1.0,,,,0.0,,,,0.0
17012,30.233,,,,,,1.0,,,,0.0,
17013,30.234,0.0,0.0,,,,,,,,,
17014,30.235,,0.0,,,,,0.0,,,,
17015,30.243,,,,0.0,,,,,0.0,,0.0
17016,30.245,,,,,,,,0.0,,,
17017,30.246,,0.0,,,,,,,,,
17018,30.247,,,,,0.0,,,,,,
17019,30.248,0.0,,,,,1.0,,,,,
17020,30.253,,,,,,,0.0,,,,
17021,30.254,,,1.0,,,,,,,,
17022,30.255,,,,,,,,,,,0.0
17023,30.256,,,,,,,,,,0.0,
17024,30.259,0.0,0.0,,,,,,,,,
17025,30.26,,,,,0.0,,,0.0,,,
17026,30.262,,,,,,1.0,,,,,
17027,30.265,,,,0.0,,,,,,,
17028,30.266,,,,0.0,,,,,,,
17029,30.267,,,,,,,0.0,,0.0,,0.0
17030,30.269,0.0,,,,,,,,,,
17031,30.273,,0.0,1.0,,,,,,,,
17032,30.274,,0.0,1.0,,,,,,,,
17033,30.275,,,,,,,,0.0,,,
17034,30.279,0.0,,,,,,,,,,0.0
17035,30.28,,,,,,1.0,,,,,0.0
17036,30.281,,,,0.0,0.0,,,,,,
17037,30.282,,,,,,,0.0,,,0.0,
17038,30.284,,0.0,,,,,,,,,
17039,30.289,,,,,,,,0.0,,,
17040,30.29,0.0,,,,,,,,,,
17041,30.291,,,,,,,,,0.0,,
17042,30.292,,,,,,,,,,,0.0
17043,30.293,,,1.0,,,,,,,,
17044,30.294,,0.0,,,,,,,,,
17045,30.295,,,,,1.0,,0.0,,,,
17046,30.296,,,,0.0,,,,,,,
17047,30.297,,,,,,1.0,,,,,
17048,30.3,0.0,,,,,,,,,,
17049,30.303,,0.0,,,,,,,,,
17050,30.304,,,,,,,,,,0.0,
17051,30.305,,,,,,,,,,0.0,0.0
17052,30.307,,,,,1.0,,,,,,
17053,30.309,,,,,,,0.0,,,,
17054,30.31,0.0,,,0.0,,,,,,,
17055,30.311,,,,,,,,0.0,,,
17056,30.312,,,1.0,,,,,,,,
17057,30.313,,,,,,0.0,,,,,
17058,30.314,,0.0,,,,,,,0.0,,
17059,30.317,,,,,,,,,,,0.0
17060,30.318,,,,,,,,,0.0,,
17061,30.32,0.0,,,,,,,,,,
17062,30.322,,,,,1.0,,,,,,
17063,30.324,,0.0,,,,,,,,,
17064,30.325,,,,,1.0,,,,,,
17065,30.326,,,,,,0.0,,,,,
17066,30.328,,,,0.0,,,,0.0,,,
17067,30.329,0.0,,,0.0,,,0.0,,,0.0,
17068,30.33,,,1.0,,,,,,,0.0,0.0
17069,30.335,,0.0,,,,,,,,,
17070,30.339,,,,,1.0,,,,,,
17071,30.341,0.0,,,,,1.0,,,0.0,,
17072,30.343,,,,,,,0.0,,,,
17073,30.346,,0.0,,,,,,0.0,,,
17074,30.349,,,,,,,,,,,0.0
17075,30.35,,,1.0,0.0,,,,,,,
17076,30.351,0.0,,,,,,,,,,
17077,30.355,,,,,,0.0,,,,,
17078,30.357,,0.0,,,,,,,,,
17079,30.358,,,,,1.0,,,,,0.0,
17080,30.36,,,,,,,,,,,0.0
17081,30.361,,,,,,,,0.0,,,
17082,30.362,0.0,,,,,,0.0,,,,
17083,30.366,,,,0.0,,,,,,,
17084,30.367,,,,,,,,,0.0,,
17085,30.368,,0.0,1.0,,1.0,,,,0.0,,
17086,30.369,,0.0,1.0,,,0.0,,,,,
17087,30.372,,,,,,,,,,,0.0
17088,30.373,,,,,,,,,,,0.0
17089,30.374,0.0,,,,,,,,,,
17090,30.375,,,,,,,0.0,,,,
17091,30.378,,,,,,,,0.0,,,
17092,30.379,,0.0,,,,,,,,,
17093,30.38,,0.0,,0.0,,,,,,,
17094,30.382,,,,,1.0,,,,,,
17095,30.383,,,,,,,,,,0.0,
17096,30.384,0.0,,,,,1.0,,,,,0.0
17097,30.386,,,1.0,,,,,,,,
17098,30.389,,,,,,,0.0,,,,
17099,30.391,,0.0,,,,,,,,,
17100,30.393,,,,,,,,0.0,,,
17101,30.395,,,,0.0,,,,,0.0,,
17102,30.396,0.0,,,,,,,,,,
17103,30.397,,,,,1.0,,,,,,0.0
17104,30.401,,0.0,,,,,,,,,
17105,30.403,,,,,,1.0,0.0,,,,
17106,30.405,,,,,,,,,,0.0,
17107,30.407,0.0,,,,,,,,,,
17108,30.408,,,1.0,,,,,,,,
17109,30.409,,,,,,,,,,,0.0
17110,30.41,,,,0.0,,,,,,,
17111,30.411,,,,,,,,0.0,,,
17112,30.413,,0.0,,,1.0,,,,,,
17113,30.414,,0.0,,,1.0,,,,,,
17114,30.417,,,,,,,0.0,,0.0,,
17115,30.418,0.0,,,,,0.0,,,,,
17116,30.421,,,,,,,,,,,0.0
17117,30.424,,0.0,,,,,,,,,
17118,30.427,,,1.0,,1.0,,,,,,
17119,30.428,,,,0.0,,,,,,,
17120,30.429,0.0,,,,,,,,,,
17121,30.43,,,,,,,0.0,,,0.0,
17122,30.433,,,,,,,,0.0,,,
17123,30.435,,0.0,,,,1.0,,,,,0.0
17124,30.436,,0.0,,,,,,,,,
17125,30.441,0.0,,,,,,,,,,
17126,30.443,,,,,,,,,0.0,,
17127,30.445,,,,,,,0.0,,,,
17128,30.446,,0.0,,,,,,,,,
17129,30.447,,,,,1.0,,,,,,0.0
17130,30.448,,,,,1.0,,,,,,
17131,30.449,,,1.0,,,,,,,,
17132,30.45,,,,,,,,0.0,,,
17133,30.451,,,,0.0,,1.0,,,,,
17134,30.454,,,,,,,,,,0.0,
17135,30.456,0.0,,,,,,,,,,
17136,30.459,,,,,,,,,,,0.0
17137,30.46,,,,,1.0,,,,,,
17138,30.461,,,,,1.0,,,,,,
17139,30.462,,0.0,,,,,,,,,
17140,30.463,,0.0,,,,,0.0,,,0.0,
17141,30.465,,,,,,,,,0.0,,
17142,30.466,0.0,,,,,,,0.0,,,
17143,30.469,,,1.0,0.0,,,,,,,
17144,30.47,,,,0.0,,,,,,,
17145,30.471,,,,,,1.0,,,,,
17146,30.474,,,,,,,,,,,0.0
17147,30.476,0.0,,,,,,0.0,,,,
17148,30.479,,0.0,,,,,,,,,
17149,30.48,,,,,1.0,,,,,,
17150,30.481,,,,,1.0,,,,,,
17151,30.483,,,,0.0,,,,0.0,,,
17152,30.485,,,,,,1.0,,,,,
17153,30.486,0.0,,1.0,,,,,,,,
17154,30.487,,,1.0,,,,,,,0.0,
17155,30.49,,0.0,,,,,0.0,,0.0,,
17156,30.494,,,,,1.0,,,,,,0.0
17157,30.496,0.0,,,,,,,,,,
17158,30.498,,,,0.0,,1.0,,,,,
17159,30.5,,,,,,,,0.0,,,
17160,30.501,,0.0,,,,,,,,,
17161,30.502,,0.0,,,,,,,,,
17162,30.504,,,1.0,,,,0.0,,,,
17163,30.506,0.0,,,,,,,,,,0.0
17164,30.507,,,,,1.0,,,,,,
17165,30.512,,,,,,,,,,0.0,
17166,30.513,,0.0,,,,1.0,,,,,
17167,30.514,,,,,,,,,0.0,,
17168,30.517,,,,0.0,,,0.0,0.0,,,
17169,30.518,0.0,,,,,,,,,,
17170,30.519,,,,,,,,,,,0.0
17171,30.52,,,,,1.0,,,,,,
17172,30.523,,,1.0,,,,,,,,
17173,30.527,,,,,,1.0,,,,,
17174,30.529,0.0,,,,,,,,,,
17175,30.532,,,,,,,0.0,,,,
17176,30.533,,,,,1.0,,,,,,
17177,30.534,,,,0.0,,,,0.0,,,
17178,30.538,,,,,,,,,,0.0,0.0
17179,30.54,0.0,0.0,,,,,,,,,
17180,30.541,,0.0,1.0,,,,,,0.0,,
17181,30.546,,,,,1.0,,,,,,
17182,30.547,,,,,,1.0,,,,,
17183,30.55,,,,,,,,0.0,,,
17184,30.551,0.0,,,0.0,,,0.0,,,,0.0
17185,30.552,,0.0,,,,,,,,,
17186,30.553,,0.0,,,,,,,,,
17187,30.555,0.0,,,,,,,,,,
17188,30.56,,,,,1.0,,,,,0.0,
17189,30.561,,,,,,,,,,0.0,
17190,30.562,,,,,,,,,,,0.0
17191,30.563,,,,,,0.0,,,,,
17192,30.564,,,1.0,,,,,,,,
17193,30.565,0.0,,,,,,,0.0,0.0,,
17194,30.566,,,,0.0,,,,,0.0,,
17195,30.567,,,,,,,0.0,,,,
17196,30.568,,0.0,,,,,,,,,
17197,30.569,,0.0,,,,,,,,,
17198,30.574,0.0,,,,,,,,,,
17199,30.575,,,,,,,,,,,0.0
17200,30.577,,,,,,0.0,,,,,
17201,30.579,,0.0,,,,,,,,,
17202,30.58,,,,,,,,0.0,,,
17203,30.581,,,,0.0,,,,,,,
17204,30.582,,,,,0.0,,,,,,
17205,30.584,,,,,,,0.0,,,,
17206,30.585,0.0,,,,,,,,,,
17207,30.586,,,1.0,,,,,,,0.0,
17208,30.587,,,1.0,,,,,,,,0.0
17209,30.588,,,,,,,,,0.0,,
17210,30.59,,0.0,,,,,,,,,
17211,30.592,,,,,,1.0,,,,,
17212,30.596,0.0,,,0.0,,,,,,,
17213,30.597,,,,,0.0,,,,,,
17214,30.598,,,,,0.0,,0.0,,,,
17215,30.599,,,,,,,,,,,0.0
17216,30.601,,0.0,,,,,,0.0,,,
17217,30.602,,0.0,,,,,,,,,
17218,30.605,,,1.0,,,,,,,,
17219,30.606,,,,,,0.0,,,,,
17220,30.607,0.0,,,,,,,,,,
17221,30.61,,,,,,,,,,0.0,
17222,30.612,,0.0,,,,,0.0,,0.0,,0.0
17223,30.613,,,,0.0,,,,,,,
17224,30.614,,,,,0.0,,,,,,
17225,30.618,0.0,,,,,,,,,,
17226,30.621,,,,,,,,,0.0,,
17227,30.623,,,1.0,,,,,0.0,,,
17228,30.624,,0.0,,,,1.0,,,,,0.0
17229,30.625,,,,,,,0.0,,,,
17230,30.627,,,,0.0,0.0,,,,,,
17231,30.628,,,,,0.0,,,,,,
17232,30.629,0.0,,,,,,,,,,
17233,30.635,,0.0,,,,,,,,,
17234,30.636,,,,,,,,,,,0.0
17235,30.637,,,,,,1.0,,,,,
17236,30.638,,,,,,1.0,0.0,,,,
17237,30.639,,,,,,,,0.0,,,
17238,30.64,0.0,,,,,,,,,,
17239,30.641,,,,,0.0,,,,,0.0,
17240,30.642,,,1.0,0.0,,,,,,,
17241,30.643,,,,0.0,,,,,,,
17242,30.645,,0.0,,,,,,,,,
17243,30.648,,,,,,,,,,,0.0
17244,30.649,,,,,,,,,0.0,,0.0
17245,30.653,0.0,,,,,,0.0,,,,
17246,30.654,,,,,0.0,,,0.0,,,
17247,30.655,,,,,0.0,,,,,,
17248,30.657,,0.0,,,,,,,,,
17249,30.658,,,,,,1.0,,,,,
17250,30.66,,,,,,,,,,,0.0
17251,30.661,,,,0.0,,,,,,,
17252,30.662,,,,0.0,,,,,,,
17253,30.663,0.0,,,,,,,,,,
17254,30.664,,,1.0,,,,,,,,
17255,30.665,,,1.0,,,,,,,,
17256,30.668,,0.0,,,0.0,,,,,0.0,
17257,30.669,,0.0,,,0.0,,,0.0,,,
17258,30.671,,,,,,1.0,,,,,
17259,30.672,,,,,,,,,,,0.0
17260,30.673,,,,,,,0.0,,,,
17261,30.674,0.0,,,,,,,,,,
17262,30.675,,,,,,,,,0.0,,
17263,30.676,,,,,,,,,0.0,,
17264,30.677,,,,0.0,,,,,,,
17265,30.679,,0.0,,,,,,,,,
17266,30.68,,,,,,1.0,,,,,
17267,30.682,,,,,0.0,,,,,,
17268,30.683,,,1.0,,,,,,,,
17269,30.684,,,,,,,,,,,0.0
17270,30.686,0.0,,,,,,,,,,
17271,30.689,,,,,,,,0.0,,,
17272,30.69,,0.0,,,,,,,,,
17273,30.692,,,,0.0,,,0.0,,,,
17274,30.693,,,,,,1.0,,,,,
17275,30.694,,,,,,,,,,0.0,
17276,30.696,0.0,,,,,,,,,,
17277,30.697,,,,,,,,,,,0.0
17278,30.7,,,,,,,,,0.0,,
17279,30.701,,0.0,,,,,,,,,
17280,30.702,,,1.0,,,,,,,,
17281,30.703,,,,,0.0,,,,,,
17282,30.705,,,,,,,,0.0,,,
17283,30.706,0.0,,,0.0,,,,,,,
17284,30.707,,,,,,1.0,0.0,,,,
17285,30.71,,0.0,,,,,,,,,
17286,30.711,,0.0,,,,,,,,,
17287,30.716,,,,,0.0,,,,,0.0,0.0
17288,30.72,,,,,,,0.0,,,,
17289,30.721,,,1.0,,,,,,,,
17290,30.722,,0.0,,,,,,0.0,,,
17291,30.723,,,,,,,,,0.0,,
17292,30.725,,,,,,1.0,,,,,
17293,30.728,0.0,,,,,,,,,,0.0
17294,30.729,,,,0.0,,,,,,,
17295,30.735,,0.0,,,,,,,,,
17296,30.736,,0.0,,,0.0,,,,,,
17297,30.737,,,,,0.0,,,,,,
17298,30.738,0.0,,,,,,,,,,
17299,30.739,,,,,,1.0,0.0,,,,
17300,30.74,,,,,,,,,,,0.0
17301,30.742,,,,,,,,0.0,,0.0,
17302,30.743,,,1.0,,,,,,,,
17303,30.745,,,,,,,,,0.0,,
17304,30.746,,0.0,,,,,,,,,
17305,30.748,0.0,,,,,,,,,,
17306,30.75,,,,0.0,0.0,,,,,,
17307,30.752,,,,,,,0.0,,,,0.0
17308,30.757,,0.0,,,,,,,,,
17309,30.758,,,,,,1.0,,,,,
17310,30.759,0.0,,,,,,,,,,
17311,30.763,,,,,0.0,,,0.0,,,
17312,30.764,,,1.0,0.0,,,0.0,,,,0.0
17313,30.765,,,,0.0,,,0.0,,,,
17314,30.766,,,,,,,,,,0.0,
17315,30.768,,0.0,,,,,,,,,
17316,30.769,,0.0,,,,,,,,,
17317,30.77,,,,,,,,,0.0,,
17318,30.771,,,,,,,,,0.0,,
17319,30.773,,,,,,1.0,,,,,
17320,30.774,0.0,,,,,,,,,,
17321,30.776,,,,,0.0,,,,,,
17322,30.777,,,,,,,,,,,0.0
17323,30.778,,,,,,,,0.0,,,
17324,30.779,,0.0,,0.0,,,,,,,
17325,30.783,0.0,,1.0,,,,,,,,
17326,30.784,,,,,,,0.0,,,,
17327,30.788,,,,,,1.0,,,,,
17328,30.789,,,,,,,,,,,0.0
17329,30.79,,0.0,,,0.0,,,,,0.0,
17330,30.791,,,,,,,,,,0.0,
17331,30.792,,,,,,,,,0.0,,
17332,30.793,,,,0.0,,,,,,,
17333,30.794,0.0,,,,,,,,,,
17334,30.796,,,,,,,,0.0,,,
17335,30.799,,,,,,,0.0,,,,
17336,30.801,,0.0,,,,1.0,,,,,0.0
17337,30.802,,,1.0,,,,,,,,
17338,30.803,0.0,,,,0.0,,,,,,
17339,30.807,,,,0.0,,,,,,,
17340,30.811,,,,,,,,0.0,,,
17341,30.812,,0.0,,,,,,,,,
17342,30.813,0.0,0.0,,,,,0.0,,,,
17343,30.814,,,,,,,,,,0.0,0.0
17344,30.815,,,,0.0,,,,,,,
17345,30.816,,,,,,,,,0.0,,
17346,30.817,,,,,,1.0,,,,,
17347,30.819,,,1.0,,,,,,,,
17348,30.823,0.0,0.0,,,,,,,,,
17349,30.826,,,,,,,0.0,,,,
17350,30.827,,,,,0.0,,,,,,
17351,30.829,,,,,,,,,,,0.0
17352,30.83,,,,0.0,,,,,,,
17353,30.831,,,,0.0,,,,,,,
17354,30.834,,,,,,,,0.0,,,
17355,30.835,,0.0,,,,1.0,,,,,
17356,30.836,,,,,,1.0,,,,,
17357,30.838,,,,,,,,,,0.0,
17358,30.839,,,,,,,0.0,,,,
17359,30.84,0.0,,,,,,,,0.0,,
17360,30.841,,,,,0.0,,,,0.0,,
17361,30.843,,,1.0,,,,,,,,0.0
17362,30.846,,0.0,,,,,,,,,
17363,30.85,0.0,,,,,1.0,,,,,
17364,30.851,,,,0.0,,,,0.0,,,
17365,30.855,,,,,,,0.0,,,,
17366,30.857,,0.0,,,,,,,,,
17367,30.859,,,,,0.0,,,,,,
17368,30.86,,,,,,,,,,,0.0
