,seconds,arousal,dominance,valence,task_engagement,speaking_p_blue,sentiment_p_blue,engagement_p_blue,speaking_p_green,sentiment_p_green,engagement_p_green,SP,SI,OV_all_SP,OV_two_SP,Unnamed: 0,MG,DG_P1_target,DG_P2_target,1d_DG_P1,1d_DG_P2,0_D1,DG,G_OnSpeaker,G_SP_OnSilent,G_SP,G_OnSpeaker_OV,No_G_OnSpeaker,No_G_SP,G_SI,No_G_SI,session,speaking_p_red,sentiment_p_red,engagement_p_red,MG_P1P2,MG_P1P3,MG_P2P3,DG_P3_target,1d_DG_P3,1_D1,2_D1_same,2_D1_different,3_D1,MG_D1,MG_D0,0_D1.1
0,0,0.489290922091659,0.476714733583868,0.44463956770119156,0.9234230130834098,0.39578368469294223,-0.1417197830570119,0.671620862961656,0.48909257561869846,0.05490073024472961,0.4824047407658723,0.8742438130155821,0.12043996333638864,0.005316223648029331,0.005316223648029331,2724.705957836847,0.006599450045829514,0.022181484876260312,0.10687442713107241,0.015582034830430797,0.1002749770852429,0.8775435380384968,0.1158570119156737,0.06709440879926673,0.024381301558203484,0.0993583868010999,0.0,0.8067827681026581,0.7748854262144821,0.0230980751604033,0.09734188817598534,dyad_01,,,,,,,,,,,,,,,
1,60,0.47695461190284144,0.4630894731054079,0.4333175090394134,0.9551083399999999,0.6340971585701192,-0.09178782178808433,0.8085858414659333,0.20421631530705775,-0.013888766125389551,0.5553658753012527,0.8130155820348305,0.17433547204399633,0.012648945921173235,0.012648945921173235,8243.225297891842,0.0,0.0,0.062144821264894595,0.0,0.062144821264894595,0.9378551787351054,0.062144821264894595,0.012648945921173235,0.03244729605866178,0.045096241979835014,0.0,0.8003666361136572,0.7679193400549954,0.017048579285059578,0.15728689275893676,dyad_01,,,,,,,,,,,,,,,
2,120,0.4860171414008067,0.47215289076090944,0.44276001079574623,0.9233907867345068,0.3195819581958196,-0.09795893169673633,0.7388828940082203,0.5337367070040338,-0.04364622421571323,0.7137336135723016,0.8437843784378438,0.15144847818115145,0.004767143381004767,0.004767143381004767,13757.175467546755,0.0,0.0,0.051521818848551525,0.0,0.051521818848551525,0.9484781811514484,0.051521818848551525,0.025302530253025302,0.019801980198019802,0.045104510451045104,0.0,0.8184818481848185,0.7986798679867987,0.006417308397506418,0.14503116978364503,dyad_01,,,,,,,,,,,,,,,
3,180,0.49992460031714026,0.49346933295142076,0.4297229851457378,0.7195429608071799,0.03611365719523373,-0.031792586635197066,0.3925648679833486,0.6185151237396883,0.13268544843431715,0.5710874250536205,0.654628780934922,0.3453712190650779,0.0,0.0,19271.37176901925,0.0,0.0,0.022181484876260312,0.0,0.022181484876260312,0.9778185151237397,0.022181484876260312,0.0,0.015948670944087993,0.015948670944087993,0.0,0.654628780934922,0.6386801099908341,0.006232813932172319,0.3391384051329056,dyad_01,,,,,,,,,,,,,,,
4,240,0.4767442783736707,0.46581216987532087,0.4246275151173451,0.7697263391743063,0.7150715071507151,-0.22396296074046573,0.6715672839299597,0.05243857719105244,-0.03597670014163916,0.49429466887437357,0.7517418408507518,0.2403740374037404,0.007884121745507884,0.007884121745507884,24779.95709570957,0.0014668133480014668,0.0014668133480014668,0.3065639897323066,0.0,0.3050971763843051,0.6934360102676934,0.3050971763843051,0.2565089842317565,0.0,0.2565089842317565,0.005317198386505317,0.49523285661899524,0.49523285661899524,0.044737807114044736,0.19563623028969562,dyad_01,,,,,,,,,,,,,,,
5,300,0.46824509898075156,0.46852509030614115,0.3989291866691109,0.41748220529844177,0.11182401466544455,-0.0868983516263978,0.4826929493941338,0.02548120989917507,-0.03635058540403299,0.15519130014222424,0.1373052245646196,0.8626947754353804,0.0,0.0,30308.369752520623,0.0,0.0,0.024381301558203484,0.0,0.024381301558203484,0.9756186984417965,0.024381301558203484,0.0009165902841429881,0.0,0.0009165902841429881,0.0,0.13638863428047662,0.13638863428047662,0.023464711274060496,0.8392300641613198,dyad_01,,,,,,,,,,,,,,,
6,360,0.47784789958562524,0.47120966023652366,0.4101364680638064,0.5967189694665994,0.41290795746241293,-0.1276661412370737,0.6283994820573585,0.007334066740007334,-0.03458709137147048,0.30712200270352036,0.42024202420242024,0.5797579757975797,0.0,0.0,35841.24569123579,0.0,0.00018335166850018335,0.05977264393105977,0.00018335166850018335,0.05977264393105977,0.94004400440044,0.059955995599559955,0.032453245324532455,0.0,0.03263659699303264,0.0,0.3876054272093876,0.3876054272093876,0.02731939860652732,0.5524385771910525,dyad_01,,,,,,,,,,,,,,,
7,420,0.48136804400733274,0.47640194876626946,0.41150202519706686,0.46977723703116403,0.4005499541704858,-0.06073640882419799,0.5833022756959976,0.03794683776351971,-0.030134419320256643,0.27344342068423466,0.4384967919340055,0.5615032080659945,0.0,0.0,41382.37635197067,0.0,0.0,0.005316223648029331,0.0,0.005316223648029331,0.9946837763519707,0.005316223648029331,0.0,0.0,0.0,0.0,0.4384967919340055,0.4384967919340055,0.005316223648029331,0.5561869844179652,dyad_01,,,,,,,,,,,,,,,
8,480,0.5090045376200953,0.49278527077374407,0.4679382722588925,0.8476658070882227,0.0,-0.034985602,0.37010509718402396,0.9072240557389072,-0.3487729407704437,0.7441954002771666,0.9072240557389072,0.09277594426109277,0.0,0.0,46937.32819948661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9072240557389072,0.9072240557389072,0.0,0.09277594426109277,dyad_01,,,,,,,,,,,,,,,
9,540,0.4959636373895509,0.4864706038735106,0.4379777800164986,0.8072859166626642,0.32795600366636113,-0.23986623866617782,0.4588969115379316,0.39615032080659945,-0.10814811994995416,0.6735216825187901,0.7241063244729606,0.2758936755270394,0.0,0.0,52477.41943171402,0.0,0.0,0.06709440879926673,0.0,0.06709440879926673,0.9329055912007332,0.06709440879926673,0.06672777268560953,0.0,0.06672777268560953,0.0,0.657378551787351,0.657378551787351,0.00036663611365719525,0.2755270394133822,dyad_01,,,,,,,,,,,,,,,
