session,time_ms,arousal,dominance,valence,task_engagement,text_p_blue,speaking_p_blue,sentiment_p_blue,engagement_p_blue,text_p_green,speaking_p_green,sentiment_p_green,engagement_p_green
recording_dyad_04,0.0,0.551824,0.57302034,0.41670734,0.16384539,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_04,40.0,0.45548373,0.45271415,0.42023054,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_04,80.0,0.48724547,0.46163368,0.38632601,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_04,120.0,0.40825278,0.39353037,0.39633414,0.011572723,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_04,160.0,0.4493598,0.44134042,0.43634653,0.006044359449999999,,False,-0.034985602,,,False,-0.034985602,0.50765526
recording_dyad_04,200.0,0.41863734,0.40291926,0.34465316,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,240.0,0.5089106,0.47013724,0.39640555,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,280.0,0.42226487,0.41811255,0.40025967,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,320.0,0.36349657,0.36704844,0.36108804,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,360.0,0.52012664,0.5127468,0.38818014,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,400.0,0.48096532,0.5001365,0.4012709,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,440.0,0.51558685,0.48778954,0.36570394,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,480.0,0.43844426,0.40631065,0.39514208,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,520.0,0.46553388,0.43678054,0.42246926,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,560.0,0.46290752,0.4340422,0.3775306,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,600.0,0.43199354,0.4255568,0.40445125,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,640.0,0.51580054,0.48608744,0.40194196,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,680.0,0.44927022,0.3826335,0.41609457,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,720.0,0.45011148,0.41078457,0.37690216,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,760.0,0.4156943,0.41128737,0.43829393,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,800.0,0.33389166,0.3476635,0.38384876,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,840.0,0.42015702,0.40175867,0.37733155,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,880.0,0.49443698,0.46313733,0.406663,0.006044359449999999,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
recording_dyad_04,920.0,0.4584688,0.43584317,0.36726406,0.00604435945,,False,-0.034985602,0.2969207,,False,-0.034985602,0.50765526
