session,time_ms,arousal,dominance,valence,task_engagement,text_p_blue,speaking_p_blue,sentiment_p_blue,engagement_p_blue,text_p_green,speaking_p_green,sentiment_p_green,engagement_p_green,text_p_red,speaking_p_red,sentiment_p_red,engagement_p_red
recording_triad_13,0.0,0.5933423,0.576018,0.44987452,,,False,-0.034985602,,,False,-0.034985602,,,False,-0.034985602,
recording_triad_13,40.0,0.61018336,0.58692664,0.5636708,,,False,-0.034985602,,,False,-0.034985602,,,False,-0.034985602,
recording_triad_13,80.0,0.46397862,0.437288,0.44565207,,,False,-0.034985602,,,False,-0.034985602,,,False,-0.034985602,
recording_triad_13,120.0,0.45419052,0.4293115,0.45095062,,,False,-0.034985602,,,False,-0.034985602,,,False,-0.034985602,
recording_triad_13,160.0,0.5044961,0.4663759,0.43545657,0.03457767,,False,-0.034985602,,,False,-0.034985602,0.26681575,,False,-0.034985602,
recording_triad_13,200.0,0.49390644,0.47003078,0.43674257,0.03457767,,False,-0.034985602,,,False,-0.034985602,0.26681575,,False,-0.034985602,
recording_triad_13,240.0,0.565718,0.51373416,0.4292077,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,280.0,0.4802523,0.44663474,0.43341294,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,320.0,0.51875806,0.47869644,0.45029062,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,360.0,0.53471833,0.49799022,0.44706807,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,400.0,0.53181255,0.51455486,0.50545144,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,440.0,0.61906046,0.5741238,0.48363394,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,480.0,0.57273614,0.54009736,0.4936623,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,520.0,0.38912168,0.389361,0.5043327,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,560.0,0.5010835,0.48846763,0.48119336,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,600.0,0.4665379,0.45596272,0.44293866,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,640.0,0.49427265,0.45241612,0.514199,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,680.0,0.4567901,0.44641036,0.5376512,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,720.0,0.5051397,0.48742667,0.5167313,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,760.0,0.55004084,0.50247484,0.5254444,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,800.0,0.46431443,0.46073613,0.4715479,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,840.0,0.47743955,0.4715979,0.44628748,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,880.0,0.49532562,0.47728828,0.44327176,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,920.0,0.612735,0.56714624,0.5501179,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,960.0,0.57735527,0.55026436,0.5538272,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1000.0,0.58742905,0.53713614,0.5007986,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1040.0,0.39323083,0.37048078,0.44553557,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1080.0,0.3791437,0.38715902,0.4320153,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1120.0,0.38482827,0.3893743,0.4337174,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1160.0,0.43730405,0.43395364,0.47960737,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1200.0,0.43775278,0.435166,0.4637473,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1240.0,0.4771461,0.46678424,0.47916397,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
recording_triad_13,1280.0,0.45727116,0.44939342,0.47192344,0.03457767,,False,-0.034985602,0.021675555,,False,-0.034985602,0.26681575,,False,-0.034985602,0.02597626
