session,time_ms,arousal,dominance,valence,task_engagement,text_p_blue,speaking_p_blue,sentiment_p_blue,engagement_p_blue,text_p_green,speaking_p_green,sentiment_p_green,engagement_p_green
recording_dyad_11,0.0,0.519537,0.49646047,0.44242945,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,40.0,0.43122086,0.42061257,0.44506875,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,80.0,0.47268492,0.45627883,0.41588548,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,120.0,0.40950835,0.40330416,0.42669412,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,160.0,0.5046492,0.4683135,0.459281,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,200.0,0.5366132,0.5150014,0.512404,,,False,-0.034985602,,,False,-0.034985602,
recording_dyad_11,240.0,0.56805646,0.542527,0.49884173,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,280.0,0.57843786,0.5336802,0.4825992,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,320.0,0.43828234,0.40637243,0.47029757,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,360.0,0.51294667,0.45803684,0.49759844,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,400.0,0.48603925,0.45802745,0.4895513,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,440.0,0.5507472,0.5035467,0.46319205,0.0560812,,False,-0.034985602,,,False,-0.034985602,0.021675555
recording_dyad_11,480.0,0.44853532,0.424106,0.44093883,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,520.0,0.52830803,0.48637015,0.4818328,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,560.0,0.4825302,0.479736,0.48465332,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,600.0,0.63041294,0.61268073,0.52699804,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,640.0,0.546525,0.5330454,0.5295711,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,680.0,0.50221694,0.48752728,0.48031294,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,720.0,0.47672638,0.45819303,0.4643273,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,760.0,0.55461746,0.54907054,0.493493,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,800.0,0.51073164,0.47028047,0.4804431,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,840.0,0.5881486,0.55600005,0.51048875,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,880.0,0.4850961,0.45847228,0.4615352,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,920.0,0.47955412,0.46746814,0.4501103,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,960.0,0.40356955,0.39830896,0.4168221,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,1000.0,0.52466327,0.48618114,0.4662217,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
recording_dyad_11,1040.0,0.44616607,0.42856133,0.48795244,0.0560812,,False,-0.034985602,0.02597626,,False,-0.034985602,0.021675555
