,dyad_02_interrater_LinsCCC,dyad_03_interrater_LinsCCC,dyad_04_interrater_LinsCCC,dyad_05_interrater_LinsCCC,dyad_06_interrater_LinsCCC,dyad_07_interrater_LinsCCC,dyad_10_interrater_LinsCCC,dyad_11_interrater_LinsCCC,triad_01_interrater_LinsCCC,triad_02_interrater_LinsCCC,triad_05_interrater_LinsCCC,triad_06_interrater_LinsCCC,triad_07_interrater_LinsCCC,triad_08_interrater_LinsCCC,triad_09_interrater_LinsCCC,triad_10_interrater_LinsCCC,triad_11_interrater_LinsCCC,triad_12_interrater_LinsCCC,triad_13_interrater_LinsCCC,triad_14_interrater_LinsCCC
continuous,0.6290052790132971,0.30888142554504994,0.6178622508237801,0.6034456728365948,0.659886852451503,0.47780984191333453,0.7398126322781016,0.2640717819748828,0.5730815352136512,0.47805368471020016,0.1660130133180842,0.40618088037582195,0.43161067379881657,0.2570482199733937,0.628405825620662,0.5216537262194308,0.09830660526063234,0.3079994056272226,0.19632063225557983,0.3756904758483396
discrete,0.5577564849798728,0.25713535119135633,0.5134312306074965,0.6015342655966841,0.6684650871240663,0.42839026791807655,0.40208781075052175,0.15006414890319364,0.5134677182163662,0.3564365212173577,0.1351411417092381,0.338927028425354,0.15074331830087417,0.03413999792685014,0.49183924822302205,0.29993934042784043,0.02004326321320619,0.16498319202814438,0.08612160323404652,0.29167940518143626
