,dyad_02_interrater_relia,dyad_03_interrater_relia,dyad_04_interrater_relia,dyad_05_interrater_relia,dyad_06_interrater_relia,dyad_07_interrater_relia,dyad_10_interrater_relia,dyad_11_interrater_relia,triad_01_interrater_relia,triad_02_interrater_relia,triad_05_interrater_relia,triad_06_interrater_relia,triad_07_interrater_relia,triad_08_interrater_relia,triad_09_interrater_relia,triad_10_interrater_relia,triad_11_interrater_relia,triad_12_interrater_relia,triad_13_interrater_relia,triad_14_interrater_relia
continuous,0.8627614622264319,0.7407468980301586,0.8505492806541661,0.816324492327682,0.7908503876044368,0.7781379348379838,0.8307534152297689,0.7086946481829577,0.8149113008452269,0.8678567439794407,0.519005742862511,0.6902587988692441,0.6516558796252157,0.44824897491003446,0.8122326250202241,0.8341090642099844,0.6468599823757046,0.7322737461536664,0.6992169503394172,0.8605162356989908
discrete,0.8616216984971385,0.7599255518022501,0.8297195488846856,0.856543989396972,0.8247305966398373,0.8342244108865369,0.8184672081087188,0.650463111508095,0.8905193966249576,0.9256373064457297,0.4852012707279063,0.627092218289234,0.5100311535087494,0.10701829802528895,0.7846990776309726,0.8244311635905694,0.6044342005979668,0.6805197310767024,0.6076021089056423,0.8104156700397633
