,task_eng_dyad_01,task_eng_dyad_02,task_eng_dyad_03,task_eng_dyad_04,task_eng_dyad_05,task_eng_dyad_07,task_eng_dyad_08,task_eng_dyad_09,task_eng_dyad_10,task_eng_dyad_11,groups,avg_task_eng,std_avg_task_eng,seconds
0,0.0029998815,0.001684144,0.0,0.081922696,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.01003661590831546,0.02541495111213585,0.0
1,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.011111111111111112
2,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.022222222222222223
3,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.03333333333333333
4,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.044444444444444446
5,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.05555555555555556
6,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.06666666666666667
7,0.0029998815,0.001684144,0.0,0.0,0.004094443,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.0018443463083154601,0.0028919427580477615,0.07777777777777778
8,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.08888888888888889
9,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.1
10,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.11111111111111112
11,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.12222222222222223
12,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.13333333333333333
13,0.0029998815,0.001684144,0.0,0.0,0.023593643,0.000710606,0.0089543885831546,0.0,0.0,0.0,10,0.00379426630831546,0.0074923448906156825,0.14444444444444446
