,task_eng_dyad_01,task_eng_dyad_02,task_eng_dyad_03,task_eng_dyad_04,task_eng_dyad_05,task_eng_dyad_07,task_eng_dyad_08,task_eng_dyad_09,task_eng_dyad_10,task_eng_dyad_11,task_eng_triad_01,task_eng_triad_02,task_eng_triad_04,task_eng_triad_06,task_eng_triad_07,task_eng_triad_08,task_eng_triad_09,task_eng_triad_10,task_eng_triad_11,task_eng_triad_12,task_eng_triad_13,groups,avg_task_eng,seconds
0,0.2891581755,0.3104673515,0.038745268,0.1025832505,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02023338831209775,0.47810599182290214,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12471103415229491,0.0
1,0.2891581755,0.3104673515,0.038745268,0.106813047,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02023338831209775,0.47944449103006687,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12497619109073133,0.011111111111111112
2,0.29047391300000003,0.3104673515,0.0350975965,0.106813047,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02147705339309082,0.48087782436340265,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.1249926227295089,0.022222222222222223
3,0.29047391300000003,0.3104673515,0.0350975965,0.12616254699999999,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.4823114910300657,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12601190840604035,0.03333333333333333
4,0.29047391300000003,0.3104673515,0.0350975965,0.1303923435,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.48302832436339904,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12624746220762764,0.044444444444444446
5,0.29047391300000003,0.3104673515,0.0350975965,0.1303923435,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.48302832436339904,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12624746220762764,0.05555555555555556
6,0.29047391300000003,0.3104673515,0.0350975965,0.1303923435,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.4842719894443948,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12630668435434173,0.06666666666666667
7,0.29047391300000003,0.3104673515,0.0350975965,0.1346221395,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.4848938219848895,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12653771428484148,0.07777777777777778
8,0.29047391300000003,0.3104673515,0.0350975965,0.1346221395,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02209888593358815,0.4848938219848895,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12653771428484148,0.08888888888888889
9,0.29047391300000003,0.3104673515,0.0350975965,0.138005977,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02272071847408558,0.4848938219848895,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.12672846047724612,0.1
10,0.29047391300000003,0.3104673515,0.0350975965,0.138005977,0.0108226245,0.0605101305,0.0139107933401735,0.002236365,0.30325333149892697,0.02766750047570205,0.012953927,0.202735202,0.02363752,0.02396438355507885,0.4848938219848895,0.24987988858315457,0.01298815,0.0176417885831546,0.1451103576625315,0.2790018624195504,0.01728885,21,0.1267876826239601,0.11111111111111112
