,sum_sq,df,F,PR(>F)
C(Model),0.32523863847193596,4.0,1.9880202659455746,0.09567854201824769
C(Group),0.4788145594454562,2.0,5.853505304779497,0.0031363668749884825
C(Features),5.023403194323062e-05,1.0,0.0012282215177446335,0.972061566515668
C(Model):C(Group),0.5113608724879664,8.0,1.5628459498138743,0.1343264245872673
C(Model):C(Features),0.06861421404749672,4.0,0.4194041910248656,0.7946508953772329
C(Group):C(Features),0.027916176335685418,2.0,0.34127509919361354,0.7110821236873914
Residual,15.460129789461297,378.0,,
