session,role,segment_count,total_segment_duration_s,total_words,words_per_second_overall,avg_words_per_segment,avg_word_length,question_ratio,statement_ratio,sentiment_p_blue_mean_avg,sentiment_p_blue_mean_spread,engagement_p_blue_mean_avg,engagement_p_blue_mean_spread,task_engagement_mean_avg,task_engagement_mean_spread,arousal_mean_avg,arousal_mean_spread,dominance_mean_avg,dominance_mean_spread,valence_mean_avg,valence_mean_spread,sentiment_p_green_mean_avg,sentiment_p_green_mean_spread,engagement_p_green_mean_avg,engagement_p_green_mean_spread,sentiment_p_red_mean_avg,sentiment_p_red_mean_spread,engagement_p_red_mean_avg,engagement_p_red_mean_spread,sentiment_p_blue_std_avg,sentiment_p_blue_std_spread,engagement_p_blue_std_avg,engagement_p_blue_std_spread,task_engagement_std_avg,task_engagement_std_spread,arousal_std_avg,arousal_std_spread,dominance_std_avg,dominance_std_spread,valence_std_avg,valence_std_spread,sentiment_p_green_std_avg,sentiment_p_green_std_spread,engagement_p_green_std_avg,engagement_p_green_std_spread,sentiment_p_red_std_avg,sentiment_p_red_std_spread,engagement_p_red_std_avg,engagement_p_red_std_spread
recording_dyad_01,p_blue,170,487.649,1613,3.3077069777647448,9.488235294117647,4.362165933023474,0.058823529411764705,0.9411764705882353,-0.09530642474688357,0.36920013495853193,0.6907053697089158,0.29421133386468457,0.7338535657900722,0.291827512095508,0.4568284026050213,0.021577429703190376,0.4465106748435821,0.021707720196757534,0.4137407108162006,0.020412589757966358,,,,,,,,,0.003097684803528539,0.01256907516026602,0.02229007823554672,0.04888171550706968,0.015069464821053332,0.037816575731461646,0.060478514108187484,0.01469560294772705,0.05237794078563142,0.013299659297738768,0.04176925862108277,0.010853745838983875,,,,,,,,
recording_dyad_01,p_green,75,194.37800000000001,603,3.1022029241992404,8.04,4.123156056361939,0.02666666666666667,0.9733333333333334,,,,,0.7725633137595749,0.26889907365841326,0.4901273378526814,0.020268334591393447,0.4785074405675065,0.01700993371318692,0.4548347231300694,0.02022919358686582,-0.029138030778666675,0.32901895596628966,0.6044285747399489,0.2300317747587443,,,,,,,,,0.006218887302101107,0.027436921566720705,0.06007618911215047,0.01783814314296366,0.05087892171557854,0.014303733182655156,0.0434418398180942,0.008562716294941444,2.7399957303053668e-17,4.6861562709749346e-17,0.009015043155533633,0.023966365473344256,,,,
recording_dyad_02,p_blue,35,124.28099999999999,393,3.162188910613851,11.228571428571428,4.50496034411268,0.0,1.0,-0.04942750415413179,0.4099263304696144,0.5801674431386297,0.23520319775044315,0.6061272666335067,0.3012736870818074,,,,,,,,,,,,,,,0.005520069706958648,0.017084598198588853,0.039921246133668487,0.056894974538212725,0.061677005407645535,0.09580114792828302,,,,,,,,,,,,,,
recording_dyad_02,p_green,37,177.199,456,2.5733779536001893,12.324324324324325,4.458491008640303,0.0,1.0,,,,,0.6158350472716645,0.27168560581442186,,,,,,,-0.21007038186721433,0.3609945316813776,0.3002577938620504,0.1351386134982709,,,,,,,,,0.042345974883135344,0.07221578606728886,,,,,,,0.0038094236702456872,0.017647573400893773,0.019657815249807108,0.031151795679449742,,,,
recording_dyad_03,p_blue,140,360.318,1167,3.2388057216125756,8.335714285714285,4.259324564727678,0.07857142857142857,0.9214285714285714,-0.2554054100893701,0.3663507710322624,0.22773779167583022,0.10274916143752982,0.7482535707334506,0.24936019812585483,0.5033406745465057,0.019086537611974732,0.4857381778014315,0.015867381823604615,0.4844408711388302,0.011529762594411748,,,,,,,,,0.001171379518279682,0.007627157275143913,0.007135856516750799,0.019411784777749266,0.02159947541804046,0.04765817207821744,0.06969306796649148,0.012946175573099496,0.0595531262559305,0.011474383825571394,0.03831670924389289,0.006486634741014367,,,,,,,,
recording_dyad_03,p_green,109,175.282,612,3.4915165276525824,5.614678899082569,3.2926349125080914,0.027522935779816515,0.9724770642201835,,,,,0.7698117024727241,0.2224779252335357,0.5003360959291309,0.01765786364632671,0.47987456869169615,0.016698285787335846,0.47954437678445405,0.012592230550576233,-0.1672728124220184,0.3341407941254752,0.5043029807240922,0.13537709723008617,,,,,,,,,0.012686439963716462,0.029678279731760893,0.05952060534926628,0.013878174653201535,0.05158818985743631,0.013138691627056618,0.03677562396522467,0.009433270752589654,3.069187360936947e-17,5.807372179889087e-17,0.002130737861472721,0.009083857489231134,,,,
recording_dyad_04,p_blue,161,237.838,860,3.61590662551821,5.341614906832298,3.7734189446174304,0.037267080745341616,0.9627329192546584,-0.08988447618769735,0.25874720406163865,0.4519154181032464,0.17961999815894675,0.6881003943198633,0.3251447246622357,0.48880524784779084,0.022406779889063935,0.4644305784265624,0.019122078060945603,0.44869127886074156,0.016764338625642663,,,,,,,,,0.003143243139106114,0.03048818708842902,0.01010230638288092,0.03176888711162212,0.00804079397594194,0.033300546232313606,0.054833852580700844,0.01535872804752217,0.04956497890293499,0.014654114163610597,0.03973877671236979,0.01076593937099947,,,,,,,,
recording_dyad_04,p_green,132,256.55999999999995,830,3.235110695353914,6.287878787878788,4.022452789291973,0.08333333333333333,0.9166666666666666,,,,,0.6682703560169011,0.32781219054184313,0.4936631880225909,0.019657155895421972,0.4742610426775536,0.015594273298533756,0.4523518810139674,0.016083998194679257,-0.09087130926914982,0.3862661588407306,0.5725479626820285,0.1256724670224625,,,,,,,,,0.02025699988731627,0.052116912171011345,0.06057646915902064,0.014543158756953875,0.05297155471041969,0.011715344588881745,0.04264499125997572,0.011643072963697222,0.0021628467973413136,0.02451456253531165,0.008778676032222725,0.017900806723845194,,,,
recording_dyad_05,p_blue,103,235.40100000000004,861,3.6575885404055204,8.359223300970873,3.957166038260647,0.04854368932038835,0.9514563106796117,-0.1165406062160509,0.40188265831678105,0.5146658293238735,0.14681073623384672,0.5694668262985685,0.34515716186751677,0.4923440460116453,0.021035968867201427,0.4736755343015667,0.016998429569800914,0.478687282829688,0.020770848255002215,,,,,,,,,0.002653664300636367,0.02634589815784653,0.010032771287050163,0.021754859864616855,0.01681621840356565,0.04708025059864828,0.062011715559043,0.019036036168182162,0.05080243906819032,0.016096804381898127,0.05022750560848518,0.012805404073883647,,,,,,,,
recording_dyad_05,p_green,120,242.36,901,3.7176101666941737,7.508333333333334,4.262608080600078,0.05,0.95,,,,,0.5190727870391912,0.35510917938504344,0.4860594861099257,0.024635120588134857,0.46807310212856895,0.019750717131384717,0.4620475561896422,0.024714246432783252,-0.13254582982339602,0.37556661924601564,0.4349466434853951,0.09282246374167422,,,,,,,,,0.01732136192635252,0.047868398032161766,0.06808652710277781,0.01641693129485735,0.05791806817633226,0.01498016479233513,0.04799823878368294,0.00993589752735173,0.000197550551211072,0.002024981521442127,0.018245266180042678,0.03896183130872157,,,,
