analysis,target,model,feature,coef,std_err,t,p_value,z
individual_engagement,engagement_target,linear,segment_duration_s,-0.04381121283857616,,,,
individual_engagement,engagement_target,linear,word_count,0.08471291299240957,,,,
individual_engagement,engagement_target,linear,avg_word_length,0.021505559494483788,,,,
individual_engagement,engagement_target,linear,words_per_second,-0.0055113279470659065,,,,
individual_engagement,engagement_target,linear,question,-0.008780079040310872,,,,
individual_engagement,engagement_target,linear,statement,0.008780079040311212,,,,
individual_engagement,engagement_target,linear,sentiment_p_blue_mean,-0.002025925154825702,,,,
individual_engagement,engagement_target,linear,sentiment_p_green_mean,0.0039011402054254223,,,,
individual_engagement,engagement_target,linear,sentiment_p_red_mean,0.005715846259683875,,,,
individual_engagement,engagement_target,linear,arousal_mean,0.12454912034211874,,,,
individual_engagement,engagement_target,linear,dominance_mean,-0.1290686426196652,,,,
individual_engagement,engagement_target,linear,valence_mean,0.014141214438367647,,,,
individual_engagement,engagement_target,linear,role_p_green,0.032292304559700113,,,,
individual_engagement,engagement_target,linear,role_p_red,0.02702505086875566,,,,
individual_engagement,engagement_target,logistic,segment_duration_s,-0.34169696203697736,,,,
individual_engagement,engagement_target,logistic,word_count,0.9202209142062233,,,,
individual_engagement,engagement_target,logistic,avg_word_length,0.2624124718284372,,,,
individual_engagement,engagement_target,logistic,words_per_second,-0.07667552305380175,,,,
individual_engagement,engagement_target,logistic,question,-0.052731028000727036,,,,
individual_engagement,engagement_target,logistic,statement,0.05273102800072641,,,,
individual_engagement,engagement_target,logistic,sentiment_p_blue_mean,-0.02328471257536175,,,,
individual_engagement,engagement_target,logistic,sentiment_p_green_mean,0.07004317188704651,,,,
individual_engagement,engagement_target,logistic,sentiment_p_red_mean,0.07619032265717678,,,,
individual_engagement,engagement_target,logistic,arousal_mean,0.8035228930328331,,,,
individual_engagement,engagement_target,logistic,dominance_mean,-0.5276113036744501,,,,
individual_engagement,engagement_target,logistic,valence_mean,-0.19693958113085278,,,,
individual_engagement,engagement_target,logistic,role_p_green,0.3551030096808706,,,,
individual_engagement,engagement_target,logistic,role_p_red,0.3838283976165764,,,,
individual_engagement,engagement_target,linear_statsmodels,const,0.1978284887546614,0.01661558190472475,11.906202857596433,3.763206246651929e-32,
individual_engagement,engagement_target,linear_statsmodels,segment_duration_s,-0.015958817702378246,0.003136109385497313,-5.088731208222048,3.768408890474236e-07,
