groupset,split,detector,n,n_groups,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
g21,T,AIED,106,12,4,2,LogReg,0.592,0.222,0.538,,0.846,0.4153,0.244
g21,T,linguistic+AIED,106,12,11,1,QDA,0.776,0.232,0.538,0.0033,3.567,0.0044,1.030
g21,T,linguistic+AIED,106,12,11,2,SVM,0.741,0.168,0.538,,4.203,0.0015,1.213
g21,T,linguistic+GazexSpeaking,106,12,13,1,NB,0.758,0.306,0.538,0.0033,2.489,0.0301,0.718
g21,T,linguistic+GazexSpeaking,106,12,13,2,LogReg,0.704,0.223,0.538,,2.591,0.0251,0.748
g21,T,GazexSpeaking,106,12,6,1,NB,0.695,0.294,0.538,0.0033,1.857,0.0903,0.536
g21,T,GazexSpeaking,106,12,6,2,LogReg,0.677,0.220,0.538,,2.190,0.0510,0.632
g21,All,linguistic+AIED,195,21,11,1,SVM,0.792,0.145,0.508,0.0033,8.962,0.0000,1.956
g21,All,linguistic+AIED,195,21,11,2,NB,0.769,0.244,0.508,,4.911,0.0001,1.072
g21,All,AIxVR,195,21,2,1,QDA,0.654,0.254,0.508,0.5116,2.643,0.0156,0.577
g21,All,AIxVR,195,21,2,2,LogReg,0.653,0.256,0.508,,2.602,0.0170,0.568
g21,T,linguistic,106,12,7,1,NB,0.766,0.243,0.538,0.0033,3.253,0.0077,0.939
g21,T,linguistic,106,12,7,2,QDA,0.752,0.216,0.538,,3.431,0.0056,0.991
g25,D,AIxVR,114,11,2,1,LogReg,0.707,0.201,0.509,0.7176,3.275,0.0084,0.988
g25,D,AIxVR,114,11,2,2,NB,0.674,0.218,0.509,,2.513,0.0307,0.758
g25,D,AIED,114,11,4,1,NB,0.630,0.207,0.509,0.6478,1.945,0.0804,0.586
g25,D,AIED,114,11,4,2,LogReg,0.625,0.235,0.509,,1.634,0.1333,0.493
g25,D,GazexSpeaking,114,11,6,1,SVM,0.741,0.160,0.509,0.4252,4.809,0.0007,1.450
g25,D,GazexSpeaking,114,11,6,2,NB,0.740,0.181,0.509,,4.246,0.0017,1.280
g25,D,linguistic,114,11,7,1,SVM,0.745,0.155,0.509,0.0033,5.063,0.0005,1.526
g25,D,linguistic,114,11,7,2,LogReg,0.736,0.150,0.509,,5.036,0.0005,1.519
g25,D,linguistic+GazexSpeaking,114,11,13,1,LogReg,0.790,0.132,0.509,0.0033,7.060,0.0000,2.129
g25,D,linguistic+GazexSpeaking,114,11,13,2,NB,0.754,0.140,0.509,,5.807,0.0002,1.751
g25,D,linguistic+AIED,114,11,11,1,LogReg,0.769,0.153,0.509,0.0033,5.639,0.0002,1.700
g25,D,linguistic+AIED,114,11,11,2,SVM,0.753,0.131,0.509,,6.198,0.0001,1.869
g25,T,AIxVR,129,14,1,1,LogReg,0.583,0.242,0.527,0.0033,0.869,0.4004,0.232
g25,T,AIxVR,129,14,1,2,QDA,0.540,0.225,0.527,,0.216,0.8326,0.058
g25,T,AIED,129,14,4,1,QDA,0.604,0.264,0.527,0.0100,1.087,0.2966,0.291
g25,T,AIED,129,14,4,2,NB,0.575,0.278,0.527,,0.643,0.5314,0.172
g25,T,linguistic,129,14,7,1,QDA,0.774,0.189,0.527,0.0033,4.897,0.0003,1.309
g25,T,linguistic,129,14,7,2,LogReg,0.766,0.184,0.527,,4.861,0.0003,1.299
g25,All,AIxVR,243,25,2,1,LogReg,0.625,0.274,0.519,0.0731,1.952,0.0627,0.390
g25,All,AIxVR,243,25,2,2,QDA,0.607,0.271,0.519,,1.636,0.1149,0.327
g25,T,linguistic+AIED,129,14,11,1,QDA,0.788,0.184,0.527,0.0033,5.308,0.0001,1.419
