groupset,split,detector,n,n_feat,model,acc_foldmean,acc_pooled,majority,TN,FP,FN,TP,prec_low,rec_low,f1_low,prec_high,rec_high,f1_high,macro_f1,weighted_f1,balanced_acc,mcc,macro_f1_foldmean,macro_f1_foldsd
g21,All,linguistic+AIED,195,11,SVM,0.792,0.779,0.508,73,26,17,79,0.811,0.737,0.772,0.752,0.823,0.786,0.779,0.779,0.780,0.562,0.621,0.160
g21,T,linguistic,106,7,NB,0.766,0.774,0.538,39,18,6,43,0.867,0.684,0.765,0.705,0.878,0.782,0.773,0.773,0.781,0.567,0.691,0.263
g25,D,AIxVR,114,2,LogReg,0.707,0.702,0.509,43,15,19,37,0.694,0.741,0.717,0.712,0.661,0.685,0.701,0.701,0.701,0.404,0.423,0.098
g25,D,GazexSpeaking,114,6,SVM,0.741,0.719,0.509,35,23,9,47,0.795,0.603,0.686,0.671,0.839,0.746,0.716,0.716,0.721,0.455,0.558,0.131
g25,D,AIED,114,4,NB,0.630,0.614,0.509,31,27,17,39,0.646,0.534,0.585,0.591,0.696,0.639,0.612,0.612,0.615,0.234,0.397,0.075
g25,D,linguistic,114,7,SVM,0.745,0.737,0.509,42,16,14,42,0.750,0.724,0.737,0.724,0.750,0.737,0.737,0.737,0.737,0.474,0.572,0.144
g25,D,linguistic+GazexSpeaking,114,13,LogReg,0.790,0.772,0.509,41,17,9,47,0.820,0.707,0.759,0.734,0.839,0.783,0.771,0.771,0.773,0.550,0.619,0.154
g25,D,linguistic+AIED,114,11,LogReg,0.769,0.754,0.509,43,15,13,43,0.768,0.741,0.754,0.741,0.768,0.754,0.754,0.754,0.755,0.509,0.599,0.157
g25,T,AIxVR,129,1,LogReg,0.583,0.574,0.527,44,24,31,30,0.587,0.647,0.615,0.556,0.492,0.522,0.569,0.571,0.569,0.141,0.475,0.194
g25,T,AIED,129,4,QDA,0.604,0.574,0.527,55,13,42,19,0.567,0.809,0.667,0.594,0.311,0.409,0.538,0.545,0.560,0.139,0.440,0.179
g25,T,linguistic,129,7,QDA,0.774,0.775,0.527,48,20,9,52,0.842,0.706,0.768,0.722,0.852,0.782,0.775,0.775,0.779,0.561,0.707,0.216
g25,T,linguistic+AIED,129,11,QDA,0.788,0.767,0.527,50,18,12,49,0.806,0.735,0.769,0.731,0.803,0.766,0.767,0.768,0.769,0.538,0.658,0.211
g25,All,AIxVR,243,2,LogReg,0.625,0.601,0.519,96,30,67,50,0.589,0.762,0.664,0.625,0.427,0.508,0.586,0.589,0.595,0.201,0.398,0.163
g25,T,GazexSpeaking,129,6,QDA,0.663,0.674,0.527,36,32,10,51,0.783,0.529,0.632,0.614,0.836,0.708,0.670,0.668,0.683,0.381,0.574,0.271
g25,All,AIED,243,4,QDA,0.605,0.593,0.519,93,33,66,51,0.585,0.738,0.653,0.607,0.436,0.507,0.580,0.583,0.587,0.183,0.404,0.177
g25,T,linguistic+GazexSpeaking,129,13,NB,0.736,0.752,0.527,42,26,6,55,0.875,0.618,0.724,0.679,0.902,0.775,0.749,0.748,0.760,0.536,0.674,0.297
g16,D,AIxVR,72,2,QDA,0.644,0.653,0.653,7,18,7,40,0.500,0.280,0.359,0.690,0.851,0.762,0.560,0.622,0.566,0.158,0.420,0.114
g16,D,AIED,72,4,LogReg,0.748,0.750,0.653,13,12,6,41,0.684,0.520,0.591,0.774,0.872,0.820,0.705,0.740,0.696,0.424,0.440,0.059
g16,D,GazexSpeaking,72,6,LogReg,0.806,0.806,0.653,11,14,0,47,1.000,0.440,0.611,0.770,1.000,0.870,0.741,0.780,0.720,0.582,0.561,0.145
g16,All,AIED,153,4,QDA,0.605,0.601,0.562,35,32,29,57,0.547,0.522,0.534,0.640,0.663,0.651,0.593,0.600,0.593,0.186,0.435,0.229
g25,All,GazexSpeaking,243,6,SVM,0.752,0.757,0.519,81,45,14,103,0.853,0.643,0.733,0.696,0.880,0.777,0.755,0.754,0.762,0.536,0.647,0.235
g16,All,AIxVR,153,2,NB,0.630,0.627,0.562,37,30,27,59,0.578,0.552,0.565,0.663,0.686,0.674,0.620,0.626,0.619,0.240,0.431,0.185
g16,D,linguistic+AIED,72,11,LogReg,0.777,0.778,0.653,18,7,9,38,0.667,0.720,0.692,0.844,0.809,0.826,0.759,0.780,0.764,0.520,0.636,0.140
g16,All,GazexSpeaking,153,6,QDA,0.788,0.784,0.562,39,28,5,81,0.886,0.582,0.703,0.743,0.942,0.831,0.767,0.775,0.762,0.574,0.636,0.192
