split,detector,model,test_group,k,selected
T,linguistic+GazexSpeaking_sel,QDA,triad_08,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|blink_durations|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,QDA,triad_11,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_01,11,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_13,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_06,3,word_count|speech_ratio|mean_segment_duration_s
T,linguistic+GazexSpeaking_sel,SVM,triad_05,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_14,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_12,12,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_09,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_07,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_02,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_10,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_08,11,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,SVM,triad_11,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_01,11,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_13,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_06,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_05,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_14,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_12,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_09,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_07,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_02,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_10,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_08,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,LogReg,triad_11,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_01,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_13,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_06,9,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_05,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_14,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_12,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_09,6,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_07,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_02,7,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_10,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_08,8,word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,linguistic+GazexSpeaking_sel,NB,triad_11,13,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
All,linguistic_sel,QDA,triad_01,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_03,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_04,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,QDA,triad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_13,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,QDA,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_11,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_02,6,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,QDA,triad_07,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,QDA,triad_09,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_12,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,QDA,triad_02,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,dyad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,QDA,triad_11,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,triad_01,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,SVM,dyad_03,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,dyad_04,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,dyad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,dyad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,SVM,triad_06,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_05,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_13,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_14,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,dyad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,dyad_11,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,dyad_02,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,triad_07,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_09,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_12,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,SVM,triad_02,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,SVM,dyad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,SVM,triad_11,7,segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,LogReg,triad_01,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,dyad_03,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,dyad_04,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,dyad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,dyad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,triad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_13,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,triad_14,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,dyad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,dyad_11,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,dyad_02,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,triad_09,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_12,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_02,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,LogReg,dyad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,LogReg,triad_11,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,triad_01,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,dyad_03,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,dyad_04,6,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,dyad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,NB,dyad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,triad_06,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,triad_05,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,NB,triad_13,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,triad_14,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,dyad_06,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,dyad_11,5,word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,dyad_02,6,word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,triad_07,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,triad_09,6,segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,linguistic_sel,NB,triad_12,3,word_count|speech_ratio|mean_segment_duration_s
All,linguistic_sel,NB,triad_02,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,dyad_10,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,NB,triad_08,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,linguistic_sel,NB,triad_10,3,word_count|question_ratio|speech_ratio
All,linguistic_sel,NB,triad_11,3,word_count|question_ratio|speech_ratio
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_01,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_13,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_06,3,word_count|speech_ratio|mean_segment_duration_s
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_05,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_14,6,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_12,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_09,6,dominance|word_count|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_07,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_02,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_10,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_08,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,QDA,triad_11,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_01,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_13,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_06,11,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_05,10,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_14,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_12,15,arousal|dominance|valence|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_09,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_07,15,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_02,10,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_10,8,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_08,9,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,SVM,triad_11,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_01,14,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_13,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_06,11,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_05,10,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_14,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_12,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_09,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_07,15,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_02,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_10,9,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_08,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,LogReg,triad_11,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_01,8,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_13,11,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_06,9,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_05,16,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_14,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_12,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_09,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_07,9,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_02,9,arousal|dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|BPM|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_10,7,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s|No_G_OnSpeaker|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_08,16,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
T,audio+linguistic+GazexSpeaking_sel,NB,triad_11,16,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio|BPM|blink_durations|G_OnSpeaker|No_G_OnSpeaker|G_SI|No_G_SI
All,audio+linguistic_sel,QDA,triad_01,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_03,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_04,9,arousal|dominance|valence|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_05,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_07,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,QDA,triad_06,4,word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,QDA,triad_05,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,triad_13,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,triad_14,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_06,10,arousal|dominance|valence|segment_count|word_count|avg_word_length|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_11,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,dyad_02,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,QDA,triad_07,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,QDA,triad_09,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,triad_12,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,triad_02,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,QDA,dyad_10,9,arousal|dominance|valence|segment_count|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,QDA,triad_08,1,word_count
All,audio+linguistic_sel,QDA,triad_10,2,word_count|speech_ratio
All,audio+linguistic_sel,QDA,triad_11,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,triad_01,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,dyad_03,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,dyad_04,8,arousal|dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s|unfinished_ratio
All,audio+linguistic_sel,SVM,dyad_05,6,dominance|valence|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,dyad_07,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,SVM,triad_06,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,triad_05,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,triad_13,4,dominance|word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,SVM,triad_14,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,SVM,dyad_06,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,dyad_11,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,dyad_02,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,triad_07,3,word_count|question_ratio|speech_ratio
All,audio+linguistic_sel,SVM,triad_09,5,dominance|word_count|question_ratio|speech_ratio|mean_segment_duration_s
All,audio+linguistic_sel,SVM,triad_12,2,word_count|speech_ratio
