split,detector,n,n_feat,rank,model,acc_mean,acc_std,majority,perm_p,t_maj,p_ttest_maj,cohen_d_maj
T,audio+GazexSpeaking,106,9,1,NB,0.670,0.289,0.538,0.0033,1.585,0.1412,0.458
T,audio+GazexSpeaking,106,9,2,QDA,0.663,0.291,0.538,,1.493,0.1634,0.431
D,sentemb_pca,79,512,1,QDA,0.652,0.192,0.595,0.0365,0.843,0.4273,0.298
D,sentemb_pca,79,512,2,NB,0.649,0.152,0.595,,1.001,0.3501,0.354
T,audio+linguistic+GazexSpeaking,106,16,1,NB,0.757,0.294,0.538,0.0033,2.585,0.0254,0.746
T,audio+linguistic+GazexSpeaking,106,16,2,LogReg,0.689,0.227,0.538,,2.310,0.0413,0.667
T,linguistic+GazexSpeaking,106,13,1,NB,0.758,0.306,0.538,0.0033,2.489,0.0301,0.718
T,linguistic+GazexSpeaking,106,13,2,LogReg,0.704,0.223,0.538,,2.591,0.0251,0.748
D,emow2v_pca,79,1024,1,NB,0.673,0.178,0.595,0.1960,1.241,0.2546,0.439
D,emow2v_pca,79,1024,2,QDA,0.576,0.232,0.595,,-0.226,0.8275,-0.080
T,openSMILE_pca,106,88,1,NB,0.540,0.231,0.538,0.1229,0.037,0.9715,0.011
T,openSMILE_pca,106,88,2,QDA,0.444,0.291,0.538,,-1.115,0.2887,-0.322
T,sentemb_pca,106,512,1,LogReg,0.652,0.244,0.538,0.0100,1.629,0.1317,0.470
T,sentemb_pca,106,512,2,NB,0.612,0.225,0.538,,1.147,0.2756,0.331
All,openSMILE_pca,185,88,1,NB,0.598,0.255,0.519,0.0066,1.381,0.1832,0.309
All,openSMILE_pca,185,88,2,SVM,0.595,0.256,0.519,,1.327,0.2002,0.297
T,emow2v_pca,106,1024,1,NB,0.746,0.292,0.538,0.0066,2.467,0.0313,0.712
T,emow2v_pca,106,1024,2,LogReg,0.734,0.300,0.538,,2.267,0.0445,0.655
D,linguistic_core,79,4,1,LogReg,0.680,0.183,0.595,0.0565,1.311,0.2313,0.463
D,linguistic_core,79,4,2,QDA,0.653,0.155,0.595,,1.060,0.3242,0.375
D,linguistic+AIxVR,79,9,1,LogReg,0.656,0.223,0.595,0.0930,0.775,0.4636,0.274
D,linguistic+AIxVR,79,9,2,NB,0.619,0.183,0.595,,0.367,0.7245,0.130
T,linguistic+AIxVR,106,8,1,NB,0.758,0.242,0.538,0.0033,3.150,0.0092,0.909
T,linguistic+AIxVR,106,8,2,QDA,0.741,0.232,0.538,,3.044,0.0112,0.879
T,linguistic_core,106,4,1,NB,0.810,0.210,0.538,0.0033,4.490,0.0009,1.296
T,linguistic_core,106,4,2,QDA,0.773,0.165,0.538,,4.917,0.0005,1.419
All,linguistic+AIxVR,185,9,1,NB,0.741,0.258,0.519,0.0033,3.856,0.0011,0.862
All,linguistic+AIxVR,185,9,2,QDA,0.740,0.202,0.519,,4.897,0.0001,1.095
All,linguistic_core,185,4,1,QDA,0.769,0.204,0.519,0.0033,5.503,0.0000,1.230
All,linguistic_core,185,4,2,SVM,0.768,0.217,0.519,,5.137,0.0001,1.149
D,linguistic_sel,79,7,1,LogReg,0.708,0.157,0.595,0.0465,2.025,0.0825,0.716
D,linguistic_sel,79,7,2,QDA,0.648,0.156,0.595,,0.963,0.3677,0.340
D,linguistic+GazexSpeaking_sel,79,13,1,SVM,0.773,0.146,0.595,0.6179,3.455,0.0106,1.222
D,linguistic+GazexSpeaking_sel,79,13,2,LogReg,0.765,0.169,0.595,,2.849,0.0247,1.007
D,audio+linguistic_sel,79,10,1,LogReg,0.660,0.194,0.595,0.1362,0.940,0.3785,0.332
D,audio+linguistic_sel,79,10,2,NB,0.624,0.169,0.595,,0.482,0.6443,0.171
T,linguistic_sel,106,7,1,NB,0.789,0.201,0.538,0.0033,4.322,0.0012,1.248
T,linguistic_sel,106,7,2,QDA,0.757,0.185,0.538,,4.109,0.0017,1.186
D,audio+linguistic+GazexSpeaking_sel,79,16,1,QDA,0.799,0.129,0.595,0.3821,4.471,0.0029,1.581
