split,a,b,d_macro_f1,lo,hi,p_a_better
All,linguistic+GazexSpeaking,baseline_majority,0.4459600513743071,0.3398739016810118,0.5449223410482621,1.0
All,linguistic+GazexSpeaking,linguistic,0.020759682905887054,-0.02000166855838736,0.06178863310015963,0.8349
All,linguistic,baseline_majority,0.42520036846842,0.31666585710809375,0.5290200991304862,1.0
D,linguistic+GazexSpeaking,baseline_majority,0.4454137508048042,0.2876350423898695,0.5918165953368824,0.9999
D,linguistic+GazexSpeaking,linguistic,0.17020815676908374,0.046886733416770854,0.2792419081442089,0.9964
D,linguistic,baseline_majority,0.27520559403572054,0.14083395596000636,0.4326840928521215,1.0
T,linguistic+GazexSpeaking,baseline_majority,0.4187911213190365,0.24335861380294646,0.5850716573797685,1.0
T,linguistic+GazexSpeaking,linguistic,-0.0014800096339770748,-0.05980589043465212,0.05357151392920077,0.4536
T,linguistic,baseline_majority,0.4202711309530135,0.26662809488565836,0.5570853045448037,1.0
