split,detector,n,n_feat,model,acc_foldmean,acc_pooled,majority,TN,FP,FN,TP,prec_low,rec_low,f1_low,prec_high,rec_high,f1_high,macro_f1,weighted_f1,balanced_acc,mcc,macro_f1_foldmean,macro_f1_foldsd
D,openSMILE+GazexSpeaking,79,94,LogReg,0.724,0.722,0.595,20,12,10,37,0.667,0.625,0.645,0.755,0.787,0.771,0.708,0.720,0.706,0.417,0.516,0.119
D,linguistic+openSMILE,79,95,NB,0.601,0.620,0.595,5,27,3,44,0.625,0.156,0.250,0.620,0.936,0.746,0.498,0.545,0.546,0.150,0.397,0.119
D,linguistic+openSMILE+GazexSpeaking,79,101,NB,0.626,0.646,0.595,7,25,3,44,0.700,0.219,0.333,0.638,0.936,0.759,0.546,0.586,0.577,0.229,0.446,0.127
T,linguistic+openSMILE,106,95,LogReg,0.704,0.717,0.538,39,18,12,37,0.765,0.684,0.722,0.673,0.755,0.712,0.717,0.717,0.720,0.438,0.593,0.209
T,linguistic+openSMILE+GazexSpeaking,106,101,NB,0.690,0.717,0.538,33,24,6,43,0.846,0.579,0.688,0.642,0.878,0.741,0.714,0.712,0.728,0.472,0.605,0.313
T,openSMILE+GazexSpeaking,106,94,NB,0.635,0.660,0.538,29,28,8,41,0.784,0.509,0.617,0.594,0.837,0.695,0.656,0.653,0.673,0.361,0.528,0.271
All,linguistic+openSMILE,185,95,LogReg,0.689,0.697,0.519,55,34,22,74,0.714,0.618,0.663,0.685,0.771,0.725,0.694,0.695,0.694,0.394,0.572,0.233
All,linguistic+openSMILE+GazexSpeaking,185,101,LogReg,0.679,0.681,0.519,58,31,28,68,0.674,0.652,0.663,0.687,0.708,0.697,0.680,0.681,0.680,0.361,0.550,0.240
All,openSMILE+GazexSpeaking,185,94,NB,0.635,0.649,0.519,32,57,8,88,0.800,0.360,0.496,0.607,0.917,0.730,0.613,0.618,0.638,0.335,0.479,0.219
