split,detector,model,fold,test_group,accuracy
All,audio+linguistic+GazexSpeaking,LogReg,6,triad_05,0.363636
All,audio+linguistic+GazexSpeaking,LogReg,7,triad_13,0.545455
All,audio+linguistic+GazexSpeaking,LogReg,8,triad_14,0.900000
All,audio+linguistic+GazexSpeaking,LogReg,9,dyad_06,0.777778
All,audio+linguistic+GazexSpeaking,LogReg,10,dyad_11,0.666667
All,audio+linguistic+GazexSpeaking,LogReg,11,dyad_02,0.333333
All,audio+linguistic+GazexSpeaking,LogReg,12,triad_07,0.750000
All,audio+linguistic+GazexSpeaking,LogReg,13,triad_09,0.875000
All,audio+linguistic+GazexSpeaking,LogReg,14,triad_12,0.625000
All,audio+linguistic+GazexSpeaking,LogReg,15,triad_02,1.000000
All,audio+linguistic+GazexSpeaking,LogReg,16,dyad_10,1.000000
All,audio+linguistic+GazexSpeaking,LogReg,17,triad_08,1.000000
All,audio+linguistic+GazexSpeaking,LogReg,18,triad_10,1.000000
All,audio+linguistic+GazexSpeaking,LogReg,19,triad_11,0.000000
All,audio+linguistic+GazexSpeaking,NB,0,triad_01,0.846154
All,audio+linguistic+GazexSpeaking,NB,1,dyad_03,0.750000
All,audio+linguistic+GazexSpeaking,NB,2,dyad_04,0.636364
All,audio+linguistic+GazexSpeaking,NB,3,dyad_05,0.727273
All,audio+linguistic+GazexSpeaking,NB,4,dyad_07,0.727273
All,audio+linguistic+GazexSpeaking,NB,5,triad_06,1.000000
All,audio+linguistic+GazexSpeaking,NB,6,triad_05,0.363636
All,audio+linguistic+GazexSpeaking,NB,7,triad_13,0.636364
All,audio+linguistic+GazexSpeaking,NB,8,triad_14,0.800000
All,audio+linguistic+GazexSpeaking,NB,9,dyad_06,0.888889
All,audio+linguistic+GazexSpeaking,NB,10,dyad_11,0.666667
All,audio+linguistic+GazexSpeaking,NB,11,dyad_02,0.888889
All,audio+linguistic+GazexSpeaking,NB,12,triad_07,0.625000
All,audio+linguistic+GazexSpeaking,NB,13,triad_09,0.875000
All,audio+linguistic+GazexSpeaking,NB,14,triad_12,0.875000
All,audio+linguistic+GazexSpeaking,NB,15,triad_02,1.000000
All,audio+linguistic+GazexSpeaking,NB,16,dyad_10,1.000000
All,audio+linguistic+GazexSpeaking,NB,17,triad_08,1.000000
All,audio+linguistic+GazexSpeaking,NB,18,triad_10,1.000000
All,audio+linguistic+GazexSpeaking,NB,19,triad_11,0.000000
All,audio,QDA,0,triad_01,0.615385
All,audio,QDA,1,dyad_03,0.416667
All,audio,QDA,2,dyad_04,0.545455
All,audio,QDA,3,dyad_05,0.545455
All,audio,QDA,4,dyad_07,0.909091
All,audio,QDA,5,triad_06,1.000000
All,audio,QDA,6,triad_05,0.363636
All,audio,QDA,7,triad_13,0.545455
All,audio,QDA,8,triad_14,0.800000
All,audio,QDA,9,dyad_06,0.888889
All,audio,QDA,10,dyad_11,0.555556
All,audio,QDA,11,dyad_02,0.777778
All,audio,QDA,12,triad_07,0.875000
All,audio,QDA,13,triad_09,0.750000
All,audio,QDA,14,triad_12,0.500000
All,audio,QDA,15,triad_02,1.000000
All,audio,QDA,16,dyad_10,0.714286
All,audio,QDA,17,triad_08,0.857143
All,audio,QDA,18,triad_10,0.428571
All,audio,QDA,19,triad_11,0.000000
All,audio,SVM,0,triad_01,0.615385
All,audio,SVM,1,dyad_03,0.250000
All,audio,SVM,2,dyad_04,0.363636
All,audio,SVM,3,dyad_05,0.727273
All,audio,SVM,4,dyad_07,0.818182
All,audio,SVM,5,triad_06,1.000000
All,audio,SVM,6,triad_05,0.363636
All,audio,SVM,7,triad_13,0.545455
All,audio,SVM,8,triad_14,0.600000
All,audio,SVM,9,dyad_06,0.888889
All,audio,SVM,10,dyad_11,0.555556
All,audio,SVM,11,dyad_02,0.555556
All,audio,SVM,12,triad_07,0.875000
All,audio,SVM,13,triad_09,0.875000
All,audio,SVM,14,triad_12,0.500000
All,audio,SVM,15,triad_02,0.875000
All,audio,SVM,16,dyad_10,0.714286
All,audio,SVM,17,triad_08,1.000000
All,audio,SVM,18,triad_10,0.285714
All,audio,SVM,19,triad_11,0.000000
All,audio,LogReg,0,triad_01,0.615385
All,audio,LogReg,1,dyad_03,0.583333
All,audio,LogReg,2,dyad_04,0.363636
All,audio,LogReg,3,dyad_05,0.727273
All,audio,LogReg,4,dyad_07,0.818182
All,audio,LogReg,5,triad_06,1.000000
All,audio,LogReg,6,triad_05,0.363636
All,audio,LogReg,7,triad_13,0.545455
All,audio,LogReg,8,triad_14,0.700000
All,audio,LogReg,9,dyad_06,0.888889
All,audio,LogReg,10,dyad_11,0.555556
All,audio,LogReg,11,dyad_02,0.555556
All,audio,LogReg,12,triad_07,0.875000
All,audio,LogReg,13,triad_09,0.875000
All,audio,LogReg,14,triad_12,0.625000
All,audio,LogReg,15,triad_02,0.875000
All,audio,LogReg,16,dyad_10,0.857143
All,audio,LogReg,17,triad_08,1.000000
All,audio,LogReg,18,triad_10,0.428571
All,audio,LogReg,19,triad_11,0.000000
All,audio,NB,0,triad_01,0.461538
All,audio,NB,1,dyad_03,0.250000
All,audio,NB,2,dyad_04,0.636364
All,audio,NB,3,dyad_05,0.545455
All,audio,NB,4,dyad_07,0.818182
All,audio,NB,5,triad_06,0.909091
All,audio,NB,6,triad_05,0.454545
All,audio,NB,7,triad_13,0.545455
All,audio,NB,8,triad_14,0.600000
All,audio,NB,9,dyad_06,0.666667
All,audio,NB,10,dyad_11,0.555556
All,audio,NB,11,dyad_02,0.888889
All,audio,NB,12,triad_07,0.750000
All,audio,NB,13,triad_09,0.750000
All,audio,NB,14,triad_12,0.500000
All,audio,NB,15,triad_02,1.000000
All,audio,NB,16,dyad_10,0.571429
All,audio,NB,17,triad_08,0.428571
All,audio,NB,18,triad_10,0.571429
All,audio,NB,19,triad_11,0.000000
All,openSMILE,SVM,0,triad_01,0.384615
All,openSMILE,SVM,1,dyad_03,0.750000
All,openSMILE,SVM,2,dyad_04,0.545455
All,openSMILE,SVM,3,dyad_05,0.636364
All,openSMILE,SVM,4,dyad_07,0.636364
All,openSMILE,SVM,5,triad_06,0.636364
All,openSMILE,SVM,6,triad_05,0.363636
All,openSMILE,SVM,7,triad_13,0.454545
All,openSMILE,SVM,8,triad_14,0.600000
All,openSMILE,SVM,9,dyad_06,0.888889
All,openSMILE,SVM,10,dyad_11,0.333333
All,openSMILE,SVM,11,dyad_02,0.888889
All,openSMILE,SVM,12,triad_07,0.625000
All,openSMILE,SVM,13,triad_09,0.625000
All,openSMILE,SVM,14,triad_12,0.750000
All,openSMILE,SVM,15,triad_02,0.500000
All,openSMILE,SVM,16,dyad_10,0.571429
All,openSMILE,SVM,17,triad_08,0.571429
All,openSMILE,SVM,18,triad_10,0.142857
All,openSMILE,SVM,19,triad_11,0.000000
All,openSMILE,LogReg,0,triad_01,0.461538
All,openSMILE,LogReg,1,dyad_03,0.833333
All,openSMILE,LogReg,2,dyad_04,0.454545
All,openSMILE,LogReg,3,dyad_05,0.727273
All,openSMILE,LogReg,4,dyad_07,0.545455
All,openSMILE,LogReg,5,triad_06,0.545455
All,openSMILE,LogReg,6,triad_05,0.363636
All,openSMILE,LogReg,7,triad_13,0.454545
All,openSMILE,LogReg,8,triad_14,0.600000
All,openSMILE,LogReg,9,dyad_06,0.333333
All,openSMILE,LogReg,10,dyad_11,0.222222
All,openSMILE,LogReg,11,dyad_02,0.888889
All,openSMILE,LogReg,12,triad_07,0.750000
All,openSMILE,LogReg,13,triad_09,0.750000
All,openSMILE,LogReg,14,triad_12,0.375000
All,openSMILE,LogReg,15,triad_02,0.875000
All,openSMILE,LogReg,16,dyad_10,0.571429
All,openSMILE,LogReg,17,triad_08,0.571429
All,openSMILE,LogReg,18,triad_10,0.000000
All,openSMILE,LogReg,19,triad_11,0.000000
All,openSMILE,NB,0,triad_01,0.384615
All,openSMILE,NB,1,dyad_03,0.833333
All,openSMILE,NB,2,dyad_04,0.636364
All,openSMILE,NB,3,dyad_05,0.636364
All,openSMILE,NB,4,dyad_07,0.727273
All,openSMILE,NB,5,triad_06,0.818182
All,openSMILE,NB,6,triad_05,0.363636
All,openSMILE,NB,7,triad_13,0.454545
All,openSMILE,NB,8,triad_14,0.700000
All,openSMILE,NB,9,dyad_06,0.888889
All,openSMILE,NB,10,dyad_11,0.444444
All,openSMILE,NB,11,dyad_02,0.888889
All,openSMILE,NB,12,triad_07,0.500000
All,openSMILE,NB,13,triad_09,0.875000
All,openSMILE,NB,14,triad_12,0.500000
All,openSMILE,NB,15,triad_02,0.875000
All,openSMILE,NB,16,dyad_10,0.428571
All,openSMILE,NB,17,triad_08,0.428571
All,openSMILE,NB,18,triad_10,0.142857
All,openSMILE,NB,19,triad_11,0.000000
D,AIxVR,QDA,0,dyad_03,0.750000
D,AIxVR,QDA,1,dyad_07,0.818182
D,AIxVR,QDA,2,dyad_05,0.454545
D,AIxVR,QDA,3,dyad_04,0.727273
D,AIxVR,QDA,4,dyad_11,0.444444
D,AIxVR,QDA,5,dyad_06,0.888889
D,AIxVR,QDA,6,dyad_02,0.777778
D,AIxVR,QDA,7,dyad_10,0.285714
D,AIxVR,SVM,0,dyad_03,0.833333
D,AIxVR,SVM,1,dyad_07,0.727273
D,AIxVR,SVM,2,dyad_05,0.454545
D,AIxVR,SVM,3,dyad_04,0.727273
D,AIxVR,SVM,4,dyad_11,0.444444
D,AIxVR,SVM,5,dyad_06,0.888889
D,AIxVR,SVM,6,dyad_02,0.111111
D,AIxVR,SVM,7,dyad_10,0.000000
D,AIxVR,LogReg,0,dyad_03,0.833333
D,AIxVR,LogReg,1,dyad_07,0.818182
D,AIxVR,LogReg,2,dyad_05,0.454545
D,AIxVR,LogReg,3,dyad_04,0.727273
D,AIxVR,LogReg,4,dyad_11,0.444444
D,AIxVR,LogReg,5,dyad_06,0.888889
D,AIxVR,LogReg,6,dyad_02,0.777778
D,AIxVR,LogReg,7,dyad_10,0.428571
D,AIxVR,NB,0,dyad_03,0.666667
D,AIxVR,NB,1,dyad_07,0.818182
D,AIxVR,NB,2,dyad_05,0.454545
D,AIxVR,NB,3,dyad_04,0.727273
D,AIxVR,NB,4,dyad_11,0.444444
D,AIxVR,NB,5,dyad_06,0.888889
D,AIxVR,NB,6,dyad_02,0.777778
D,AIxVR,NB,7,dyad_10,0.428571
All,audio+openSMILE,SVM,0,triad_01,0.461538
All,audio+openSMILE,SVM,1,dyad_03,0.500000
All,audio+openSMILE,SVM,2,dyad_04,0.727273
All,audio+openSMILE,SVM,3,dyad_05,0.545455
All,audio+openSMILE,SVM,4,dyad_07,0.636364
All,audio+openSMILE,SVM,5,triad_06,0.818182
All,audio+openSMILE,SVM,6,triad_05,0.363636
All,audio+openSMILE,SVM,7,triad_13,0.454545
All,audio+openSMILE,SVM,8,triad_14,0.500000
All,audio+openSMILE,SVM,9,dyad_06,0.444444
All,audio+openSMILE,SVM,10,dyad_11,0.444444
All,audio+openSMILE,SVM,11,dyad_02,0.888889
All,audio+openSMILE,SVM,12,triad_07,0.875000
All,audio+openSMILE,SVM,13,triad_09,0.625000
All,audio+openSMILE,SVM,14,triad_12,0.625000
All,audio+openSMILE,SVM,15,triad_02,0.875000
All,audio+openSMILE,SVM,16,dyad_10,0.571429
All,audio+openSMILE,SVM,17,triad_08,0.857143
All,audio+openSMILE,SVM,18,triad_10,0.714286
All,audio+openSMILE,SVM,19,triad_11,0.250000
All,audio+openSMILE,LogReg,0,triad_01,0.461538
All,audio+openSMILE,LogReg,1,dyad_03,0.583333
All,audio+openSMILE,LogReg,2,dyad_04,0.454545
All,audio+openSMILE,LogReg,3,dyad_05,0.454545
All,audio+openSMILE,LogReg,4,dyad_07,0.636364
All,audio+openSMILE,LogReg,5,triad_06,0.545455
All,audio+openSMILE,LogReg,6,triad_05,0.363636
All,audio+openSMILE,LogReg,7,triad_13,0.545455
All,audio+openSMILE,LogReg,8,triad_14,0.700000
All,audio+openSMILE,LogReg,9,dyad_06,0.444444
All,audio+openSMILE,LogReg,10,dyad_11,0.333333
All,audio+openSMILE,LogReg,11,dyad_02,0.888889
All,audio+openSMILE,LogReg,12,triad_07,0.750000
All,audio+openSMILE,LogReg,13,triad_09,0.625000
All,audio+openSMILE,LogReg,14,triad_12,0.625000
All,audio+openSMILE,LogReg,15,triad_02,0.875000
All,audio+openSMILE,LogReg,16,dyad_10,0.714286
All,audio+openSMILE,LogReg,17,triad_08,0.857143
All,audio+openSMILE,LogReg,18,triad_10,0.142857
All,audio+openSMILE,LogReg,19,triad_11,0.250000
All,audio+openSMILE,NB,0,triad_01,0.384615
All,audio+openSMILE,NB,1,dyad_03,0.833333
All,audio+openSMILE,NB,2,dyad_04,0.636364
All,audio+openSMILE,NB,3,dyad_05,0.636364
All,audio+openSMILE,NB,4,dyad_07,0.727273
All,audio+openSMILE,NB,5,triad_06,0.818182
All,audio+openSMILE,NB,6,triad_05,0.363636
All,audio+openSMILE,NB,7,triad_13,0.454545
All,audio+openSMILE,NB,8,triad_14,0.700000
All,audio+openSMILE,NB,9,dyad_06,0.888889
All,audio+openSMILE,NB,10,dyad_11,0.444444
All,audio+openSMILE,NB,11,dyad_02,0.888889
All,audio+openSMILE,NB,12,triad_07,0.625000
All,audio+openSMILE,NB,13,triad_09,0.875000
All,audio+openSMILE,NB,14,triad_12,0.500000
All,audio+openSMILE,NB,15,triad_02,0.875000
All,audio+openSMILE,NB,16,dyad_10,0.571429
All,audio+openSMILE,NB,17,triad_08,0.428571
All,audio+openSMILE,NB,18,triad_10,0.142857
All,audio+openSMILE,NB,19,triad_11,0.000000
D,GazexSpeaking,QDA,0,dyad_03,0.666667
D,GazexSpeaking,QDA,1,dyad_07,0.818182
D,GazexSpeaking,QDA,2,dyad_05,0.636364
D,GazexSpeaking,QDA,3,dyad_04,0.818182
D,GazexSpeaking,QDA,4,dyad_11,0.666667
D,GazexSpeaking,QDA,5,dyad_06,0.777778
D,GazexSpeaking,QDA,6,dyad_02,0.777778
D,GazexSpeaking,QDA,7,dyad_10,1.000000
D,GazexSpeaking,SVM,0,dyad_03,0.833333
D,GazexSpeaking,SVM,1,dyad_07,0.818182
D,GazexSpeaking,SVM,2,dyad_05,0.727273
D,GazexSpeaking,SVM,3,dyad_04,0.818182
D,GazexSpeaking,SVM,4,dyad_11,0.666667
D,GazexSpeaking,SVM,5,dyad_06,0.888889
D,GazexSpeaking,SVM,6,dyad_02,0.888889
D,GazexSpeaking,SVM,7,dyad_10,1.000000
D,GazexSpeaking,LogReg,0,dyad_03,0.833333
D,GazexSpeaking,LogReg,1,dyad_07,0.818182
D,GazexSpeaking,LogReg,2,dyad_05,0.727273
D,GazexSpeaking,LogReg,3,dyad_04,0.727273
D,GazexSpeaking,LogReg,4,dyad_11,0.666667
D,GazexSpeaking,LogReg,5,dyad_06,0.777778
D,GazexSpeaking,LogReg,6,dyad_02,0.888889
D,GazexSpeaking,LogReg,7,dyad_10,1.000000
D,GazexSpeaking,NB,0,dyad_03,0.750000
D,GazexSpeaking,NB,1,dyad_07,0.818182
D,GazexSpeaking,NB,2,dyad_05,0.727273
D,GazexSpeaking,NB,3,dyad_04,0.818182
D,GazexSpeaking,NB,4,dyad_11,0.555556
D,GazexSpeaking,NB,5,dyad_06,0.777778
D,GazexSpeaking,NB,6,dyad_02,0.888889
D,GazexSpeaking,NB,7,dyad_10,0.428571
All,linguistic,QDA,0,triad_01,0.923077
All,linguistic,QDA,1,dyad_03,0.750000
All,linguistic,QDA,2,dyad_04,0.636364
All,linguistic,QDA,3,dyad_05,0.636364
All,linguistic,QDA,4,dyad_07,0.454545
All,linguistic,QDA,5,triad_06,0.909091
All,linguistic,QDA,6,triad_05,0.363636
All,linguistic,QDA,7,triad_13,0.636364
All,linguistic,QDA,8,triad_14,0.900000
All,linguistic,QDA,9,dyad_06,0.888889
All,linguistic,QDA,10,dyad_11,0.666667
All,linguistic,QDA,11,dyad_02,0.555556
All,linguistic,QDA,12,triad_07,0.750000
All,linguistic,QDA,13,triad_09,0.875000
All,linguistic,QDA,14,triad_12,0.875000
All,linguistic,QDA,15,triad_02,1.000000
All,linguistic,QDA,16,dyad_10,1.000000
All,linguistic,QDA,17,triad_08,1.000000
All,linguistic,QDA,18,triad_10,1.000000
All,linguistic,QDA,19,triad_11,0.500000
All,linguistic,SVM,0,triad_01,0.769231
All,linguistic,SVM,1,dyad_03,0.750000
All,linguistic,SVM,2,dyad_04,0.727273
All,linguistic,SVM,3,dyad_05,0.636364
All,linguistic,SVM,4,dyad_07,0.454545
All,linguistic,SVM,5,triad_06,1.000000
All,linguistic,SVM,6,triad_05,0.454545
All,linguistic,SVM,7,triad_13,0.636364
All,linguistic,SVM,8,triad_14,0.900000
All,linguistic,SVM,9,dyad_06,0.888889
All,linguistic,SVM,10,dyad_11,0.777778
All,linguistic,SVM,11,dyad_02,0.666667
All,linguistic,SVM,12,triad_07,0.750000
All,linguistic,SVM,13,triad_09,0.875000
All,linguistic,SVM,14,triad_12,0.875000
All,linguistic,SVM,15,triad_02,1.000000
All,linguistic,SVM,16,dyad_10,1.000000
All,linguistic,SVM,17,triad_08,1.000000
All,linguistic,SVM,18,triad_10,1.000000
All,linguistic,SVM,19,triad_11,0.250000
All,linguistic,LogReg,0,triad_01,0.769231
All,linguistic,LogReg,1,dyad_03,0.583333
All,linguistic,LogReg,2,dyad_04,0.454545
All,linguistic,LogReg,3,dyad_05,0.727273
All,linguistic,LogReg,4,dyad_07,0.363636
All,linguistic,LogReg,5,triad_06,0.909091
All,linguistic,LogReg,6,triad_05,0.454545
All,linguistic,LogReg,7,triad_13,0.545455
All,linguistic,LogReg,8,triad_14,0.900000
All,linguistic,LogReg,9,dyad_06,0.888889
All,linguistic,LogReg,10,dyad_11,0.555556
All,linguistic,LogReg,11,dyad_02,0.555556
All,linguistic,LogReg,12,triad_07,0.750000
All,linguistic,LogReg,13,triad_09,0.875000
All,linguistic,LogReg,14,triad_12,0.750000
All,linguistic,LogReg,15,triad_02,1.000000
All,linguistic,LogReg,16,dyad_10,1.000000
All,linguistic,LogReg,17,triad_08,1.000000
All,linguistic,LogReg,18,triad_10,1.000000
All,linguistic,LogReg,19,triad_11,0.000000
All,linguistic,NB,0,triad_01,0.923077
All,linguistic,NB,1,dyad_03,0.833333
All,linguistic,NB,2,dyad_04,0.363636
All,linguistic,NB,3,dyad_05,0.636364
All,linguistic,NB,4,dyad_07,0.454545
All,linguistic,NB,5,triad_06,0.909091
All,linguistic,NB,6,triad_05,0.363636
All,linguistic,NB,7,triad_13,0.636364
All,linguistic,NB,8,triad_14,0.900000
All,linguistic,NB,9,dyad_06,0.888889
All,linguistic,NB,10,dyad_11,0.666667
All,linguistic,NB,11,dyad_02,0.444444
All,linguistic,NB,12,triad_07,0.750000
All,linguistic,NB,13,triad_09,0.875000
All,linguistic,NB,14,triad_12,0.875000
All,linguistic,NB,15,triad_02,1.000000
All,linguistic,NB,16,dyad_10,1.000000
All,linguistic,NB,17,triad_08,1.000000
All,linguistic,NB,18,triad_10,1.000000
All,linguistic,NB,19,triad_11,0.000000
D,audio,QDA,0,dyad_03,0.833333
D,audio,QDA,1,dyad_07,0.181818
D,audio,QDA,2,dyad_05,0.454545
D,audio,QDA,3,dyad_04,0.636364
D,audio,QDA,4,dyad_11,0.666667
D,audio,QDA,5,dyad_06,0.888889
D,audio,QDA,6,dyad_02,0.444444
D,audio,QDA,7,dyad_10,0.714286
D,audio,SVM,0,dyad_03,0.833333
D,audio,SVM,1,dyad_07,0.727273
D,audio,SVM,2,dyad_05,0.454545
D,audio,SVM,3,dyad_04,0.363636
D,audio,SVM,4,dyad_11,0.444444
D,audio,SVM,5,dyad_06,0.888889
D,audio,SVM,6,dyad_02,0.111111
D,audio,SVM,7,dyad_10,0.428571
D,audio,LogReg,0,dyad_03,0.833333
D,audio,LogReg,1,dyad_07,0.181818
D,audio,LogReg,2,dyad_05,0.454545
D,audio,LogReg,3,dyad_04,0.363636
D,audio,LogReg,4,dyad_11,0.666667
D,audio,LogReg,5,dyad_06,0.888889
D,audio,LogReg,6,dyad_02,0.444444
D,audio,LogReg,7,dyad_10,0.714286
D,audio,NB,0,dyad_03,0.833333
D,audio,NB,1,dyad_07,0.181818
D,audio,NB,2,dyad_05,0.454545
D,audio,NB,3,dyad_04,0.454545
D,audio,NB,4,dyad_11,0.666667
D,audio,NB,5,dyad_06,0.888889
D,audio,NB,6,dyad_02,0.222222
D,audio,NB,7,dyad_10,0.428571
D,linguistic,QDA,0,dyad_03,0.833333
D,linguistic,QDA,1,dyad_07,0.545455
D,linguistic,QDA,2,dyad_05,0.545455
D,linguistic,QDA,3,dyad_04,0.636364
D,linguistic,QDA,4,dyad_11,0.666667
D,linguistic,QDA,5,dyad_06,0.888889
D,linguistic,QDA,6,dyad_02,0.444444
D,linguistic,QDA,7,dyad_10,0.571429
D,linguistic,SVM,0,dyad_03,0.750000
D,linguistic,SVM,1,dyad_07,0.454545
D,linguistic,SVM,2,dyad_05,0.454545
D,linguistic,SVM,3,dyad_04,0.454545
D,linguistic,SVM,4,dyad_11,0.555556
D,linguistic,SVM,5,dyad_06,0.888889
D,linguistic,SVM,6,dyad_02,0.222222
D,linguistic,SVM,7,dyad_10,0.000000
D,linguistic,LogReg,0,dyad_03,0.833333
D,linguistic,LogReg,1,dyad_07,0.454545
D,linguistic,LogReg,2,dyad_05,0.545455
D,linguistic,LogReg,3,dyad_04,0.636364
D,linguistic,LogReg,4,dyad_11,0.777778
D,linguistic,LogReg,5,dyad_06,0.888889
D,linguistic,LogReg,6,dyad_02,0.444444
D,linguistic,LogReg,7,dyad_10,0.857143
D,linguistic,NB,0,dyad_03,0.750000
D,linguistic,NB,1,dyad_07,0.545455
D,linguistic,NB,2,dyad_05,0.545455
D,linguistic,NB,3,dyad_04,0.727273
D,linguistic,NB,4,dyad_11,0.666667
D,linguistic,NB,5,dyad_06,0.888889
D,linguistic,NB,6,dyad_02,0.444444
D,linguistic,NB,7,dyad_10,0.571429
D,openSMILE,SVM,0,dyad_03,0.833333
D,openSMILE,SVM,1,dyad_07,0.818182
D,openSMILE,SVM,2,dyad_05,0.454545
D,openSMILE,SVM,3,dyad_04,0.636364
D,openSMILE,SVM,4,dyad_11,0.555556
D,openSMILE,SVM,5,dyad_06,0.888889
D,openSMILE,SVM,6,dyad_02,0.111111
D,openSMILE,SVM,7,dyad_10,0.000000
D,openSMILE,LogReg,0,dyad_03,0.833333
D,openSMILE,LogReg,1,dyad_07,0.363636
D,openSMILE,LogReg,2,dyad_05,0.727273
D,openSMILE,LogReg,3,dyad_04,0.545455
D,openSMILE,LogReg,4,dyad_11,0.444444
D,openSMILE,LogReg,5,dyad_06,0.888889
D,openSMILE,LogReg,6,dyad_02,0.888889
D,openSMILE,LogReg,7,dyad_10,0.571429
D,openSMILE,NB,0,dyad_03,0.833333
D,openSMILE,NB,1,dyad_07,0.727273
D,openSMILE,NB,2,dyad_05,0.545455
D,openSMILE,NB,3,dyad_04,0.545455
D,openSMILE,NB,4,dyad_11,0.555556
D,openSMILE,NB,5,dyad_06,0.888889
D,openSMILE,NB,6,dyad_02,0.333333
D,openSMILE,NB,7,dyad_10,0.000000
All,audio+AIxVR,QDA,0,triad_01,0.769231
All,audio+AIxVR,QDA,1,dyad_03,0.833333
All,audio+AIxVR,QDA,2,dyad_04,0.636364
All,audio+AIxVR,QDA,3,dyad_05,0.454545
All,audio+AIxVR,QDA,4,dyad_07,0.909091
All,audio+AIxVR,QDA,5,triad_06,0.272727
All,audio+AIxVR,QDA,6,triad_05,0.545455
All,audio+AIxVR,QDA,7,triad_13,0.636364
All,audio+AIxVR,QDA,8,triad_14,0.700000
All,audio+AIxVR,QDA,9,dyad_06,0.777778
All,audio+AIxVR,QDA,10,dyad_11,0.555556
All,audio+AIxVR,QDA,11,dyad_02,0.444444
All,audio+AIxVR,QDA,12,triad_07,0.875000
All,audio+AIxVR,QDA,13,triad_09,0.875000
All,audio+AIxVR,QDA,14,triad_12,0.750000
All,audio+AIxVR,QDA,15,triad_02,1.000000
All,audio+AIxVR,QDA,16,dyad_10,0.714286
All,audio+AIxVR,QDA,17,triad_08,1.000000
All,audio+AIxVR,QDA,18,triad_10,0.714286
All,audio+AIxVR,QDA,19,triad_11,0.000000
All,audio+AIxVR,SVM,0,triad_01,0.769231
All,audio+AIxVR,SVM,1,dyad_03,0.750000
All,audio+AIxVR,SVM,2,dyad_04,0.636364
All,audio+AIxVR,SVM,3,dyad_05,0.545455
All,audio+AIxVR,SVM,4,dyad_07,0.909091
All,audio+AIxVR,SVM,5,triad_06,0.272727
All,audio+AIxVR,SVM,6,triad_05,0.363636
All,audio+AIxVR,SVM,7,triad_13,0.545455
All,audio+AIxVR,SVM,8,triad_14,0.500000
All,audio+AIxVR,SVM,9,dyad_06,0.777778
All,audio+AIxVR,SVM,10,dyad_11,0.333333
All,audio+AIxVR,SVM,11,dyad_02,0.333333
All,audio+AIxVR,SVM,12,triad_07,0.875000
All,audio+AIxVR,SVM,13,triad_09,0.875000
All,audio+AIxVR,SVM,14,triad_12,1.000000
All,audio+AIxVR,SVM,15,triad_02,0.875000
All,audio+AIxVR,SVM,16,dyad_10,0.714286
All,audio+AIxVR,SVM,17,triad_08,1.000000
All,audio+AIxVR,SVM,18,triad_10,0.714286
All,audio+AIxVR,SVM,19,triad_11,0.000000
All,audio+AIxVR,LogReg,0,triad_01,0.769231
All,audio+AIxVR,LogReg,1,dyad_03,0.833333
All,audio+AIxVR,LogReg,2,dyad_04,0.636364
All,audio+AIxVR,LogReg,3,dyad_05,0.545455
All,audio+AIxVR,LogReg,4,dyad_07,0.818182
All,audio+AIxVR,LogReg,5,triad_06,0.181818
All,audio+AIxVR,LogReg,6,triad_05,0.454545
All,audio+AIxVR,LogReg,7,triad_13,0.545455
All,audio+AIxVR,LogReg,8,triad_14,0.700000
All,audio+AIxVR,LogReg,9,dyad_06,0.777778
All,audio+AIxVR,LogReg,10,dyad_11,0.555556
All,audio+AIxVR,LogReg,11,dyad_02,0.333333
All,audio+AIxVR,LogReg,12,triad_07,0.875000
All,audio+AIxVR,LogReg,13,triad_09,0.875000
All,audio+AIxVR,LogReg,14,triad_12,0.875000
All,audio+AIxVR,LogReg,15,triad_02,1.000000
All,audio+AIxVR,LogReg,16,dyad_10,0.714286
All,audio+AIxVR,LogReg,17,triad_08,1.000000
All,audio+AIxVR,LogReg,18,triad_10,0.714286
All,audio+AIxVR,LogReg,19,triad_11,0.000000
All,audio+AIxVR,NB,0,triad_01,0.615385
All,audio+AIxVR,NB,1,dyad_03,0.833333
All,audio+AIxVR,NB,2,dyad_04,0.636364
All,audio+AIxVR,NB,3,dyad_05,0.454545
All,audio+AIxVR,NB,4,dyad_07,0.818182
All,audio+AIxVR,NB,5,triad_06,0.545455
All,audio+AIxVR,NB,6,triad_05,0.545455
All,audio+AIxVR,NB,7,triad_13,0.636364
All,audio+AIxVR,NB,8,triad_14,0.700000
All,audio+AIxVR,NB,9,dyad_06,0.777778
All,audio+AIxVR,NB,10,dyad_11,0.666667
All,audio+AIxVR,NB,11,dyad_02,0.777778
All,audio+AIxVR,NB,12,triad_07,0.875000
All,audio+AIxVR,NB,13,triad_09,0.750000
All,audio+AIxVR,NB,14,triad_12,0.625000
All,audio+AIxVR,NB,15,triad_02,0.625000
All,audio+AIxVR,NB,16,dyad_10,0.714286
All,audio+AIxVR,NB,17,triad_08,1.000000
All,audio+AIxVR,NB,18,triad_10,0.714286
All,audio+AIxVR,NB,19,triad_11,0.000000
D,audio+AIxVR,QDA,0,dyad_03,0.833333
D,audio+AIxVR,QDA,1,dyad_07,0.272727
D,audio+AIxVR,QDA,2,dyad_05,0.545455
D,audio+AIxVR,QDA,3,dyad_04,0.636364
