split,detector,model,fold,test_group,accuracy
All,audio+GazexSpeaking,LogReg,18,triad_10,0.714286
All,audio+GazexSpeaking,LogReg,19,triad_11,0.000000
All,audio+GazexSpeaking,NB,0,triad_01,0.769231
All,audio+GazexSpeaking,NB,1,dyad_03,0.500000
All,audio+GazexSpeaking,NB,2,dyad_04,0.636364
All,audio+GazexSpeaking,NB,3,dyad_05,0.636364
All,audio+GazexSpeaking,NB,4,dyad_07,0.818182
All,audio+GazexSpeaking,NB,5,triad_06,1.000000
All,audio+GazexSpeaking,NB,6,triad_05,0.363636
All,audio+GazexSpeaking,NB,7,triad_13,0.545455
All,audio+GazexSpeaking,NB,8,triad_14,0.800000
All,audio+GazexSpeaking,NB,9,dyad_06,0.777778
All,audio+GazexSpeaking,NB,10,dyad_11,0.555556
All,audio+GazexSpeaking,NB,11,dyad_02,0.888889
All,audio+GazexSpeaking,NB,12,triad_07,0.750000
All,audio+GazexSpeaking,NB,13,triad_09,0.750000
All,audio+GazexSpeaking,NB,14,triad_12,0.625000
All,audio+GazexSpeaking,NB,15,triad_02,1.000000
All,audio+GazexSpeaking,NB,16,dyad_10,1.000000
All,audio+GazexSpeaking,NB,17,triad_08,1.000000
All,audio+GazexSpeaking,NB,18,triad_10,0.714286
All,audio+GazexSpeaking,NB,19,triad_11,0.000000
All,audio+linguistic,QDA,0,triad_01,0.846154
All,audio+linguistic,QDA,1,dyad_03,0.666667
All,audio+linguistic,QDA,2,dyad_04,0.454545
All,audio+linguistic,QDA,3,dyad_05,0.545455
All,audio+linguistic,QDA,4,dyad_07,0.454545
All,audio+linguistic,QDA,5,triad_06,0.909091
All,audio+linguistic,QDA,6,triad_05,0.363636
All,audio+linguistic,QDA,7,triad_13,0.636364
All,audio+linguistic,QDA,8,triad_14,0.900000
All,audio+linguistic,QDA,9,dyad_06,0.888889
All,audio+linguistic,QDA,10,dyad_11,0.666667
All,audio+linguistic,QDA,11,dyad_02,0.666667
All,audio+linguistic,QDA,12,triad_07,0.750000
All,audio+linguistic,QDA,13,triad_09,0.875000
All,audio+linguistic,QDA,14,triad_12,0.875000
All,audio+linguistic,QDA,15,triad_02,1.000000
All,audio+linguistic,QDA,16,dyad_10,0.857143
All,audio+linguistic,QDA,17,triad_08,1.000000
All,audio+linguistic,QDA,18,triad_10,1.000000
All,audio+linguistic,QDA,19,triad_11,0.000000
All,audio+linguistic,SVM,0,triad_01,0.923077
All,audio+linguistic,SVM,1,dyad_03,0.666667
All,audio+linguistic,SVM,2,dyad_04,0.454545
All,audio+linguistic,SVM,3,dyad_05,0.636364
All,audio+linguistic,SVM,4,dyad_07,0.454545
All,audio+linguistic,SVM,5,triad_06,1.000000
All,audio+linguistic,SVM,6,triad_05,0.454545
All,audio+linguistic,SVM,7,triad_13,0.545455
All,audio+linguistic,SVM,8,triad_14,0.900000
All,audio+linguistic,SVM,9,dyad_06,0.888889
All,audio+linguistic,SVM,10,dyad_11,0.666667
All,audio+linguistic,SVM,11,dyad_02,0.333333
All,audio+linguistic,SVM,12,triad_07,0.750000
All,audio+linguistic,SVM,13,triad_09,0.875000
All,audio+linguistic,SVM,14,triad_12,0.750000
All,audio+linguistic,SVM,15,triad_02,1.000000
All,audio+linguistic,SVM,16,dyad_10,0.857143
All,audio+linguistic,SVM,17,triad_08,1.000000
All,audio+linguistic,SVM,18,triad_10,1.000000
All,audio+linguistic,SVM,19,triad_11,0.000000
All,audio+linguistic,LogReg,0,triad_01,0.769231
All,audio+linguistic,LogReg,1,dyad_03,0.666667
All,audio+linguistic,LogReg,2,dyad_04,0.454545
All,audio+linguistic,LogReg,3,dyad_05,0.727273
All,audio+linguistic,LogReg,4,dyad_07,0.363636
All,audio+linguistic,LogReg,5,triad_06,1.000000
All,audio+linguistic,LogReg,6,triad_05,0.454545
All,audio+linguistic,LogReg,7,triad_13,0.545455
All,audio+linguistic,LogReg,8,triad_14,0.900000
All,audio+linguistic,LogReg,9,dyad_06,0.888889
All,audio+linguistic,LogReg,10,dyad_11,0.666667
All,audio+linguistic,LogReg,11,dyad_02,0.444444
All,audio+linguistic,LogReg,12,triad_07,0.750000
All,audio+linguistic,LogReg,13,triad_09,0.875000
All,audio+linguistic,LogReg,14,triad_12,0.750000
All,audio+linguistic,LogReg,15,triad_02,1.000000
All,audio+linguistic,LogReg,16,dyad_10,1.000000
All,audio+linguistic,LogReg,17,triad_08,1.000000
All,audio+linguistic,LogReg,18,triad_10,1.000000
All,audio+linguistic,LogReg,19,triad_11,0.000000
All,audio+linguistic,NB,0,triad_01,0.923077
All,audio+linguistic,NB,1,dyad_03,0.750000
All,audio+linguistic,NB,2,dyad_04,0.636364
All,audio+linguistic,NB,3,dyad_05,0.636364
All,audio+linguistic,NB,4,dyad_07,0.545455
All,audio+linguistic,NB,5,triad_06,0.909091
All,audio+linguistic,NB,6,triad_05,0.454545
All,audio+linguistic,NB,7,triad_13,0.636364
All,audio+linguistic,NB,8,triad_14,0.900000
All,audio+linguistic,NB,9,dyad_06,0.888889
All,audio+linguistic,NB,10,dyad_11,0.555556
All,audio+linguistic,NB,11,dyad_02,0.666667
All,audio+linguistic,NB,12,triad_07,0.750000
All,audio+linguistic,NB,13,triad_09,0.875000
All,audio+linguistic,NB,14,triad_12,0.875000
All,audio+linguistic,NB,15,triad_02,1.000000
All,audio+linguistic,NB,16,dyad_10,0.857143
All,audio+linguistic,NB,17,triad_08,1.000000
All,audio+linguistic,NB,18,triad_10,1.000000
All,audio+linguistic,NB,19,triad_11,0.000000
All,AIxVR,QDA,0,triad_01,0.615385
All,AIxVR,QDA,1,dyad_03,0.833333
All,AIxVR,QDA,2,dyad_04,0.636364
All,AIxVR,QDA,3,dyad_05,0.454545
All,AIxVR,QDA,4,dyad_07,0.818182
All,AIxVR,QDA,5,triad_06,0.181818
All,AIxVR,QDA,6,triad_05,0.545455
All,AIxVR,QDA,7,triad_13,0.454545
All,AIxVR,QDA,8,triad_14,0.400000
All,AIxVR,QDA,9,dyad_06,0.777778
All,AIxVR,QDA,10,dyad_11,0.555556
All,AIxVR,QDA,11,dyad_02,0.333333
All,AIxVR,QDA,12,triad_07,0.875000
All,AIxVR,QDA,13,triad_09,0.875000
All,AIxVR,QDA,14,triad_12,0.500000
All,AIxVR,QDA,15,triad_02,0.125000
All,AIxVR,QDA,16,dyad_10,0.428571
All,AIxVR,QDA,17,triad_08,0.857143
All,AIxVR,QDA,18,triad_10,0.857143
All,AIxVR,QDA,19,triad_11,0.750000
All,AIxVR,SVM,0,triad_01,0.846154
All,AIxVR,SVM,1,dyad_03,0.750000
All,AIxVR,SVM,2,dyad_04,0.727273
All,AIxVR,SVM,3,dyad_05,0.454545
All,AIxVR,SVM,4,dyad_07,0.545455
All,AIxVR,SVM,5,triad_06,0.181818
All,AIxVR,SVM,6,triad_05,0.727273
All,AIxVR,SVM,7,triad_13,0.454545
