split,det_a,det_b,n,acc_a,acc_b,pred_agreement,kappa_preds,both_right,only_a_wrong,only_b_wrong,both_wrong,phi_errors,p_errors_indep,p_mcnemar
All,GazexSpeaking,linguistic,185,0.7459459459459459,0.7675675675675675,0.8162162162162162,0.6046511627906976,123,19,15,28,0.5019757690505667,3.409885567367419e-11,0.6075913612730801
All,GazexSpeaking,linguistic+GazexSpeaking,185,0.7459459459459459,0.7891891891891891,0.8810810810810811,0.7420785804816223,131,15,7,32,0.6725234529841628,3.8818802831925766e-19,0.13380050659179688
All,linguistic,linguistic+GazexSpeaking,185,0.7675675675675675,0.7891891891891891,0.9027027027027027,0.7963800904977376,135,11,7,32,0.7195912940020589,1.027221549258512e-21,0.480682373046875
D,GazexSpeaking,linguistic,79,0.8227848101265822,0.6708860759493671,0.6962025316455697,0.2779893373952781,47,6,18,8,0.23932578334032556,0.06973100667852732,0.022655844688415527
D,GazexSpeaking,linguistic+GazexSpeaking,79,0.8227848101265822,0.8354430379746836,0.8607594936708861,0.6635694928377855,60,6,5,8,0.5092700939450475,3.640811105633104e-05,1.0
D,linguistic,linguistic+GazexSpeaking,79,0.6708860759493671,0.8354430379746836,0.7848101265822784,0.525944228732792,51,15,2,11,0.48834446350966954,5.878899677809772e-05,0.002349853515625
T,GazexSpeaking,linguistic,106,0.7169811320754718,0.7735849056603774,0.8490566037735849,0.6874308883155178,71,11,5,19,0.6108777481326371,1.6217389482786526e-09,0.210113525390625
T,GazexSpeaking,linguistic+GazexSpeaking,106,0.7169811320754718,0.7735849056603774,0.9245283018867925,0.842320565265898,75,7,1,23,0.8110417088808891,5.84122357073657e-16,0.0703125
T,linguistic,linguistic+GazexSpeaking,106,0.7735849056603774,0.7735849056603774,0.9245283018867925,0.8446317332356175,78,4,4,20,0.7845528455284554,6.18113926067191e-15,1.0
