,Percentage_MG_P,Percentage_0_D1,Percentage_1d_DG
count,11.0,11.0,22.0
mean,0.15737329551595355,0.18453418421816875,0.14410917618953437
std,0.17880651767481381,0.11773361100348166,0.11287257037831575
min,0.0,0.0208212973447646,0.0
25%,0.00065674775810715,0.07146916687874946,0.043274296028433495
50%,0.0470065839840759,0.1778971324533454,0.1589156662261032
75%,0.3334185841984517,0.29438122604313943,0.2043854986179034
max,0.4185354998369367,0.334660337875772,0.3734471375206324
