,Percentage_0_D1,Percentage_1_D1,Percentage_2_D1_same,Percentage_2_D1_different,Percentage_3_D1,Percentage_MG_D1,Percentage_MG_D0,Percentage_MG_P,Percentage_1d_DG
count,12.0,12.0,12.0,12.0,12.0,12.0,12.0,36.0,36.0
mean,0.5010423242269709,0.3462404059008375,0.0492982431295916,0.045391747969872054,0.003032122322574417,0.01099421803900025,0.04400093841115304,0.01833171881671775,0.18523699103549615
std,0.2605428122272243,0.1323544518242026,0.10255200707982896,0.039226970720822534,0.005224334630918419,0.013443105388219948,0.05174224012366325,0.03774053995185435,0.16384725382378432
min,0.0723524993741133,0.0617535683076026,0.0002330323332362,0.0,0.0,0.0,0.0,0.0,0.0012525487911447
25%,0.3106709118389715,0.2894994656925391,0.00585493699578905,0.009124732642850051,5.9783186310978845e-05,0.00023960813831572567,0.009488226975851825,0.000968438356475325,0.07312723101015098
50%,0.5128835342808205,0.3960532426149541,0.0158709634085593,0.039735281245667,0.0008164582265808,0.00507684416249705,0.0231505868587447,0.003614356442394,0.1360975691866289
75%,0.6585652366896332,0.44998484531733857,0.0344516995032507,0.06537201080541755,0.002098588576644075,0.015985226546175176,0.053753786521837627,0.015557706900609876,0.2734575160463832
max,0.9380133993591612,0.4730833898705053,0.3672702995910873,0.1270262446931686,0.0166441528367425,0.0379902572031855,0.1736079467784562,0.2016768431604848,0.7107569056162898
