,Percentage_0_D1,Percentage_1_D1,Percentage_2_D1_same,Percentage_2_D1_different,Percentage_3_D1,Percentage_MG_D1,Percentage_MG_D0,Percentage_MG_P,Percentage_1d_DG
count,14.0,14.0,14.0,14.0,14.0,14.0,14.0,42.0,42.0
mean,0.27592429017694703,0.3227610920575627,0.04297938529725183,0.039383873367815014,0.002598961990778072,0.009466550962145121,0.038788272373255224,0.0160849411118001,0.15433380827819745
std,0.1348880991000116,0.13777553120139505,0.09570946919571308,0.0391826918136109,0.004930214046137189,0.012961792874198175,0.04943842925318119,0.03532915029902817,0.1237363897195758
min,0.0619866006408389,0.0617535683076026,0.0002330323332362,0.0,0.0,0.0,0.0,0.0,0.0012525487911447
25%,0.16377538615324153,0.25459334719845034,0.0036419178573711504,0.0044573895537424755,0.0,0.00013597193490997694,0.008997408094309675,7.285656000465e-05,0.062172568250083125
50%,0.2953570870780876,0.35354368307406436,0.0124903664512662,0.0368289537607559,0.0006303804678709499,0.0018612768646099,0.01662404587129855,0.00323305960080715,0.12491664830181609
75%,0.3674720398997965,0.4434830608562738,0.03194538959418615,0.0598839953456279,0.00129115850328185,0.0131876466736869,0.042081899741738225,0.009292670348860025,0.23941064492750608
max,0.4771495376766925,0.4730833898705053,0.3672702995910873,0.1270262446931686,0.0166441528367425,0.0379902572031855,0.1736079467784562,0.2016768431604848,0.421167517182384
