,Percentage_MG_P,Percentage_0_D1,Percentage_1d_DG
count,8.0,8.0,16.0
mean,0.2623110154963513,0.41657942882564714,0.16055477783900068
std,0.24992946973577304,0.35784751123829683,0.11227585257370244
min,0.0,0.0612693973915235,0.0
25%,0.035382038027342376,0.11655053300805086,0.09092783341358275
50%,0.22857948021614283,0.3009223568437057,0.1684811871979176
75%,0.4420994459650618,0.7045304634798346,0.204098447799277
max,0.6167052513351824,0.9791787026552352,0.3734471375206324
