seconds_interaction_window;group_type ;grup_formation; group_name;TE;MG;1d_DG;BPM;blink_durations;0_D1;1_D1;2_D1_same;2_D1_different;2_D1;3_D1;MG_D1;MG_D0
300;triad;F;triad_06;0.635175782;0.052401747;0.175309316;13.5;182.0064394;0.455786026;0.471888646;0.009279476;0.010371179;0.019650655;0.000272926;0.013919214;0.038482533
360;triad;F;triad_06;0.573274636;0.027599665;0.175634235;13;182.6465201;0.510175634;0.414552551;0.030945079;0.01672707;0.047672149;0;0.017005854;0.010593811
420;triad;F;triad_06;0.628198099;0.008871638;0.129193235;15.5;189.980859;0.625727752;0.344330469;0;0.020515664;0.020515664;0.000554477;0.000554477;0.008317161
480;triad;F;triad_06;0.691869445;0.060354374;0.195921004;11.5;176.3943452;0.408084164;0.475359911;0.017718715;0.038482835;0.05620155;0;0;0.060354374
540;triad;F;triad_06;0.396646428;0.00748337;0.148281596;11.5;180.6961279;0.604490022;0.335643016;0.037694013;0.014689579;0.052383592;0;0.00443459;0.00304878
600;triad;F;triad_06;0.190080777;0.021723389;0.069032102;7;174.8728571;0.775524982;0.198406951;0;0.004344678;0.004344678;0;0;0.021723389
0;triad;L;triad_07;0.000777261;0.006794467;0.084445523;7;189.3463203;0.741082262;0.250909973;0.000727979;0.000485319;0.001213298;0;0;0.006794467
60;triad;L;triad_07;0.255655193;0.022922636;0.081423114;14.5;189.1284314;0.732808023;0.244269341;0;0;0;0;0;0.022922636
120;triad;L;triad_07;0.381370683;0.006982904;0.058672446;11.5;175.025641;0.816999759;0.176017337;0;0;0;0;0;0.006982904
180;triad;L;triad_07;0.183258866;0;0.053150553;12;173.567366;0.848003848;0.144540645;0.006012506;0.001443001;0.007455507;0;0;0
240;triad;L;triad_07;0.519380851;0;0.036530775;11.5;199.1282051;0.895443645;0.099520384;0.005035971;0;0.005035971;0;0;0
300;triad;L;triad_07;0.152042432;0;0.001907032;6.5;182.6555556;0.994278903;0.005721097;0;0;0;0;0;0
360;triad;L;triad_07;0.602591935;0;0.025281804;8.5;208.3904762;0.924154589;0.075845411;0;0;0;0;0;0
420;triad;L;triad_07;0.525178169;0;0.019798767;1.5;168.6666667;0.9406037;0.0593963;0;0;0;0;0;0
0;triad;F;triad_08;0.026845977;0.055504727;0.166514181;18.5;199.3779762;0.511131443;0.379078987;0.003354681;0.046965538;0.050320219;0.003964623;0.007929247;0.04757548
60;triad;F;triad_08;0.155905839;0.206938901;0.303141951;31;190.9802632;0.163340497;0.41940436;0.065704636;0.144611606;0.210316242;0;0.069389008;0.137549893
120;triad;F;triad_08;0.380647116;0.035312024;0.101268392;15;165.8905408;0.683713851;0.259360731;0.002739726;0.018873668;0.021613394;0;0.001217656;0.034094368
180;triad;F;triad_08;0.005837927;0.006146281;0.097725876;12.5;166.0912698;0.731100184;0.234787953;0.001229256;0.026736325;0.027965581;0;0.002458513;0.003687769
240;triad;F;triad_08;0.005594261;0.044090631;0.133292509;12;190.2952381;0.605327618;0.303123086;0.021432945;0.02602572;0.047458665;0;0.00183711;0.042253521
300;triad;F;triad_08;0.039101694;0.00962434;0.073786609;8.5;188.7724868;0.77460416;0.210183173;0.001862776;0.003725551;0.005588327;0;0;0.00962434
360;triad;F;triad_08;0.007459758;0;0.033301916;7;165.7388889;0.900094251;0.099905749;0;0;0;0;0;0
0;triad;F;triad_09;0.01298815;0.241023936;0.217974291;9;173.702381;0.223404255;0.44481383;0.03025266;0.059175532;0.089428192;0.001329787;0.026263298;0.214760638
60;triad;F;triad_09;0.08638063;0.342438374;0.204308239;17;193.7385396;0.131578947;0.459360426;0.035309793;0.031312458;0.066622251;0;0.020319787;0.322118588
120;triad;F;triad_09;0.508913279;0.119879113;0.231027535;17;206.7716706;0.33143049;0.412693083;0.003357958;0.131296172;0.13465413;0.001343183;0.007051713;0.112827401
180;triad;F;triad_09;0.645430737;0.253925827;0.264394699;21;189.3411435;0.132976946;0.491146007;0.021383228;0.09923154;0.120614768;0.001336452;0.056799198;0.197126629
