seconds_interaction_window;group_type ;grup_formation; group_name;TE;MG;1d_DG;BPM;blink_durations
0;dyad;F;dyad_02;0.498681059;0;0.124497693;10;222.8131313
60;dyad;F;dyad_02;0.272430904;0;0.07012012;38;221.7247387
120;dyad;F;dyad_02;0.40788769;0;0.030572289;53.5;250.3535068
180;dyad;F;dyad_02;0.447393759;0;0.105188609;21.5;236.4210526
240;dyad;F;dyad_02;0.20985281;0;0.034346004;35;232.1045752
300;dyad;F;dyad_02;0.621733044;0;0.05908684;21.5;242.429803
360;dyad;F;dyad_02;0.455318529;0;0.170294785;35.5;261.3636725
420;dyad;F;dyad_02;0.226601956;0;0.112649417;24.5;247.6780702
480;dyad;F;dyad_02;0.204175543;0;0.111041405;25;252.6875
0;dyad;F;dyad_03;0.629388412;0.915170816;0.033149971;15;170.3914027
60;dyad;F;dyad_03;0.726386998;0.759122085;0.103292181;32.5;173.7173295
120;dyad;F;dyad_03;0.553254587;0.607563716;0.155385037;32.5;190.1655598
180;dyad;F;dyad_03;0.731887111;0.503720033;0.212041885;34.5;189.7069444
240;dyad;F;dyad_03;0.603795764;0.568365358;0.190197717;31;200.7719298
300;dyad;F;dyad_03;0.460696622;0.7684702;0.109035979;35.5;183.2403226
360;dyad;F;dyad_03;0.688045309;0.507154651;0.197303247;37;183.8150183
420;dyad;F;dyad_03;0.707077291;0.674234136;0.160010941;37.5;186.2137733
480;dyad;F;dyad_03;0.508166424;0.520827586;0.228965517;35;185.7712418
540;dyad;F;dyad_03;0.431451533;0.420794774;0.23217202;31.5;190.4092742
600;dyad;F;dyad_03;0.56837701;0.535803845;0.17428253;30;170.8608597
660;dyad;F;dyad_03;0.610072035;0.665394055;0.138260158;36;180.5758514
0;dyad;F;dyad_04;0.551791429;0.244733728;0.200946746;21.5;182.2586957
60;dyad;F;dyad_04;0.727823521;0.405513666;0.21760132;42.5;154.7083333
120;dyad;F;dyad_04;0.694809324;0.213986989;0.226417286;42;164.202381
180;dyad;F;dyad_04;0.612013695;0.196648825;0.22690249;42.5;166.4243348
240;dyad;F;dyad_04;0.620150727;0.407459207;0.187179487;45.5;165.8850242
300;dyad;F;dyad_04;0.564491108;0.294599018;0.217792845;40.5;167.9140049
360;dyad;F;dyad_04;0.640060395;0.39199815;0.193917669;35;172.2291667
420;dyad;F;dyad_04;0.362827424;0.156716418;0.219566231;33.5;162.6821429
480;dyad;F;dyad_04;0.043400592;0.496658216;0.191057847;41;166.3116029
540;dyad;F;dyad_04;0.649054164;0.159887138;0.213261227;36.5;155.1463964
600;dyad;F;dyad_04;0.634406933;0.145;0.151071429;31.5;180.4060606
660;dyad;F;dyad_04;0.020318456;0;0;13.5;145.8823529
0;dyad;F;dyad_05;0.409635848;0.466987046;0.226702883;3.5;221
60;dyad;F;dyad_05;0.701864167;0.565734558;0.190108514;23.5;210.4209091
120;dyad;F;dyad_05;0.500779076;0.659871021;0.163303516;21.5;223.722619
180;dyad;F;dyad_05;0.487652507;0.845307309;0.070390365;18.5;243.0073099
240;dyad;F;dyad_05;0.283658209;0.233127572;0.188683128;30.5;225.5297619
300;dyad;F;dyad_05;0.637262008;0.45865285;0.253056995;23.5;213.512963
360;dyad;F;dyad_05;0.679836258;0.592646448;0.179476527;23.5;208.4103535
420;dyad;F;dyad_05;0.580585452;0.72873807;0.133828208;26.5;219.3995536
480;dyad;F;dyad_05;0.485291167;0.751928021;0.12167952;27.5;203.7817337
540;dyad;F;dyad_05;0.135358517;0.615645537;0.160483358;23.5;222.6455939
600;dyad;F;dyad_05;0.186021786;0.479113778;0.224901916;25;220.9427083
0;dyad;F;dyad_06;0.726914892;0.363592814;0.261077844;3;160
60;dyad;F;dyad_06;0.792888747;0.445644348;0.241900648;20.5;190.1257576
120;dyad;F;dyad_06;0.759592016;0.47301896;0.212931454;27;205.0178571
180;dyad;F;dyad_06;0.452407097;0.198888352;0.259908168;24;197.0882353
240;dyad;F;dyad_06;0.798702436;0.426559845;0.232095169;22;187.6197917
300;dyad;F;dyad_06;0.778292775;0.326287658;0.284863946;23;192.0630631
360;dyad;F;dyad_06;0.839646429;0.477399081;0.246072033;27;209.9435897
420;dyad;F;dyad_06;0.757667702;0.342370441;0.261396353;33.5;204.8582621
480;dyad;F;dyad_06;0.804681458;0.540024184;0.145465538;29;209.492109
0;dyad;F;dyad_07;0.538514424;0.216765053;0.251711924;28;158.69375
60;dyad;F;dyad_07;0.377775857;0.184985968;0.25070159;29;169.3223039
120;dyad;F;dyad_07;0.358216639;0.277028626;0.255973504;37.5;158.7260638
180;dyad;F;dyad_07;0.513301301;0.255973504;0.263425597;34;167.5098039
240;dyad;F;dyad_07;0.718687377;0.118572435;0.304296783;35.5;181.0408163
300;dyad;F;dyad_07;0.799416598;0.077141505;0.331992428;31;185.4042553
360;dyad;F;dyad_07;0.558950586;0.085930123;0.214117092;33.5;169.7390351
420;dyad;F;dyad_07;0.575528529;0.158585149;0.25169829;30.5;179.0416667
480;dyad;F;dyad_07;0.535121734;0.137810014;0.275620028;34.5;185.7699491
540;dyad;F;dyad_07;0.730028586;0.199718706;0.267932489;26;187.5287081
600;dyad;F;dyad_07;0.71843232;0.202193476;0.260545557;27;183.75
0;dyad;F;dyad_10;0.014687372;0.010906612;0.14536469;31.5;212.4761905
60;dyad;F;dyad_10;0.177481324;0.014596062;0.139511202;26;212.5576923
120;dyad;F;dyad_10;0.370287393;0.029512697;0.181880577;30.5;230.1634409
180;dyad;F;dyad_10;0.401078857;0.161002403;0.21610024;14.5;183.4447368
240;dyad;F;dyad_10;0.493783795;0.003110957;0.189249914;32;224.864532
300;dyad;F;dyad_10;0.281454303;0.007404795;0.02574048;17;194.8102767
360;dyad;F;dyad_10;0.005309407;0.120833333;0.092824074;9.5;209.8583333
0;dyad;F;dyad_11;0.416028641;0;0.007535642;16.5;163.5454545
60;dyad;F;dyad_11;0.496326781;0;0.000102459;26;184.7902711
120;dyad;F;dyad_11;0.546665832;0;0;30;199.6285714
180;dyad;F;dyad_11;0.699067542;0;0.010095754;28;189.4583333
240;dyad;F;dyad_11;0.536681178;0;0.012301166;24;187.6616162
300;dyad;F;dyad_11;0.491867196;0;0.000521921;26.5;179.9695946
360;dyad;F;dyad_11;0.506072611;0;0.017408736;27.5;189.5825826
