Group_Name;Group_Name_Long;TS_Start_Interaction;TS_End_Interaction
dyad_01;DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_TS;2023-11-06 16:16:48.000;2023-11-06 16:26:55.000
dyad_02;DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS;2023-11-06 17:11:36.000;2023-11-06 17:19:50.000
triad_08;TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS;2024-06-14 15:36:10.000;2024-06-14 15:42:30.000
triad_09;TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS;2024-06-14 15:35:30.000;2024-06-14 15:42:51.000
