TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-11-06 16:16:00+00:00,134.0,172.0,153.0,dyad_01
2023-11-06 16:17:00+00:00,130.75,167.33333333333334,149.04166666666669,dyad_01
2023-11-06 16:18:00+00:00,109.6,159.66666666666666,134.63333333333333,dyad_01
2023-11-06 16:19:00+00:00,190.0,168.10344827586206,179.05172413793105,dyad_01
2023-11-06 16:20:00+00:00,146.33333333333334,178.25,162.29166666666669,dyad_01
2023-11-06 16:21:00+00:00,174.0,166.53846153846155,170.26923076923077,dyad_01
2023-11-06 16:22:00+00:00,123.0,154.97560975609755,138.9878048780488,dyad_01
2023-11-06 16:23:00+00:00,,186.875,,dyad_01
2023-11-06 16:24:00+00:00,127.5,173.5151515151515,150.50757575757575,dyad_01
2023-11-06 16:25:00+00:00,268.3333333333333,160.0,214.16666666666666,dyad_01
2023-11-06 16:26:00+00:00,118.0,154.4375,136.21875,dyad_01
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-11-06 17:11:00+00:00,200.1818181818182,245.44444444444446,222.81313131313132,dyad_02
2023-11-06 17:12:00+00:00,206.8780487804878,236.57142857142858,221.72473867595818,dyad_02
2023-11-06 17:13:00+00:00,245.69230769230768,255.01470588235293,250.3535067873303,dyad_02
2023-11-06 17:14:00+00:00,228.0,244.8421052631579,236.42105263157896,dyad_02
2023-11-06 17:15:00+00:00,201.94444444444446,262.2647058823529,232.1045751633987,dyad_02
2023-11-06 17:16:00+00:00,231.93103448275863,252.92857142857142,242.42980295566502,dyad_02
2023-11-06 17:17:00+00:00,218.75675675675674,303.97058823529414,261.36367249602546,dyad_02
2023-11-06 17:18:00+00:00,183.78947368421052,311.56666666666666,247.6780701754386,dyad_02
2023-11-06 17:19:00+00:00,254.0,251.375,252.6875,dyad_02
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-12-19 11:27:00+00:00,188.07692307692307,152.7058823529412,170.39140271493213,dyad_03
2023-12-19 11:28:00+00:00,196.0909090909091,151.34375,173.71732954545456,dyad_03
2023-12-19 11:29:00+00:00,214.41935483870967,165.91176470588235,190.165559772296,dyad_03
2023-12-19 11:30:00+00:00,197.45833333333334,181.95555555555555,189.70694444444445,dyad_03
2023-12-19 11:31:00+00:00,228.33333333333334,173.21052631578948,200.77192982456143,dyad_03
2023-12-19 11:32:00+00:00,203.9,162.58064516129033,183.24032258064517,dyad_03
2023-12-19 11:33:00+00:00,209.48717948717947,158.14285714285714,183.8150183150183,dyad_03
2023-12-19 11:34:00+00:00,208.64705882352942,163.78048780487805,186.21377331420373,dyad_03
2023-12-19 11:35:00+00:00,213.27777777777777,158.26470588235293,185.77124183006535,dyad_03
2023-12-19 11:36:00+00:00,204.625,176.19354838709677,190.40927419354838,dyad_03
2023-12-19 11:37:00+00:00,191.69230769230768,150.02941176470588,170.8608597285068,dyad_03
2023-12-19 11:38:00+00:00,207.71052631578948,153.44117647058823,180.57585139318886,dyad_03
2023-12-19 11:39:00+00:00,199.4375,121.0,160.21875,dyad_03
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-12-19 11:27:00+00:00,145.3,219.2173913043478,182.2586956521739,dyad_04
2023-12-19 11:28:00+00:00,145.35,164.06666666666666,154.70833333333331,dyad_04
2023-12-19 11:29:00+00:00,163.23809523809524,165.16666666666666,164.20238095238096,dyad_04
2023-12-19 11:30:00+00:00,157.0681818181818,175.78048780487805,166.42433481152995,dyad_04
2023-12-19 11:31:00+00:00,152.42222222222222,179.34782608695653,165.88502415458936,dyad_04
2023-12-19 11:32:00+00:00,153.9189189189189,181.9090909090909,167.91400491400492,dyad_04
2023-12-19 11:33:00+00:00,177.125,167.33333333333334,172.22916666666669,dyad_04
2023-12-19 11:34:00+00:00,154.25,171.11428571428573,162.68214285714288,dyad_04
2023-12-19 11:35:00+00:00,148.73684210526315,183.88636363636363,166.31160287081337,dyad_04
2023-12-19 11:36:00+00:00,140.83333333333334,169.45945945945945,155.1463963963964,dyad_04
2023-12-19 11:37:00+00:00,186.93333333333334,173.87878787878788,180.4060606060606,dyad_04
2023-12-19 11:38:00+00:00,127.76470588235294,164.0,145.88235294117646,dyad_04
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-12-19 15:17:00+00:00,279.0,163.0,221.0,dyad_05
2023-12-19 15:18:00+00:00,235.6818181818182,185.16,210.4209090909091,dyad_05
2023-12-19 15:19:00+00:00,274.26666666666665,173.17857142857142,223.72261904761905,dyad_05
2023-12-19 15:20:00+00:00,258.7368421052632,227.27777777777777,243.00730994152048,dyad_05
2023-12-19 15:21:00+00:00,242.8095238095238,208.25,225.5297619047619,dyad_05
2023-12-19 15:22:00+00:00,245.1,181.92592592592592,213.51296296296294,dyad_05
2023-12-19 15:23:00+00:00,237.1818181818182,179.63888888888889,208.41035353535352,dyad_05
2023-12-19 15:24:00+00:00,234.14285714285714,204.65625,219.39955357142856,dyad_05
2023-12-19 15:25:00+00:00,215.35294117647058,192.21052631578948,203.78173374613004,dyad_05
2023-12-19 15:26:00+00:00,253.22222222222223,192.06896551724137,222.64559386973178,dyad_05
2023-12-19 15:27:00+00:00,243.16666666666666,198.71875,220.94270833333331,dyad_05
2023-12-19 15:28:00+00:00,239.2,172.3181818181818,205.7590909090909,dyad_05
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
2023-12-19 15:19:00+00:00,,160.0,,dyad_06
2023-12-19 15:20:00+00:00,199.8181818181818,180.43333333333334,190.12575757575758,dyad_06
2023-12-19 15:21:00+00:00,230.41666666666666,179.61904761904762,205.01785714285714,dyad_06
2023-12-19 15:22:00+00:00,217.0,177.1764705882353,197.08823529411765,dyad_06
2023-12-19 15:23:00+00:00,187.83333333333334,187.40625,187.61979166666669,dyad_06
2023-12-19 15:24:00+00:00,204.66666666666666,179.45945945945945,192.06306306306305,dyad_06
2023-12-19 15:25:00+00:00,231.06666666666666,188.82051282051282,209.94358974358974,dyad_06
2023-12-19 15:26:00+00:00,236.84615384615384,172.87037037037038,204.85826210826212,dyad_06
2023-12-19 15:27:00+00:00,234.76470588235293,184.21951219512195,209.49210903873745,dyad_06
2023-12-19 15:28:00+00:00,216.8,207.7027027027027,212.25135135135136,dyad_06
TSGroupNTP,P1_durations,P2_durations,group_avg_blink_duration,group_name
