analysis,group_split,target,feature,logreg_std_coef,logreg_abs_coef,rf_importance
segment_individual_engagement_base_all,all,engagement_target,segment_duration_s,-0.4022138660511175,0.4022138660511175,0.11869410198324745
segment_individual_engagement_base_all,all,engagement_target,word_count,0.9532120150329121,0.9532120150329121,0.07753908632538829
segment_individual_engagement_base_all,all,engagement_target,avg_word_length,0.19443296280452008,0.19443296280452008,0.09052584989885934
segment_individual_engagement_base_all,all,engagement_target,words_per_second,-0.1024988636456419,0.1024988636456419,0.09967938279649967
segment_individual_engagement_base_all,all,engagement_target,question,-0.07696399951956348,0.07696399951956348,0.007916232463459105
segment_individual_engagement_base_all,all,engagement_target,statement,0.07696399951956316,0.07696399951956316,0.00834577082209199
segment_individual_engagement_base_all,all,engagement_target,sentiment_p_blue_mean,0.015996584323745157,0.015996584323745157,0.07489787416574374
segment_individual_engagement_base_all,all,engagement_target,sentiment_p_green_mean,0.09275763842089614,0.09275763842089614,0.05427481594993451
segment_individual_engagement_base_all,all,engagement_target,sentiment_p_red_mean,0.03979802713005626,0.03979802713005626,0.03247909073157611
segment_individual_engagement_base_all,all,engagement_target,arousal_mean,0.3462815299831686,0.3462815299831686,0.12936995727687906
segment_individual_engagement_base_all,all,engagement_target,dominance_mean,-0.3763757855079098,0.3763757855079098,0.1357168679631978
segment_individual_engagement_base_all,all,engagement_target,valence_mean,0.057496654675566645,0.057496654675566645,0.13958707807193352
segment_individual_engagement_base_all,all,engagement_target,role_p_green,0.5281801738959943,0.5281801738959943,0.016262631445473096
segment_individual_engagement_base_all,all,engagement_target,role_p_red,0.5140182140606973,0.5140182140606973,0.014711260105716524
segment_individual_engagement_base_D,D,engagement_target,segment_duration_s,-0.5298185210311184,0.5298185210311184,0.10970927871916582
segment_individual_engagement_base_D,D,engagement_target,word_count,0.9381628857262028,0.9381628857262028,0.07124825657130104
segment_individual_engagement_base_D,D,engagement_target,avg_word_length,0.1229829577338708,0.1229829577338708,0.0828307350213723
segment_individual_engagement_base_D,D,engagement_target,words_per_second,-0.13089404092669635,0.13089404092669635,0.09863314176318615
segment_individual_engagement_base_D,D,engagement_target,question,-0.08406065082402439,0.08406065082402439,0.0075417431233849854
segment_individual_engagement_base_D,D,engagement_target,statement,0.0840606508240246,0.0840606508240246,0.008554783805621864
segment_individual_engagement_base_D,D,engagement_target,sentiment_p_blue_mean,0.058207751772362266,0.058207751772362266,0.08160605089738748
segment_individual_engagement_base_D,D,engagement_target,sentiment_p_green_mean,0.09635916490771392,0.09635916490771392,0.08099514103420791
segment_individual_engagement_base_D,D,engagement_target,sentiment_p_red_mean,0.0,0.0,0.0
segment_individual_engagement_base_D,D,engagement_target,arousal_mean,-0.11366870217436117,0.11366870217436117,0.13436165321753357
segment_individual_engagement_base_D,D,engagement_target,dominance_mean,-0.1171129997851408,0.1171129997851408,0.12022631542796199
segment_individual_engagement_base_D,D,engagement_target,valence_mean,0.20779360186543094,0.20779360186543094,0.1395288850134954
segment_individual_engagement_base_D,D,engagement_target,role_p_green,0.8468489653960688,0.8468489653960688,0.06476401540538161
segment_individual_engagement_base_T,T,engagement_target,segment_duration_s,-0.2318870785789789,0.2318870785789789,0.12094021488551053
