fold,session,analysis,target,model,metric,score,baseline_score
6,recording_triad_12,group_task_engagement,task_engagement,logistic_pca,auc,0.6052746163431117,0.5137887188893985
7,recording_triad_02,group_task_engagement,task_engagement,linear_pca,r2,0.052999971494270715,-0.17057030739240653
7,recording_triad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.7211746946617263,0.5030602442706189
8,recording_dyad_04,group_task_engagement,task_engagement,linear_pca,r2,-0.16642109073813183,-0.024650378188587174
8,recording_dyad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.5899674759776978,0.4725424097433667
9,recording_triad_09,group_task_engagement,task_engagement,linear_pca,r2,-0.23247709574992137,-0.20511797325997794
9,recording_triad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.6779687628696154,0.5133123301210772
10,recording_triad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.044365917686692846,-0.2663754411402326
10,recording_triad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.628433666948829,0.5002240701090475
11,recording_dyad_05,group_task_engagement,task_engagement,linear_pca,r2,0.001213205501825132,-0.041997951061586214
11,recording_dyad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.6842686567164179,0.4851592039800995
12,recording_dyad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.13436367631492052,-0.07879584630317416
12,recording_dyad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.6250687869905551,0.49254854396190606
13,recording_triad_10,group_task_engagement,task_engagement,linear_pca,r2,-0.5123793472153146,-0.3886895914585988
13,recording_triad_10,group_task_engagement,task_engagement,logistic_pca,auc,0.6710984488762266,0.5304741554741554
14,recording_triad_08,group_task_engagement,task_engagement,linear_pca,r2,-2.680147870233451,-4.04856646572102
14,recording_triad_08,group_task_engagement,task_engagement,logistic_pca,auc,0.7202762515262515,0.502632783882784
15,recording_dyad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.05824687897668168,-0.1880889165000199
15,recording_dyad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.5790075392411321,0.5270362130762576
16,recording_dyad_06,group_task_engagement,task_engagement,linear_pca,r2,-0.8961592397688272,-1.5608463401665005
16,recording_dyad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.7178517206477733,0.45660425101214575
17,recording_dyad_02,group_task_engagement,task_engagement,linear_pca,r2,-0.8192910404808496,-0.09804589237948647
17,recording_dyad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.6239462063428342,0.5014719657433427
18,recording_dyad_10,group_task_engagement,task_engagement,linear_pca,r2,-11.612831535349864,-17.98596395037557
18,recording_dyad_10,group_task_engagement,task_engagement,logistic_pca,auc,,
19,recording_triad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.6314401994909173,-0.0964238005421203
19,recording_triad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.5118270332187858,0.49153780068728525
