analysis,group_split,target,model,fold,group,accuracy,f1_macro
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),7,triad_06,0.7425149700598802,0.5687864048519786
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),7,triad_06,0.6946107784431138,0.5615444015444016
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,7,triad_06,0.7245508982035929,0.5752985404688191
segment_individual_engagement_base_all,all,engagement_target,kNN,7,triad_06,0.6646706586826348,0.5615153788447111
segment_individual_engagement_base_all,all,engagement_target,Random Forest,7,triad_06,0.6766467065868264,0.5562007874015749
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,7,triad_06,0.7544910179640718,0.5779969183359014
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,8,triad_08,0.5472972972972973,0.537995620369939
segment_individual_engagement_base_all,all,engagement_target,QDA,8,triad_08,0.668918918918919,0.6243071025229239
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),8,triad_08,0.6554054054054054,0.5363351557220959
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),8,triad_08,0.668918918918919,0.5460406885758998
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,8,triad_08,0.6283783783783784,0.6089358635599327
segment_individual_engagement_base_all,all,engagement_target,kNN,8,triad_08,0.5608108108108109,0.516072237034056
segment_individual_engagement_base_all,all,engagement_target,Random Forest,8,triad_08,0.5608108108108109,0.49620319455354805
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,8,triad_08,0.668918918918919,0.58979580293003
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,9,dyad_06,0.5416666666666666,0.4729370008873114
segment_individual_engagement_base_all,all,engagement_target,QDA,9,dyad_06,0.7569444444444444,0.6728759654702408
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),9,dyad_06,0.7222222222222222,0.6538461538461539
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),9,dyad_06,0.6736111111111112,0.6129696345856922
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,9,dyad_06,0.7777777777777778,0.6711390236939766
segment_individual_engagement_base_all,all,engagement_target,kNN,9,dyad_06,0.6875,0.6244566792234135
segment_individual_engagement_base_all,all,engagement_target,Random Forest,9,dyad_06,0.6736111111111112,0.6129696345856922
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,9,dyad_06,0.7291666666666666,0.6543361851418723
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,10,dyad_11,0.48507462686567165,0.4374201399452389
segment_individual_engagement_base_all,all,engagement_target,QDA,10,dyad_11,0.6791044776119403,0.6383152344485594
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),10,dyad_11,0.7014925373134329,0.6485706792551796
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),10,dyad_11,0.6716417910447762,0.6277777777777778
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,10,dyad_11,0.7313432835820896,0.6837136113296617
segment_individual_engagement_base_all,all,engagement_target,kNN,10,dyad_11,0.6268656716417911,0.5903643922719491
segment_individual_engagement_base_all,all,engagement_target,Random Forest,10,dyad_11,0.664179104477612,0.633100091268634
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,10,dyad_11,0.6268656716417911,0.6071763602251408
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,11,triad_05,0.5669291338582677,0.5243445692883895
segment_individual_engagement_base_all,all,engagement_target,QDA,11,triad_05,0.7007874015748031,0.6432584269662922
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),11,triad_05,0.7086614173228346,0.6443653977143722
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),11,triad_05,0.6456692913385826,0.6021580229725025
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,11,triad_05,0.6771653543307087,0.5920877399138269
segment_individual_engagement_base_all,all,engagement_target,kNN,11,triad_05,0.6299212598425197,0.568245931283906
segment_individual_engagement_base_all,all,engagement_target,Random Forest,11,triad_05,0.6692913385826772,0.6057066824364281
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,11,triad_05,0.7007874015748031,0.6376876876876877
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,12,dyad_10,0.41379310344827586,0.2926829268292683
segment_individual_engagement_base_all,all,engagement_target,QDA,12,dyad_10,0.41379310344827586,0.2926829268292683
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),12,dyad_10,0.25862068965517243,0.2054794520547945
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),12,dyad_10,0.3448275862068966,0.2564102564102564
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,12,dyad_10,0.4051724137931034,0.2883435582822086
segment_individual_engagement_base_all,all,engagement_target,kNN,12,dyad_10,0.3879310344827586,0.2795031055900621
segment_individual_engagement_base_all,all,engagement_target,Random Forest,12,dyad_10,0.27586206896551724,0.21621621621621623
segment_individual_engagement_base_all,all,engagement_target,Logistic Regression,12,dyad_10,0.39655172413793105,0.2839506172839506
segment_individual_engagement_base_all,all,engagement_target,Baseline Uniform,13,dyad_05,0.4247787610619469,0.4218811491538764
segment_individual_engagement_base_all,all,engagement_target,QDA,13,dyad_05,0.504424778761062,0.492948717948718
segment_individual_engagement_base_all,all,engagement_target,SVM (rbf),13,dyad_05,0.46017699115044247,0.4461229409401366
segment_individual_engagement_base_all,all,engagement_target,SVM (linear),13,dyad_05,0.4336283185840708,0.35704125177809387
segment_individual_engagement_base_all,all,engagement_target,Naive Bayes,13,dyad_05,0.4778761061946903,0.4772210460283855
