analysis,group_split,target,model,comparison,n_pairs,mean_model,mean_ref,t_stat,p_value,cohen_d,p_value_adj,significant
segment_group_task_engagement_audio_D,D,task_engagement,Logistic Regression,vs_baseline_uniform,8,0.6317692013648747,0.4924076771233227,1.4304936635375611,0.1956594610019514,0.5057558849658985,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,Naive Bayes,vs_baseline_uniform,8,0.6243300470083223,0.4924076771233227,1.459294383197917,0.18785264016650377,0.5159384770533436,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,QDA,vs_baseline_uniform,8,0.6362701460291917,0.4924076771233227,1.6730241379988071,0.13823927406729355,0.5915033565338674,0.9676749184710549,False
segment_group_task_engagement_audio_D,D,task_engagement,Random Forest,vs_baseline_uniform,8,0.49840131633927,0.4924076771233227,0.08219741188647707,0.9367907314838565,0.029061173670455832,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,SVM (linear),vs_baseline_uniform,8,0.6609368522308321,0.4924076771233227,1.7462619797432821,0.12426883261121331,0.61739684380236,0.8698818282784931,False
segment_group_task_engagement_audio_D,D,task_engagement,SVM (rbf),vs_baseline_uniform,8,0.6408531506298738,0.4924076771233227,1.5529765739793908,0.16437246974377356,0.5490601332423396,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,kNN,vs_baseline_uniform,8,0.512714683642717,0.4924076771233227,0.31920893311924853,0.7588828589782151,0.1128574006119719,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,8,0.6317692013648747,0.6325306637806637,-0.006833303665697045,0.9947385198116246,-0.0024159376799606364,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,8,0.6243300470083223,0.6325306637806637,-0.07689566354241516,0.9408582543407498,-0.027186722567340463,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,QDA,vs_carlos_qda_gazespeak,8,0.6362701460291917,0.6325306637806637,0.0365934676603279,0.9718308402762617,0.012937744564874242,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,Random Forest,vs_carlos_qda_gazespeak,8,0.49840131633927,0.6325306637806637,-1.9060339544994076,0.09832954883389249,-0.6738847671991711,0.6883068418372474,False
segment_group_task_engagement_audio_D,D,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,8,0.6609368522308321,0.6325306637806637,0.24586100137507233,0.8128430134453398,0.08692499065081435,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,8,0.6408531506298738,0.6325306637806637,0.07369162644075268,0.9433173310571392,0.026053924386461053,1.0,False
segment_group_task_engagement_audio_D,D,task_engagement,kNN,vs_carlos_qda_gazespeak,8,0.512714683642717,0.6325306637806637,-1.7447742962138204,0.1245387724777392,-0.6168708682463891,0.8717714073441745,False
segment_group_task_engagement_audio_T,T,task_engagement,Logistic Regression,vs_baseline_uniform,12,0.6888919544607526,0.5121801233564529,2.735607530070105,0.019383060113306625,0.7897018719415713,0.13568142079314638,False
segment_group_task_engagement_audio_T,T,task_engagement,Naive Bayes,vs_baseline_uniform,12,0.6680426309645182,0.5121801233564529,2.4079932089924867,0.034737644629276025,0.6951277637093014,0.24316351240493217,False
segment_group_task_engagement_audio_T,T,task_engagement,QDA,vs_baseline_uniform,12,0.669148302532592,0.5121801233564529,2.575034968873794,0.025817732006107305,0.7433485662259922,0.18072412404275112,False
segment_group_task_engagement_audio_T,T,task_engagement,Random Forest,vs_baseline_uniform,12,0.6542433640837715,0.5121801233564529,2.920427396823705,0.013926834164246837,0.8430547718524622,0.09748783914972786,False
segment_group_task_engagement_audio_T,T,task_engagement,SVM (linear),vs_baseline_uniform,12,0.7093716623917201,0.5121801233564529,2.9002622486978606,0.01443834375533992,0.8372335950031097,0.10106840628737944,False
segment_group_task_engagement_audio_T,T,task_engagement,SVM (rbf),vs_baseline_uniform,12,0.6755537494932996,0.5121801233564529,2.5251813014140585,0.028214264563842992,0.728957052062008,0.19749985194690095,False
segment_group_task_engagement_audio_T,T,task_engagement,kNN,vs_baseline_uniform,12,0.6274327968543665,0.5121801233564529,2.8379987502613777,0.016139549505771067,0.8192596712116138,0.11297684654039747,False
segment_group_task_engagement_audio_T,T,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,12,0.6888919544607526,0.5506639194139195,1.3591593138764262,0.2013089332967475,0.3923554978690708,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,12,0.6680426309645182,0.5506639194139195,1.2125169901272097,0.25071324200450273,0.35002350532346965,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,QDA,vs_carlos_qda_gazespeak,12,0.669148302532592,0.5506639194139195,1.2427489366018407,0.23979933648779336,0.3587507165410969,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,Random Forest,vs_carlos_qda_gazespeak,12,0.6542433640837715,0.5506639194139195,1.1910841910212029,0.2586875905088638,0.3438363891567996,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,12,0.7093716623917201,0.5506639194139195,1.5017287982928127,0.16131707822014357,0.43351176297208427,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,12,0.6755537494932996,0.5506639194139195,1.2227200519333858,0.2469863932030495,0.3529688755636467,1.0,False
segment_group_task_engagement_audio_T,T,task_engagement,kNN,vs_carlos_qda_gazespeak,12,0.6274327968543665,0.5506639194139195,0.9335995036283639,0.3705510765004627,0.26950696236756844,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,Logistic Regression,vs_baseline_uniform,20,0.6834247055793485,0.5042711448632008,3.330482912037703,0.0035153073120071485,0.7447186189217757,0.02460715118405004,True
segment_group_task_engagement_audio_all,all,task_engagement,Naive Bayes,vs_baseline_uniform,20,0.6468406394364086,0.5042711448632008,2.78324852067217,0.011847894670512388,0.6223532890498701,0.08293526269358671,False
segment_group_task_engagement_audio_all,all,task_engagement,QDA,vs_baseline_uniform,20,0.6547834382065184,0.5042711448632008,3.0395939852324076,0.006743007661839895,0.6796738774979154,0.04720105363287926,True
segment_group_task_engagement_audio_all,all,task_engagement,Random Forest,vs_baseline_uniform,20,0.6387042967513628,0.5042711448632008,3.399411005274575,0.003008472037611967,0.7601314091254847,0.021059304263283767,True
segment_group_task_engagement_audio_all,all,task_engagement,SVM (linear),vs_baseline_uniform,20,0.689997738327365,0.5042711448632008,3.3972613296597003,0.0030231346684283468,0.7596507270450413,0.021161942678998426,True
segment_group_task_engagement_audio_all,all,task_engagement,SVM (rbf),vs_baseline_uniform,20,0.6681973385388597,0.5042711448632008,3.17930994905361,0.004937863572514776,0.7109153167625264,0.034565045007603434,True
segment_group_task_engagement_audio_all,all,task_engagement,kNN,vs_baseline_uniform,20,0.6181009584034884,0.5042711448632008,3.631470100187694,0.0017765354092187016,0.8120214002277656,0.012435747864530911,True
segment_group_task_engagement_audio_all,all,task_engagement,Logistic Regression,vs_carlos_qda_gazespeak,20,0.6834247055793485,0.5977185314685315,1.2327911344359836,0.2326902299186908,0.27566047786579406,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,Naive Bayes,vs_carlos_qda_gazespeak,20,0.6468406394364086,0.5977185314685315,0.7683647320055476,0.45171577020304854,0.17181157722778126,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,QDA,vs_carlos_qda_gazespeak,20,0.6547834382065184,0.5977185314685315,0.9309272656739754,0.3635697087672506,0.2081616648155016,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,Random Forest,vs_carlos_qda_gazespeak,20,0.6387042967513628,0.5977185314685315,0.748862981382127,0.46311060125915493,0.16745085322035955,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,SVM (linear),vs_carlos_qda_gazespeak,20,0.689997738327365,0.5977185314685315,1.2972035931870536,0.2100923550542824,0.2900635415023235,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,SVM (rbf),vs_carlos_qda_gazespeak,20,0.6681973385388597,0.5977185314685315,1.0560288661834314,0.30419853188450924,0.23613523309881818,1.0,False
segment_group_task_engagement_audio_all,all,task_engagement,kNN,vs_carlos_qda_gazespeak,20,0.6181009584034884,0.5977185314685315,0.40010537823167597,0.6935415847901016,0.0894662823889292,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,Logistic Regression,vs_baseline_uniform,8,0.6364253605757627,0.4924076771233227,1.6400415356191556,0.14500353569240101,0.5798422456319519,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,Naive Bayes,vs_baseline_uniform,8,0.5193833437028865,0.4924076771233227,0.5343312177836503,0.6096552734981115,0.18891461374724255,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,QDA,vs_baseline_uniform,8,0.4963028840913718,0.4924076771233227,0.0928229180676589,0.9286450211607845,0.03281785740758246,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,Random Forest,vs_baseline_uniform,8,0.5971760102709666,0.4924076771233227,1.4788262941089907,0.18271933161364395,0.5228440503807195,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,SVM (linear),vs_baseline_uniform,8,0.651093764491966,0.4924076771233227,1.7238980398885333,0.128386132846446,0.6094899970396896,0.8987029299251221,False
segment_group_task_engagement_base_D,D,task_engagement,SVM (rbf),vs_baseline_uniform,8,0.6354479294088221,0.4924076771233227,1.5597720582708985,0.16277854845566003,0.5514626997543255,1.0,False
segment_group_task_engagement_base_D,D,task_engagement,kNN,vs_baseline_uniform,8,0.5808831950521527,0.4924076771233227,1.4002249880084354,0.2041765072467187,0.4950542921038084,1.0,False
