fold,session,analysis,target,model,metric,score,baseline_score
7,recording_dyad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.65,0.3428571428571428
8,recording_dyad_05,group_task_engagement,task_engagement,linear_pca,r2,0.3984461840484552,-0.11533726923874466
8,recording_dyad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.828125,0.4375
9,recording_dyad_07,group_task_engagement,task_engagement,linear_pca,r2,-2.37466611433294,-0.4366049478915537
9,recording_dyad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.5703125,0.4375
10,recording_triad_02,group_task_engagement,task_engagement,linear_pca,r2,0.6668848051593104,-0.20940298715829986
10,recording_triad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.6370370370370371,0.38888888888888884
11,recording_triad_07,group_task_engagement,task_engagement,linear_pca,r2,0.8243843468363657,-0.6216787686935985
11,recording_triad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.9444444444444444,0.33333333333333337
12,recording_triad_09,group_task_engagement,task_engagement,linear_pca,r2,0.5556468115346569,-0.2844072868502654
12,recording_triad_09,group_task_engagement,task_engagement,logistic_pca,auc,1.0,0.5476190476190477
13,recording_triad_10,group_task_engagement,task_engagement,linear_pca,r2,0.6912807907719545,-0.5402764583797601
13,recording_triad_10,group_task_engagement,task_engagement,logistic_pca,auc,0.888888888888889,0.16666666666666669
14,recording_triad_08,group_task_engagement,task_engagement,linear_pca,r2,-1.2333534163033941,-6.280868641045849
14,recording_triad_08,group_task_engagement,task_engagement,logistic_pca,auc,,
15,recording_dyad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.924878811188774,-0.7185023567097055
15,recording_dyad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.625,0.5625
16,recording_dyad_06,group_task_engagement,task_engagement,linear_pca,r2,-2.8475613835199347,-8.394052157428124
16,recording_dyad_06,group_task_engagement,task_engagement,logistic_pca,auc,,
17,recording_dyad_02,group_task_engagement,task_engagement,linear_pca,r2,-853.1704681648897,-0.31639918508757003
17,recording_dyad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.5535714285714286,0.6607142857142857
18,recording_dyad_10,group_task_engagement,task_engagement,linear_pca,r2,-21.664398037795937,-47.28197060639713
18,recording_dyad_10,group_task_engagement,task_engagement,logistic_pca,auc,,
19,recording_triad_11,group_task_engagement,task_engagement,linear_pca,r2,-4.175415171392021,-6.7316333558054e-05
19,recording_triad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.25,0.6249999999999999
