analysis,group_split,target,model,tn_true_low_pred_low,fp_true_low_pred_high,fn_true_high_pred_low,tp_true_high_pred_high
window_60s_group_task_engagement_base_T,T,task_engagement,Decision Tree,123,63,65,85
window_60s_group_task_engagement_base_T,T,task_engagement,Random Forest,134,52,55,95
window_60s_group_task_engagement_base_T,T,task_engagement,Neural Net,122,64,52,98
window_60s_group_task_engagement_base_T,T,task_engagement,AdaBoost,142,44,68,82
window_60s_group_task_engagement_base_T,T,task_engagement,Naive Bayes,117,69,44,106
window_60s_group_task_engagement_base_T,T,task_engagement,QDA,115,71,30,120
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Baseline Most Frequent,186,0,150,0
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Baseline Prior,186,0,150,0
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Baseline Stratified,107,79,96,54
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Baseline Uniform,104,82,75,75
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,kNN,139,47,95,55
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Logistic Regression,139,47,87,63
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Linear SVM l1,134,52,87,63
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Linear SVM l2,141,45,93,57
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,SVM linear or rbf,151,35,99,51
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Decision Tree,121,65,95,55
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Random Forest,127,59,85,65
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Neural Net,139,47,93,57
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,AdaBoost,146,40,90,60
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,Naive Bayes,132,54,76,74
window_60s_group_task_engagement_paralinguistic_T,T,task_engagement,QDA,117,69,74,76
window_60s_group_task_engagement_audio_T,T,task_engagement,Baseline Most Frequent,186,0,150,0
window_60s_group_task_engagement_audio_T,T,task_engagement,Baseline Prior,186,0,150,0
window_60s_group_task_engagement_audio_T,T,task_engagement,Baseline Stratified,107,79,96,54
window_60s_group_task_engagement_audio_T,T,task_engagement,Baseline Uniform,104,82,75,75
window_60s_group_task_engagement_audio_T,T,task_engagement,kNN,135,51,72,78
window_60s_group_task_engagement_audio_T,T,task_engagement,Logistic Regression,126,60,48,102
window_60s_group_task_engagement_audio_T,T,task_engagement,Linear SVM l1,138,48,51,99
window_60s_group_task_engagement_audio_T,T,task_engagement,Linear SVM l2,135,51,60,90
window_60s_group_task_engagement_audio_T,T,task_engagement,SVM linear or rbf,151,35,69,81
window_60s_group_task_engagement_audio_T,T,task_engagement,Decision Tree,126,60,81,69
window_60s_group_task_engagement_audio_T,T,task_engagement,Random Forest,132,54,71,79
window_60s_group_task_engagement_audio_T,T,task_engagement,Neural Net,134,52,62,88
window_60s_group_task_engagement_audio_T,T,task_engagement,AdaBoost,147,39,72,78
window_60s_group_task_engagement_audio_T,T,task_engagement,Naive Bayes,99,87,15,135
window_60s_group_task_engagement_audio_T,T,task_engagement,QDA,108,78,21,129
