fold,session,analysis,target,model,metric,score,baseline_score
7,recording_dyad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.7785714285714286,0.3428571428571428
8,recording_dyad_05,group_task_engagement,task_engagement,linear_pca,r2,0.2230420217898217,-0.11533726923874466
8,recording_dyad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.84375,0.4375
9,recording_dyad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.5193618484721907,-0.4366049478915537
9,recording_dyad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.765625,0.4375
10,recording_triad_02,group_task_engagement,task_engagement,linear_pca,r2,0.15571686844128696,-0.20940298715829986
10,recording_triad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.6888888888888889,0.38888888888888884
11,recording_triad_07,group_task_engagement,task_engagement,linear_pca,r2,0.6595157580132348,-0.6216787686935985
11,recording_triad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.8796296296296297,0.33333333333333337
12,recording_triad_09,group_task_engagement,task_engagement,linear_pca,r2,0.09912936513628434,-0.2844072868502654
12,recording_triad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.9682539682539684,0.5476190476190477
13,recording_triad_10,group_task_engagement,task_engagement,linear_pca,r2,-1.2687084570680396,-0.5402764583797601
13,recording_triad_10,group_task_engagement,task_engagement,logistic_pca,auc,0.6984126984126984,0.16666666666666669
14,recording_triad_08,group_task_engagement,task_engagement,linear_pca,r2,-3.1640347641893625,-6.280868641045849
14,recording_triad_08,group_task_engagement,task_engagement,logistic_pca,auc,,
15,recording_dyad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.42593148958745686,-0.7185023567097055
15,recording_dyad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.53125,0.5625
16,recording_dyad_06,group_task_engagement,task_engagement,linear_pca,r2,-3.004268032066631,-8.394052157428124
16,recording_dyad_06,group_task_engagement,task_engagement,logistic_pca,auc,,
17,recording_dyad_02,group_task_engagement,task_engagement,linear_pca,r2,-0.08866960899105147,-0.31639918508757003
17,recording_dyad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.9285714285714286,0.6607142857142857
18,recording_dyad_10,group_task_engagement,task_engagement,linear_pca,r2,-28.847617011928236,-47.28197060639713
18,recording_dyad_10,group_task_engagement,task_engagement,logistic_pca,auc,,
19,recording_triad_11,group_task_engagement,task_engagement,linear_pca,r2,-1.712261003593396,-6.7316333558054e-05
19,recording_triad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.38888888888888884,0.6249999999999999
