fold,session,analysis,target,model,metric,score,baseline_score
3,recording_triad_01,group_task_engagement,task_engagement,logistic,auc,0.5826954502451192,0.5504859379031564
4,recording_dyad_05,group_task_engagement,task_engagement,linear,r2,-0.543062365543334,-0.02237431876717566
4,recording_dyad_05,group_task_engagement,task_engagement,logistic,auc,0.6510989010989011,0.5175241425241425
5,recording_dyad_08,group_task_engagement,task_engagement,linear,r2,-1.0989173290913925,-0.029944961122618574
5,recording_dyad_08,group_task_engagement,task_engagement,logistic,auc,0.49882903981264637,0.47062417269117196
6,recording_triad_06,group_task_engagement,task_engagement,linear,r2,-0.39348449561151333,-2.0199189744607438e-05
6,recording_triad_06,group_task_engagement,task_engagement,logistic,auc,0.6418572891771936,0.5308979173779448
7,recording_dyad_07,group_task_engagement,task_engagement,linear,r2,-0.6937479139208913,-0.05536374284584222
7,recording_dyad_07,group_task_engagement,task_engagement,logistic,auc,0.6120018752930145,0.4738396624472574
8,recording_dyad_06,group_task_engagement,task_engagement,linear,r2,-0.2985220000161526,-0.0651019006549125
8,recording_dyad_06,group_task_engagement,task_engagement,logistic,auc,0.7157396449704142,0.5115384615384615
9,recording_triad_14,group_task_engagement,task_engagement,linear,r2,-3.6243101346997095,-0.11508331835918573
9,recording_triad_14,group_task_engagement,task_engagement,logistic,auc,0.6586275816122585,0.4562958027981346
10,recording_triad_13,group_task_engagement,task_engagement,linear,r2,-1.575715460038467,-0.4098821932047023
10,recording_triad_13,group_task_engagement,task_engagement,logistic,auc,0.6427956371986222,0.5287743972445466
11,recording_triad_09,group_task_engagement,task_engagement,linear,r2,-2.791467401381801,-0.5702683592933548
11,recording_triad_09,group_task_engagement,task_engagement,logistic,auc,0.6141575274177468,0.4654370222665337
12,recording_triad_05,group_task_engagement,task_engagement,linear,r2,-0.09742108874614885,-0.03853984383968512
12,recording_triad_05,group_task_engagement,task_engagement,logistic,auc,0.7081632653061225,0.4571428571428572
13,recording_triad_08,group_task_engagement,task_engagement,linear,r2,-3.0608284010692817,-3.2407079269458663
13,recording_triad_08,group_task_engagement,task_engagement,logistic,auc,0.7018581081081081,0.46621621621621623
14,recording_dyad_01,group_task_engagement,task_engagement,linear,r2,-6.303550115371793,-0.3508904312256298
14,recording_dyad_01,group_task_engagement,task_engagement,logistic,auc,0.6641886151231946,0.5544817332200509
15,recording_dyad_11,group_task_engagement,task_engagement,linear,r2,-1.6292423237404923,-0.2795091045566185
15,recording_dyad_11,group_task_engagement,task_engagement,logistic,auc,0.5193548387096775,0.4766666666666667
16,recording_triad_02,group_task_engagement,task_engagement,linear,r2,-1.5126080022732302,-0.486578797905451
16,recording_triad_02,group_task_engagement,task_engagement,logistic,auc,0.533974358974359,0.4974358974358975
17,recording_triad_10,group_task_engagement,task_engagement,linear,r2,-1.0260345079779785,-0.250075752220303
17,recording_triad_10,group_task_engagement,task_engagement,logistic,auc,0.6929541047188106,0.5670652876535229
18,recording_dyad_10,group_task_engagement,task_engagement,linear,r2,-12.29012048800426,-14.225809809623051
18,recording_dyad_10,group_task_engagement,task_engagement,logistic,auc,,
19,recording_triad_04,group_task_engagement,task_engagement,linear,r2,-1.3016713063188416,-0.29017279506212734
19,recording_triad_04,group_task_engagement,task_engagement,logistic,auc,0.5753048780487805,0.438109756097561
20,recording_triad_11,group_task_engagement,task_engagement,linear,r2,-3.4041382389867723,-0.0621312086123349
20,recording_triad_11,group_task_engagement,task_engagement,logistic,auc,0.6625000000000001,0.4193965517241379
21,recording_triad_12,group_task_engagement,task_engagement,linear,r2,-0.9565774724743998,-0.024056785932835556
21,recording_triad_12,group_task_engagement,task_engagement,logistic,auc,0.5973180076628353,0.4599616858237548
22,recording_triad_07,group_task_engagement,task_engagement,linear,r2,-0.7537780561032852,-0.03139745244543013
22,recording_triad_07,group_task_engagement,task_engagement,logistic,auc,0.6076555023923444,0.6107655502392345
23,recording_dyad_09,group_task_engagement,task_engagement,linear,r2,-0.8827724681624711,-0.4126890408331172
23,recording_dyad_09,group_task_engagement,task_engagement,logistic,auc,0.6666666666666666,0.5588450292397661
24,recording_dyad_02,group_task_engagement,task_engagement,linear,r2,-20.876704881839647,-0.004556568303660802
24,recording_dyad_02,group_task_engagement,task_engagement,logistic,auc,0.5382812499999999,0.434375
