fold,session,analysis,target,model,metric,score,baseline_score
1,recording_triad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.562625519526657,0.5150161281195178
2,recording_triad_04,group_task_engagement,task_engagement,linear_pca,r2,-0.14942430375345794,-0.22593000669114982
2,recording_triad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.6287048665620094,0.5077446363160649
3,recording_triad_01,group_task_engagement,task_engagement,linear_pca,r2,-0.01826809105719507,-0.03126269859884001
3,recording_triad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.5613886398501783,0.5028127428127429
4,recording_triad_03,group_task_engagement,task_engagement,linear_pca,r2,-0.01142812983681929,-0.004404333809176375
4,recording_triad_03,group_task_engagement,task_engagement,logistic_pca,auc,0.5531945730504448,0.48917696632983076
5,recording_triad_02,group_task_engagement,task_engagement,linear_pca,r2,-0.33311026079652994,-0.39480305837833574
5,recording_triad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.604992283563712,0.5140650854936568
6,recording_triad_13,group_task_engagement,task_engagement,linear_pca,r2,-0.2480361928022352,-0.3491232056399165
6,recording_triad_13,group_task_engagement,task_engagement,logistic_pca,auc,0.596366727888598,0.5144595734425834
7,recording_triad_14,group_task_engagement,task_engagement,linear_pca,r2,-0.04530229389447249,-0.06024153910534391
7,recording_triad_14,group_task_engagement,task_engagement,logistic_pca,auc,0.6017517551123943,0.49115755884036283
8,recording_triad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.17114970858875656,-0.47872736788478587
8,recording_triad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.6881779546200031,0.5140675137979721
9,recording_triad_08,group_task_engagement,task_engagement,linear_pca,r2,-3.8455685650360323,-4.738069797656285
9,recording_triad_08,group_task_engagement,task_engagement,logistic_pca,auc,0.5561219400986008,0.46290715568094376
10,recording_triad_09,group_task_engagement,task_engagement,linear_pca,r2,0.14442858229159639,-0.002530546189522198
10,recording_triad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.6976706274452978,0.512961084544913
11,recording_dyad_08,group_task_engagement,task_engagement,linear_pca,r2,-0.05944920642649221,-1.113564411125978e-05
11,recording_dyad_08,group_task_engagement,task_engagement,logistic_pca,auc,0.5384318216521606,0.4745457321728509
12,recording_triad_12,group_task_engagement,task_engagement,linear_pca,r2,0.018936316558827992,-0.08431963611824389
12,recording_triad_12,group_task_engagement,task_engagement,logistic_pca,auc,0.6283690265355022,0.5041323749001633
13,recording_dyad_09,group_task_engagement,task_engagement,linear_pca,r2,-1.173939720785969,-1.5939351298820168
13,recording_dyad_09,group_task_engagement,task_engagement,logistic_pca,auc,0.7345262392143391,0.4766554852789622
14,recording_dyad_04,group_task_engagement,task_engagement,linear_pca,r2,-0.019042574233534282,-0.05544214853928464
14,recording_dyad_04,group_task_engagement,task_engagement,logistic_pca,auc,0.602359022556391,0.4878654970760234
15,recording_dyad_03,group_task_engagement,task_engagement,linear_pca,r2,-0.47049675909368216,-0.5933143847591085
15,recording_dyad_03,group_task_engagement,task_engagement,logistic_pca,auc,0.5677185581220501,0.4850674574996867
16,recording_triad_10,group_task_engagement,task_engagement,linear_pca,r2,-0.1412150010064681,-0.213169297108035
16,recording_triad_10,group_task_engagement,task_engagement,logistic_pca,auc,0.6090826629985149,0.4840166262970605
17,recording_dyad_07,group_task_engagement,task_engagement,linear_pca,r2,-0.13577033376562997,-0.16722648337599622
17,recording_dyad_07,group_task_engagement,task_engagement,logistic_pca,auc,0.6054940425154481,0.5082857818644118
18,recording_dyad_06,group_task_engagement,task_engagement,linear_pca,r2,-0.15680832635258302,-0.25499641127265527
18,recording_dyad_06,group_task_engagement,task_engagement,logistic_pca,auc,0.600675428988682,0.5027553395399781
19,recording_dyad_05,group_task_engagement,task_engagement,linear_pca,r2,-0.004777466676516795,-2.3192630367097067e-05
19,recording_dyad_05,group_task_engagement,task_engagement,logistic_pca,auc,0.5793013414963536,0.48336184388223646
20,recording_dyad_01,group_task_engagement,task_engagement,linear_pca,r2,-0.29927721085981296,-0.3759427259274155
20,recording_dyad_01,group_task_engagement,task_engagement,logistic_pca,auc,0.6744715474813454,0.5077992107232769
21,recording_dyad_02,group_task_engagement,task_engagement,linear_pca,r2,-0.0019308482278581618,-0.09945404583425854
21,recording_dyad_02,group_task_engagement,task_engagement,logistic_pca,auc,0.6182152280437241,0.5317968876204836
22,recording_dyad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.14549923096704687,-0.19139496147490997
22,recording_dyad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.5769842095528737,0.5030864197530864
23,recording_dyad_10,group_task_engagement,task_engagement,linear_pca,r2,-13.72595544447835,-16.983831414317347
23,recording_dyad_10,group_task_engagement,task_engagement,logistic_pca,auc,,
24,recording_triad_11,group_task_engagement,task_engagement,linear_pca,r2,-0.1605015331146009,-0.02243836515124409
24,recording_triad_11,group_task_engagement,task_engagement,logistic_pca,auc,0.4728919071873231,0.4799801924165252
